Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Accuracy,Condition
1,1,2,3.95,0.596,2.661,0.67,0,MM
1,1,1,6,0.763,3.262,0.69,1,MM
1,2,1,6,0.763,1.34,0.71,0,MM
1,1,1,6,0.713,2.377,0.73,1,MM
1,2,2,6,0.881,1.071,0.71,1,MM
1,2,2,6,0.63,3.646,0.69,1,MM
1,1,1,2,0.895,1.624,0.67,1,MM
1,2,2,6,0.579,1.689,0.65,1,MM
1,2,2,6,0.629,1.342,0.63,1,MM
1,2,2,6,0.998,2.259,0.61,1,MM
1,2,2,6,0.446,2.175,0.59,1,MM
1,2,2,6,0.413,2.93,0.57,1,MM
1,2,2,6,0.796,1.457,0.55,1,MM
1,2,2,6,0.463,1.271,0.53,1,MM
1,1,1,1,1.331,1.789,0.51,1,MM
1,2,2,4.9,0.595,1.255,0.49,1,MM
1,2,2,5.95,0.596,1.842,0.47,1,MM
1,1,2,2.6,1.298,0.855,0.49,0,MM
1,2,2,5.6,0.679,1.505,0.51,1,MM
1,1,2,2.05,0.696,1.154,0.53,0,MM
1,1,2,1,2,2.226,0.55,0,MM
1,1,2,1,1.163,1.459,0.57,0,MM
1,2,2,1,2,2.06,0.59,1,MM
1,2,2,2.35,0.847,1.608,0.57,1,MM
1,1,1,4.35,0.679,0.973,0.55,1,MM
1,2,2,2.7,0.663,0.92,0.53,1,MM
1,2,2,5.6,0.897,2.14,0.51,1,MM
1,1,2,2.25,0.812,1.159,0.53,0,MM
1,2,2,2.7,0.663,1.507,0.55,1,MM
1,2,2,4.7,0.462,1.625,0.53,1,MM
1,1,1,1.25,0.829,3.425,0.51,1,MM
1,2,1,2.4,0.714,1.276,0.53,0,MM
1,2,2,1.05,0.713,1.774,0.55,1,MM
1,2,2,5.05,0.797,1.61,0.53,1,MM
1,2,2,1,0.746,1.089,0.51,1,MM
1,1,2,5.5,0.495,1.224,0.53,0,MM
1,2,2,6,0.429,1.14,0.55,1,MM
1,2,2,1,0.813,1.921,0.53,1,MM
1,1,1,1,1.08,1.747,0.51,1,MM
1,1,2,6,0.629,1.61,0.53,0,MM
1,1,1,1.7,1.23,1.255,0.55,1,MM
1,1,1,2.6,0.511,0.854,0.53,1,MM
1,2,2,4.8,0.798,0.871,0.51,1,MM
1,1,1,1,0.929,1.638,0.49,1,MM
1,2,2,5.8,0.746,1.29,0.47,1,MM
1,1,2,4.2,1.331,1.757,0.49,0,MM
1,2,2,5.25,0.512,1.325,0.51,1,MM
1,1,1,1,1.096,3.011,0.49,1,MM
1,1,2,1.05,1.014,1.524,0.51,0,MM
1,2,1,1,1.399,1.257,0.53,0,MM
1,2,2,4.25,0.997,1.123,0.55,1,MM
1,1,1,5.05,0.863,1.155,0.53,1,MM
1,2,1,2.35,0.713,0.807,0.55,0,MM
1,2,1,1.3,2,1.793,0.57,0,MM
1,2,2,5.75,0.629,1.438,0.59,1,MM
1,1,1,2.15,1.063,0.604,0.57,1,MM
1,1,1,2.1,0.813,0.671,0.55,1,MM
1,2,2,5.95,0.328,2.01,0.53,1,MM
1,2,2,1.05,0.714,1.726,0.51,1,MM
1,2,2,6,0.397,1.622,0.49,1,MM
1,2,1,4.05,0.815,1.908,0.51,0,MM
1,1,1,4.4,0.93,1.023,0.53,1,MM
1,1,1,1,2,2.26,0.51,1,MM
1,1,1,2.1,1.029,0.921,0.49,1,MM
1,2,2,3.5,0.495,1.241,0.47,1,MM
1,1,2,3.5,1.882,0.471,0.49,0,MM
1,1,1,4.45,0.979,0.771,0.51,1,MM
1,1,1,3.75,1.097,1.307,0.49,1,MM
1,1,2,2.05,1.831,1.257,0.51,0,MM
1,2,2,4.1,1.148,0.807,0.53,1,MM
1,1,1,2.7,1.163,0.789,0.51,1,MM
1,1,1,2.3,0.679,2.892,0.49,1,MM
1,1,1,5.1,0.745,1.105,0.47,1,MM
1,1,2,1.55,0.629,1.24,0.49,0,MM
1,1,2,4.7,0.913,0.706,0.51,0,MM
1,1,1,4.65,0.913,0.703,0.53,1,MM
1,2,1,3.9,0.88,1.639,0.55,0,MM
1,1,1,4.65,0.896,1.121,0.57,1,MM
1,1,2,1,0.845,0.839,0.59,0,MM
1,2,2,6,0.413,7.153,0.61,1,MM
1,1,2,3.55,2,1.324,0.63,0,MM
1,2,1,4.4,0.613,0.671,0.65,0,MM
1,2,2,5.1,0.496,1.592,0.67,1,MM
1,1,1,6,0.662,1.456,0.65,1,MM
1,1,1,2.7,1.095,0.82,0.63,1,MM
1,1,2,6,0.378,1.439,0.65,0,MM
1,1,1,6,0.679,1.406,0.67,1,MM
1,2,2,6,0.378,8.523,0.65,1,MM
1,1,1,1.25,0.997,2.089,0.63,1,MM
1,2,2,3,1.23,0.47,0.61,1,MM
1,2,1,4.4,0.529,0.735,0.63,0,MM
1,1,1,2.45,0.847,0.819,0.65,1,MM
1,1,1,5.6,0.746,7.787,0.63,1,MM
1,2,2,4.25,0.797,1.089,0.61,1,MM
1,2,2,6,0.513,1.509,0.59,1,MM
1,1,1,4.6,0.746,1.463,0.57,1,MM
1,2,2,1,0.98,2.392,0.55,1,MM
1,1,1,1.7,0.946,1.258,0.53,1,MM
1,1,2,1,1.531,1.24,0.55,0,MM
1,2,2,6,0.696,2.829,0.57,1,MM
1,1,1,5.35,0.645,1.707,0.55,1,MM
1,2,2,6,0.313,2.127,0.53,1,MM
1,2,2,6,0.53,1.709,0.51,1,MM
1,2,2,5.55,0.646,1.225,0.49,1,MM
1,2,2,6,0.513,1.795,0.47,1,MM
1,2,2,1.05,1.449,1.256,0.45,1,MM
1,1,1,3.85,0.779,2.143,0.43,1,MM
1,1,1,3.6,1.481,1.123,0.41,1,MM
1,2,2,4.8,0.496,0.871,0.39,1,MM
1,2,1,4.6,0.731,1.139,0.41,0,MM
1,1,1,2.55,0.83,0.604,0.43,1,MM
1,1,2,1,0.863,2.759,0.45,0,MM
1,1,1,3.85,0.929,0.822,0.47,1,MM
1,1,2,1,0.895,1.707,0.49,0,MM
1,2,1,4.6,0.73,1.438,0.51,0,MM
1,1,1,4.2,0.663,0.89,0.53,1,MM
1,2,2,6,0.646,1.607,0.51,1,MM
1,2,2,4.85,0.747,3.244,0.49,1,MM
1,2,2,1,1.499,1.273,0.47,1,MM
1,1,2,5.85,0.713,2.26,0.49,0,MM
1,1,1,1.3,1.514,1.589,0.51,1,MM
1,1,1,2.5,0.83,1.091,0.49,1,MM
1,2,2,6,0.446,4.598,0.47,1,MM
1,1,1,1.65,1.482,0.786,0.45,1,MM
1,2,2,2.65,1.467,1.19,0.43,1,MM
1,2,2,5.2,0.613,1.021,0.41,1,MM
1,1,2,1.85,1.113,0.955,0.43,0,MM
1,2,2,4.75,0.865,1.273,0.45,1,MM
1,1,2,4.85,0.646,1.474,0.47,0,MM
1,1,1,5.1,1.215,0.957,0.49,1,MM
1,2,1,4.95,1.097,1.392,0.51,0,MM
1,1,1,3.9,0.846,0.824,0.53,1,MM
1,2,2,4.8,0.511,0.838,0.51,1,MM
1,2,2,5.15,0.445,0.957,0.49,1,MM
1,2,2,4.55,0.879,0.618,0.47,1,MM
1,2,2,2.25,1.315,0.588,0.45,1,MM
1,1,2,1,0.712,1.621,0.47,0,MM
1,1,1,1.15,1.682,1.26,0.49,1,MM
1,1,2,4.75,0.646,0.82,0.51,0,MM
1,1,2,2.75,0.578,1.073,0.53,0,MM
1,1,2,1,0.562,1.373,0.55,0,MM
1,2,2,6,0.513,1.423,0.57,1,MM
1,1,2,2.05,0.947,0.705,0.59,0,MM
1,2,2,2,1.397,2.192,0.61,1,MM
1,2,2,2.65,1.783,4.047,0.59,1,MM
1,2,2,5,0.446,0.806,0.57,1,MM
1,2,2,6,0.429,1.843,0.55,1,MM
1,1,2,4.8,0.545,0.755,0.57,0,MM
1,1,2,5.15,0.529,2.829,0.59,0,MM
1,1,1,6,0.561,1.872,0.61,1,MM
1,1,1,1.35,1.465,0.688,0.59,1,MM
1,1,2,1.65,0.696,0.805,0.61,0,MM
1,1,2,3.55,2,1.238,0.63,0,MM
1,2,2,6,0.262,2.659,0.65,1,MM
1,2,1,1.9,0.547,1.293,0.67,0,MM
1,1,1,5.2,1.598,1.375,0.69,1,MM
1,1,1,5.15,0.696,0.907,0.67,1,MM
1,2,1,1,0.379,1.322,0.69,0,MM
1,1,1,5.45,1.481,1.155,0.71,1,MM
1,2,1,5.55,0.713,1.339,0.73,0,MM
1,2,2,6,0.43,1.653,0.75,1,MM
1,1,1,6,0.579,4.145,0.73,1,MM
1,1,1,6,0.628,2.559,0.71,1,MM
1,2,2,6,0.43,1.974,0.69,1,MM
1,1,2,6,0.445,1.322,0.71,0,MM
1,2,2,6,0.479,1.556,0.73,1,MM
1,2,2,5.55,0.897,1.741,0.71,1,MM
1,2,2,6,0.429,1.525,0.69,1,MM
1,1,1,4.65,0.828,1.308,0.67,1,MM
1,1,1,4.6,0.644,1.125,0.65,1,MM
1,2,2,1.35,0.63,0.737,0.63,1,MM
1,2,2,6,0.463,1.17,0.61,1,MM
1,1,1,1.6,1.065,0.703,0.59,1,MM
1,1,1,2.05,0.596,2.107,0.57,1,MM
1,1,2,5.95,0.395,1.598,0.59,0,MM
1,2,2,6,0.296,1.891,0.61,1,MM
1,1,2,2.1,0.512,1.49,0.63,0,MM
1,2,2,5.75,0.496,1.305,0.65,1,MM
1,2,1,4.2,0.78,1.156,0.67,0,MM
1,2,2,5.95,0.213,1.99,0.69,1,MM
1,1,2,6,0.662,2.169,0.76,0,MM
1,1,1,6,0.646,2.896,0.78,1,MM
1,1,1,6,0.546,1.656,0.76,1,MM
1,2,2,5.1,0.779,3.197,0.74,1,MM
1,2,2,6,0.43,9.273,0.72,1,MM
1,2,2,4.8,1.966,1.024,0.7,1,MM
1,2,2,6,0.662,1.525,0.68,1,MM
1,2,1,2.75,1.431,1.408,0.7,0,MM
1,1,1,5.3,0.712,1.257,0.72,1,MM
1,1,1,6,0.578,1.675,0.7,1,MM
1,1,1,6,0.596,1.341,0.68,1,MM
1,1,1,5.95,0.947,2.296,0.66,1,MM
1,1,2,2.45,1.565,1.607,0.68,0,MM
1,1,1,6,0.63,1.841,0.7,1,MM
1,1,1,6,0.797,1.441,0.68,1,MM
1,2,2,6,0.813,1.693,0.66,1,MM
1,2,1,2.1,1.348,0.922,0.68,0,MM
1,2,2,6,0.529,1.056,0.7,1,MM
1,1,1,6,0.746,1.37,0.68,1,MM
1,1,1,6,1.948,2.211,0.66,1,MM
1,1,2,6,0.812,1.659,0.68,0,MM
1,2,2,6,0.765,1.624,0.7,1,MM
1,2,2,2.3,2,1.36,0.68,1,MM
1,1,1,4.95,0.746,1.339,0.66,1,MM
1,2,1,3.55,0.714,0.94,0.68,0,MM
1,1,2,2.75,0.546,1.357,0.7,0,MM
1,2,2,6,0.429,2.29,0.72,1,MM
1,1,1,2.25,1.749,0.987,0.7,1,MM
1,2,1,2.85,1.399,1.188,0.72,0,MM
1,1,1,6,0.745,1.523,0.74,1,MM
1,2,2,6,0.627,1.611,0.72,1,MM
1,2,1,3.65,1.047,0.556,0.74,0,MM
1,1,2,3,0.997,0.876,0.76,0,MM
1,1,1,5.95,0.746,1.122,0.78,1,MM
1,2,2,6,0.411,1.222,0.76,1,MM
1,1,1,6,0.829,1.688,0.74,1,MM
1,2,2,6,0.429,1.538,0.72,1,MM
1,1,1,6,0.813,1.676,0.7,1,MM
1,2,2,6,0.58,1.571,0.68,1,MM
1,1,1,6,1.464,2.375,0.66,1,MM
1,1,2,2.8,1.313,1.071,0.68,0,MM
1,1,1,6,0.562,1.508,0.7,1,MM
1,1,1,6,0.529,1.406,0.68,1,MM
1,2,2,6,0.329,2.363,0.66,1,MM
1,1,2,6,0.479,2.362,0.68,0,MM
1,2,2,6,0.447,1.722,0.7,1,MM
1,2,2,6,0.33,1.624,0.68,1,MM
1,1,1,2.45,0.613,0.838,0.66,1,MM
1,1,1,6,0.73,1.525,0.64,1,MM
1,1,2,6,0.679,1.46,0.66,0,MM
1,1,1,6,0.779,1.592,0.68,1,MM
1,2,2,6,0.379,1.672,0.66,1,MM
1,2,2,2.95,1.513,2.123,0.64,1,MM
1,2,2,6,0.496,1.677,0.62,1,MM
1,1,1,2.7,1.464,0.841,0.6,1,MM
1,2,2,6,0.463,1.442,0.58,1,MM
1,1,1,6,0.797,1.441,0.56,1,MM
1,2,2,6,0.462,1.893,0.54,1,MM
1,2,2,3.1,1.698,4.399,0.52,1,MM
1,2,2,6,0.411,1.288,0.5,1,MM
1,1,1,4.1,0.998,0.803,0.48,1,MM
1,2,2,2.75,1.782,1.007,0.46,1,MM
1,1,1,3.5,1.197,0.505,0.44,1,MM
1,1,2,4.85,0.53,1.158,0.46,0,MM
1,2,2,5.6,0.78,1.139,0.48,1,MM
1,1,2,4.65,1.331,1.522,0.5,0,MM
1,1,2,3.5,2,1.96,0.52,0,MM
1,2,1,2.3,0.596,2.023,0.54,0,MM
1,1,2,2.45,0.463,1.256,0.56,0,MM
1,2,1,3.6,0.747,1.406,0.58,0,MM
1,1,1,6,0.629,1.626,0.6,1,MM
1,1,1,4.4,1.114,1.74,0.58,1,MM
1,2,2,6,0.429,1.692,0.56,1,MM
1,2,2,3,0.847,1.291,0.54,1,MM
1,2,1,6,0.679,1.857,0.56,0,MM
1,1,2,4.75,1.398,1.342,0.58,0,MM
1,2,1,4.35,0.679,2.461,0.6,0,MM
1,2,2,6,0.362,1.641,0.62,1,MM
1,2,2,6,0.528,1.86,0.6,1,MM
1,2,2,6,0.462,2.411,0.58,1,MM
1,2,2,6,0.513,1.292,0.56,1,MM
1,1,1,6,0.762,1.474,0.54,1,MM
1,2,1,6,0.763,1.27,0.56,0,MM
1,2,2,6,0.296,1.073,0.58,1,MM
1,1,1,6,0.83,4.398,0.56,1,MM
1,1,1,6,0.679,2.646,0.54,1,MM
1,2,2,6,0.462,1.442,0.52,1,MM
1,1,1,6,0.796,0.855,0.5,1,MM
1,2,2,6,0.579,1.489,0.48,1,MM
1,2,2,6,0.864,1.445,0.46,1,MM
1,2,2,3.5,2,0.696,0.44,1,MM
1,2,2,3.5,2,0.809,0.42,1,MM
1,1,2,4.45,0.796,2.513,0.44,0,MM
1,2,2,2.6,1.281,1.356,0.46,1,MM
1,1,1,4.85,0.997,0.82,0.44,1,MM
