Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Accuracy,Condition
5,2,2,5.65,0.747,0.874,0.31,1,MM
5,2,2,5.5,0.696,0.607,0.29,1,MM
5,2,2,5,0.73,0.508,0.27,1,MM
5,2,2,5.7,1.147,0.777,0.25,1,MM
5,2,2,5.5,0.68,0.942,0.23,1,MM
5,2,1,2.15,1.447,1.159,0.25,0,MM
5,2,2,5.35,0.93,0.887,0.27,1,MM
5,1,2,2.7,0.874,0.806,0.29,0,MM
5,2,2,2.25,1.449,0.658,0.31,1,MM
5,1,1,5.4,0.779,0.89,0.29,1,MM
5,2,2,2.85,0.546,1.161,0.27,1,MM
5,1,1,5,1.264,0.42,0.25,1,MM
5,2,1,4.95,0.696,0.681,0.27,0,MM
5,2,1,5.05,0.68,0.671,0.29,0,MM
5,2,2,4.65,0.93,1.228,0.31,1,MM
5,1,1,4.85,0.729,0.49,0.29,1,MM
5,1,1,3.5,1.029,0.692,0.27,1,MM
5,1,1,5.6,0.963,0.757,0.25,1,MM
5,2,2,5.1,0.696,0.735,0.23,1,MM
5,1,2,4.5,0.795,0.525,0.25,0,MM
5,2,2,4.85,0.479,0.539,0.27,1,MM
5,1,1,5.35,1.08,0.623,0.25,1,MM
5,1,2,5,0.496,0.504,0.27,0,MM
5,1,1,5.2,0.93,0.759,0.29,1,MM
5,1,1,5.1,0.763,0.592,0.27,1,MM
5,2,1,2.2,1.181,0.641,0.29,0,MM
5,1,2,2.3,1.03,0.847,0.31,0,MM
5,1,1,4.95,0.63,0.723,0.33,1,MM
5,1,1,5.4,0.646,0.587,0.31,1,MM
5,1,2,2.65,0.746,0.508,0.33,0,MM
5,2,1,5,0.629,0.523,0.35,0,MM
5,2,1,5.15,0.78,0.586,0.37,0,MM
5,2,1,4.7,0.597,0.522,0.39,0,MM
5,1,2,2.6,0.779,0.304,0.41,0,MM
5,2,2,5.1,0.697,0.724,0.43,1,MM
5,1,1,5.3,0.695,0.402,0.41,1,MM
5,2,2,5.45,0.662,0.425,0.39,1,MM
5,1,1,1,1.23,0.994,0.37,1,MM
5,2,2,4.95,1.148,0.657,0.35,1,MM
5,1,1,5.85,0.83,0.491,0.33,1,MM
5,1,1,5.4,0.796,0.591,0.31,1,MM
5,2,1,5.4,0.78,0.558,0.33,0,MM
5,2,2,2.05,0.897,0.909,0.35,1,MM
5,1,1,5.5,0.696,0.573,0.33,1,MM
5,1,1,5.5,0.612,0.722,0.31,1,MM
5,1,1,5.9,0.546,0.712,0.29,1,MM
5,2,1,5.05,0.53,0.744,0.31,0,MM
5,2,1,4.8,0.914,0.727,0.33,0,MM
5,1,1,4.85,0.829,0.61,0.35,1,MM
5,2,1,4.9,1.114,0.863,0.37,0,MM
5,2,1,4.85,0.813,0.554,0.39,0,MM
5,1,1,5.05,0.611,0.457,0.41,1,MM
5,1,1,5.05,0.546,0.623,0.39,1,MM
5,1,1,5,0.846,0.617,0.37,1,MM
5,2,1,5.05,0.68,0.774,0.39,0,MM
5,1,1,4.95,0.545,0.763,0.41,1,MM
5,1,1,5.3,0.73,0.524,0.39,1,MM
5,2,1,5.35,0.547,0.47,0.41,0,MM
5,1,1,5.3,0.612,0.591,0.43,1,MM
5,1,1,5.2,1.013,0.475,0.41,1,MM
5,2,2,1.85,0.946,0.507,0.39,1,MM
5,1,1,5.45,0.712,0.741,0.37,1,MM
5,1,1,5.1,0.529,0.676,0.35,1,MM
5,2,2,5.6,0.797,0.658,0.33,1,MM
5,2,1,1.8,0.696,0.56,0.35,0,MM
5,2,1,2.4,0.729,0.576,0.37,0,MM
5,1,1,5.3,0.829,0.424,0.39,1,MM
5,1,1,5.95,0.496,0.976,0.37,1,MM
5,2,1,5.2,1.198,1.227,0.39,0,MM
5,2,2,5.15,1.064,0.402,0.41,1,MM
5,2,2,5.2,0.446,0.589,0.39,1,MM
5,1,1,5.45,0.529,0.503,0.37,1,MM
5,2,2,5.8,0.395,0.558,0.35,1,MM
5,1,1,5.45,0.663,0.59,0.33,1,MM
5,1,1,5.3,0.612,0.556,0.31,1,MM
5,1,1,5.15,0.628,0.591,0.29,1,MM
5,1,2,1.5,1.404,0.543,0.31,0,MM
5,2,2,5.45,0.395,0.637,0.33,1,MM
5,2,2,5.65,0.714,0.624,0.31,1,MM
5,1,2,5.15,0.746,0.472,0.33,0,MM
5,2,1,2.05,1.047,0.541,0.35,0,MM
5,1,1,5.2,0.561,0.523,0.37,1,MM
5,1,1,5.6,1.097,0.672,0.35,1,MM
5,2,1,5.45,0.678,0.577,0.37,0,MM
5,2,1,4.7,0.646,0.958,0.39,0,MM
5,1,1,5.1,0.947,0.627,0.41,1,MM
5,1,1,4.95,0.779,0.542,0.39,1,MM
5,2,1,5.1,0.646,0.575,0.41,0,MM
5,2,2,4.6,0.863,0.512,0.43,1,MM
5,1,2,5.1,0.829,0.51,0.45,0,MM
5,2,2,5.9,0.445,0.838,0.47,1,MM
5,1,1,6,0.696,0.64,0.45,1,MM
5,1,1,5.8,0.629,0.772,0.43,1,MM
5,1,1,5.9,0.713,0.587,0.41,1,MM
5,2,1,6,0.712,1.061,0.43,0,MM
5,2,2,5.5,0.429,0.691,0.45,1,MM
5,2,1,5.5,0.764,0.586,0.47,0,MM
5,2,2,2.2,0.997,0.525,0.49,1,MM
5,1,1,5.4,0.729,0.442,0.47,1,MM
5,1,1,5.6,0.914,0.721,0.45,1,MM
5,2,2,4.25,0.479,0.358,0.43,1,MM
5,1,1,5.9,0.579,0.74,0.41,1,MM
5,2,2,5.8,0.363,0.644,0.39,1,MM
5,1,1,6,0.697,0.789,0.37,1,MM
5,1,1,5.35,0.646,0.725,0.35,1,MM
5,1,1,5.45,0.545,1.122,0.33,1,MM
5,1,1,5.6,0.612,0.576,0.31,1,MM
5,1,1,5.7,0.646,0.536,0.29,1,MM
5,2,2,1.95,0.863,0.533,0.27,1,MM
5,2,2,2.15,1.081,0.723,0.25,1,MM
5,1,1,5.7,0.578,0.931,0.23,1,MM
5,2,2,4.2,0.78,0.373,0.21,1,MM
5,1,1,5.55,0.562,0.728,0.19,1,MM
5,1,1,5.4,0.578,0.805,0.17,1,MM
5,2,1,2.3,0.764,0.389,0.19,0,MM
5,2,1,4,0.513,0.381,0.21,0,MM
5,2,1,4.45,0.63,0.506,0.23,0,MM
5,2,2,5.85,0.495,0.654,0.25,1,MM
5,1,1,5.7,0.612,0.628,0.23,1,MM
15,2,2,6,1.248,3.771,1.01,1,MM
15,1,1,6,1.097,2.41,0.99,1,MM
15,1,1,6,1.681,2.095,0.97,1,MM
15,1,2,5.05,1.214,2.142,0.99,0,MM
15,1,2,1,2,5.717,1.01,0,MM
15,1,1,3.5,1.063,1.492,1.03,1,MM
15,2,2,1,0.662,1.91,1.01,1,MM
15,1,2,3.5,1.196,3.697,1.03,0,MM
15,2,2,1,0.645,2.144,1.05,1,MM
15,2,2,6,0.662,3.883,1.03,1,MM
15,2,2,5.35,1.415,1.693,1.01,1,MM
15,2,2,6,0.783,1.575,0.99,1,MM
15,2,2,6,0.528,2.393,0.97,1,MM
15,1,1,6,0.947,1.842,0.95,1,MM
15,1,2,1.1,1.548,3.696,0.97,0,MM
15,2,2,6,0.58,2.082,0.99,1,MM
15,1,1,3.5,1.665,0.841,0.97,1,MM
15,1,1,4.95,1.13,2.444,0.95,1,MM
15,1,1,1.05,2,3.029,0.93,1,MM
15,1,1,3.55,0.847,3.412,0.91,1,MM
15,1,2,3.6,0.863,3.896,0.93,0,MM
15,1,2,3.5,2,3.025,0.95,0,MM
15,1,1,6,0.612,1.573,0.97,1,MM
15,1,2,3.5,0.662,1.307,0.99,0,MM
15,1,1,5.45,1.364,2.578,1.01,1,MM
15,1,2,4.7,0.746,1.242,1.03,0,MM
15,2,2,6,0.63,1.641,1.05,1,MM
15,2,2,6,0.579,1.692,1.03,1,MM
15,2,2,6,0.679,1.557,1.01,1,MM
15,1,1,6,1.398,1.958,0.99,1,MM
15,1,1,6,0.829,1.491,0.97,1,MM
15,2,2,5,0.495,1.776,0.95,1,MM
15,2,2,4.25,0.647,1.191,0.93,1,MM
15,1,2,4.1,1.313,1.457,0.95,0,MM
15,1,1,3.5,1.631,1.173,0.97,1,MM
15,2,2,4.15,1.181,1.007,0.95,1,MM
15,2,2,6,0.563,1.724,0.93,1,MM
15,1,1,6,1.031,1.308,0.91,1,MM
15,2,2,6,0.579,1.644,0.89,1,MM
15,2,2,6,1.698,1.94,0.87,1,MM
15,1,1,6,0.779,1.393,0.85,1,MM
15,2,2,6,0.561,1.541,0.83,1,MM
15,2,2,5.1,1.063,0.953,0.81,1,MM
15,1,1,5.6,0.947,1.892,0.79,1,MM
15,1,1,4.9,0.879,1.608,0.77,1,MM
15,2,2,5.15,0.612,1.04,0.75,1,MM
15,2,2,3.95,0.947,1.154,0.73,1,MM
15,2,2,4.5,0.964,1.694,0.71,1,MM
15,2,2,3.65,0.896,1.609,0.69,1,MM
15,2,2,4.5,0.847,1.34,0.67,1,MM
15,1,1,2.35,0.913,1.497,0.65,1,MM
15,1,2,1,1.547,1.555,0.67,0,MM
15,1,2,3.5,2,2.594,0.69,0,MM
15,1,2,1.05,1.797,3.245,0.71,0,MM
15,2,2,2.75,2,4.015,0.73,1,MM
15,2,1,2.6,1.181,1.827,0.75,0,MM
15,1,1,4.1,1.213,1.074,0.77,1,MM
15,1,1,3.85,1.03,0.84,0.75,1,MM
15,2,2,3.8,0.797,0.906,0.73,1,MM
15,2,1,3.8,1.648,3.063,0.75,0,MM
15,2,2,3.85,0.713,1.729,0.77,1,MM
15,1,1,4.8,0.813,1.24,0.75,1,MM
15,2,1,2.2,1.23,2.428,0.77,0,MM
15,1,1,2.6,1.382,2.657,0.79,1,MM
15,1,1,3,0.964,0.856,0.77,1,MM
15,2,2,4.3,0.513,2.443,0.75,1,MM
15,1,1,3.9,0.863,0.671,0.73,1,MM
15,2,2,4.5,0.88,2.428,0.71,1,MM
15,2,2,2.8,1.598,1.306,0.69,1,MM
15,1,1,3.9,1.632,2.06,0.67,1,MM
15,2,2,4.25,1.832,1.741,0.65,1,MM
15,1,1,4.05,1.599,1.625,0.63,1,MM
15,1,1,4.3,0.913,1.428,0.61,1,MM
15,2,2,4.1,0.897,1.391,0.59,1,MM
15,2,2,4.1,1.097,0.922,0.57,1,MM
15,2,2,4.4,0.73,1.223,0.55,1,MM
15,1,2,4.3,0.713,1.508,0.57,0,MM
15,1,1,3.5,1.665,1.891,0.59,1,MM
15,2,2,3.5,0.88,0.472,0.57,1,MM
15,2,2,3.95,0.864,1.559,0.55,1,MM
15,1,2,3.95,0.847,0.973,0.57,0,MM
15,1,2,2.9,2.015,1.508,0.59,0,MM
15,1,2,2.95,0.812,1.307,0.61,0,MM
15,1,2,2.8,2,3.127,0.63,0,MM
15,1,2,2.7,0.562,1.273,0.65,0,MM
15,2,2,4,1.014,0.769,0.67,1,MM
15,2,2,4.2,0.729,2.398,0.65,1,MM
15,2,2,4.65,0.629,1.675,0.63,1,MM
15,2,2,3.5,2,1.825,0.61,1,MM
15,2,2,3.95,0.713,1.773,0.59,1,MM
15,1,2,3.85,0.661,1.525,0.61,0,MM
15,1,2,4.1,1.465,1.325,0.63,0,MM
15,2,2,3.85,0.362,1.657,0.65,1,MM
15,1,1,3.2,1.715,3.145,0.63,1,MM
15,1,2,1,1.664,2.443,0.65,0,MM
15,1,2,3.55,0.946,1.508,0.67,0,MM
15,1,1,5.15,0.895,1.425,0.69,1,MM
15,1,2,1,1.565,1.557,0.71,0,MM
15,2,2,6,0.512,1.593,0.73,1,MM
15,2,2,4.4,0.629,1.124,0.71,1,MM
15,2,2,4.95,0.563,1.797,0.69,1,MM
15,1,2,3.5,1.096,0.422,0.71,0,MM
15,1,1,4.45,0.796,1.073,0.73,1,MM
15,1,2,1,1.214,1.357,0.75,0,MM
15,1,2,4.35,1.013,1.175,0.77,0,MM
15,1,2,3.5,1.113,0.44,0.79,0,MM
15,1,2,2.4,1.597,0.89,0.81,0,MM
15,1,2,4.45,1.281,2.076,0.83,0,MM
15,1,1,3.75,0.896,1.707,0.85,1,MM
15,1,1,1.4,2,2.811,0.83,1,MM
15,2,2,6,0.612,2.025,0.81,1,MM
15,1,1,3.9,1.916,1.09,0.79,1,MM
15,2,2,6,0.479,1.641,0.77,1,MM
15,2,2,6,0.747,1.541,0.75,1,MM
15,1,1,6,0.846,1.96,0.73,1,MM
15,1,1,6,0.679,1.542,0.71,1,MM
15,1,2,4.5,0.762,1.139,0.73,0,MM
15,2,2,2.05,0.979,1.477,0.75,1,MM
15,2,2,6,0.58,1.397,0.73,1,MM
15,2,2,2.5,2,2.211,0.71,1,MM
15,1,1,2.1,1.716,1.09,0.69,1,MM
15,1,2,1.7,0.779,0.922,0.71,0,MM
15,2,2,5.2,0.68,0.892,0.73,1,MM
15,2,2,6,0.78,1.475,0.71,1,MM
15,2,2,6,0.613,1.358,0.69,1,MM
15,1,2,6,0.879,1.172,0.71,0,MM
15,1,1,4.8,0.729,0.941,0.73,1,MM
15,1,1,5.95,0.93,1.49,0.71,1,MM
15,2,2,6,0.629,2.092,0.69,1,MM
15,2,2,6,0.913,2.861,0.67,1,MM
15,2,1,3.55,1.882,1.407,0.69,0,MM
15,1,1,4.55,0.945,0.873,0.71,1,MM
15,1,1,3.85,1.097,1.023,0.69,1,MM
15,2,2,3.7,1.048,1.724,0.67,1,MM
15,2,2,1.9,1.248,0.939,0.65,1,MM
15,1,2,2.6,1.699,1.424,0.67,0,MM
15,1,2,3.3,1.197,1.39,0.69,0,MM
15,1,2,1.2,1.498,1.791,0.71,0,MM
15,2,2,3.5,1.465,1.392,0.73,1,MM
15,1,2,3.5,2,1.441,0.75,0,MM
15,1,2,3.5,0.812,0.707,0.77,0,MM
15,1,1,2.9,1.113,1.726,0.79,1,MM
15,1,1,1.9,1.699,3.913,0.77,1,MM
15,2,2,3.5,1.114,1.174,0.75,1,MM
15,2,2,3.5,1.632,0.791,0.73,1,MM
15,1,2,3.95,1.932,1.441,0.75,0,MM
15,1,1,3,1.815,4.248,0.77,1,MM
15,2,2,4,1.264,2.962,0.75,1,MM
15,1,2,3.75,0.796,1.727,0.77,0,MM
15,2,2,3.25,1.08,1.559,0.79,1,MM
15,2,2,6,0.763,2.41,0.77,1,MM
15,2,2,6,0.446,1.692,0.75,1,MM
15,1,1,5.15,0.662,1.09,0.73,1,MM
15,2,2,5.1,0.78,1.342,0.71,1,MM
15,2,1,2,1.682,1.374,0.73,0,MM
15,2,2,5.95,0.596,1.509,0.75,1,MM
15,2,2,6,0.646,1.558,0.73,1,MM
15,2,2,6,0.713,1.79,0.71,1,MM
15,1,1,5.7,0.929,1.693,0.69,1,MM
15,1,1,5.95,0.846,1.706,0.67,1,MM
15,2,2,5.2,1.28,1.759,0.65,1,MM
15,2,2,5.65,1.382,1.726,0.63,1,MM
15,1,1,5.55,0.763,1.59,0.61,1,MM
15,2,2,5.8,0.63,1.293,0.59,1,MM
15,2,2,3.5,2,0.943,0.57,1,MM
15,1,2,3.85,0.813,0.938,0.59,0,MM
15,1,1,5,1.113,1.207,0.61,1,MM
15,2,2,4.45,0.546,1.223,0.59,1,MM
15,1,2,3.5,1.18,0.422,0.61,0,MM
15,1,1,3.6,1.113,0.756,0.63,1,MM
15,2,1,3.2,1.247,1.459,0.65,0,MM
15,2,2,3.85,1.299,1.54,0.67,1,MM
15,2,2,2.3,1.615,2.41,0.65,1,MM
15,2,2,2.45,0.913,1.156,0.63,1,MM
15,1,1,3.85,0.912,1.04,0.61,1,MM
15,2,2,3.5,0.947,0.54,0.59,1,MM
15,1,2,1.05,2,3.094,0.61,0,MM
15,2,2,5.05,0.579,1.724,0.63,1,MM
15,2,2,4,0.979,0.939,0.61,1,MM
15,1,1,4.9,0.746,1.108,0.59,1,MM
15,2,1,1.8,2,2.477,0.61,0,MM
15,2,2,4.05,0.513,4.798,0.63,1,MM
15,1,1,6,0.813,1.524,0.61,1,MM
15,1,2,4.1,0.963,0.889,0.63,0,MM
15,2,2,5.15,0.629,0.923,0.65,1,MM
15,2,2,4.3,0.546,1.406,0.63,1,MM
15,1,2,3.5,0.947,0.573,0.65,0,MM
15,2,2,1.1,1.682,1.29,0.67,1,MM
15,1,1,4.2,1.598,1.426,0.65,1,MM
15,1,1,5.15,0.697,0.955,0.63,1,MM
15,1,1,4,0.846,1.61,0.61,1,MM
15,1,2,1,1.281,1.142,0.63,0,MM
15,1,2,1.05,1.197,1.842,0.65,0,MM
15,1,1,3.5,0.762,0.724,0.67,1,MM
15,1,2,1.1,0.962,1.958,0.69,0,MM
15,1,1,5.4,0.595,2.178,0.71,1,MM
15,2,2,5.4,0.73,1.474,0.69,1,MM
15,1,1,5.95,0.764,1.176,0.67,1,MM
15,2,2,4.05,0.879,1.641,0.65,1,MM
15,2,2,5,0.413,1.809,0.63,1,MM
15,2,1,3.5,1.515,0.775,0.65,0,MM
15,2,2,5.3,0.713,0.974,0.67,1,MM
15,1,2,3.95,0.595,1.155,0.69,0,MM
15,1,1,6,0.645,1.323,0.71,1,MM
15,2,2,6,0.579,1.575,0.69,1,MM
15,1,1,6,1.799,1.659,0.67,1,MM
15,2,2,6,0.429,2.11,0.65,1,MM
15,1,2,3.5,1.064,0.591,0.67,0,MM
15,1,1,5.95,0.68,1.042,0.69,1,MM
15,1,1,5.95,0.613,1.29,0.67,1,MM
15,2,2,2.85,1.181,2.628,0.65,1,MM
15,1,1,6,0.595,1.64,0.63,1,MM
15,2,2,5.1,0.596,1.958,0.61,1,MM
15,1,1,3.75,0.812,0.844,0.59,1,MM
15,2,2,6,0.345,1.66,0.57,1,MM
15,1,1,3.7,0.914,1.374,0.55,1,MM
15,2,2,4.5,0.446,1.758,0.53,1,MM
15,2,2,5.3,0.479,1.024,0.51,1,MM
15,1,1,3.8,0.795,0.755,0.49,1,MM
15,2,2,1,1.264,1.44,0.47,1,MM
15,1,1,1,1.314,2.459,0.45,1,MM
15,1,2,1,1.481,3.095,0.47,0,MM
15,1,1,1.7,1.063,1.79,0.49,1,MM
15,2,2,3,0.83,1.108,0.47,1,MM
15,2,2,4.15,0.663,0.957,0.45,1,MM
15,2,2,4,0.662,1.757,0.43,1,MM
15,1,2,4.2,0.663,1.423,0.45,0,MM
15,2,2,3.9,0.897,2.343,0.47,1,MM
15,2,2,2.8,1.649,1.257,0.45,1,MM
15,2,1,2.9,1.915,2.092,0.47,0,MM
15,1,2,3.5,1.832,0.924,0.49,0,MM
15,2,2,4.4,0.445,1.343,0.51,1,MM
15,1,2,1,1.832,2.193,0.53,0,MM
15,2,2,4.9,0.83,1.541,0.55,1,MM
15,2,2,4.35,0.612,1.324,0.53,1,MM
15,2,2,5.1,0.461,0.888,0.51,1,MM
15,1,2,4.6,1.447,1.406,0.53,0,MM
15,1,2,3.5,0.663,0.923,0.55,0,MM
15,1,1,4,1.164,1.592,0.57,1,MM
15,1,1,3.5,1.697,0.505,0.55,1,MM
15,2,2,1.95,1.497,1.557,0.53,1,MM
15,1,1,3.5,1.515,0.605,0.51,1,MM
15,1,1,3.5,0.729,0.573,0.49,1,MM
15,2,1,1.85,1.181,3.43,0.51,0,MM
15,2,2,4.7,0.612,1.339,0.53,1,MM
15,1,2,4.1,1.28,1.475,0.55,0,MM
15,2,2,3.5,0.997,1.061,0.57,1,MM
15,1,2,2.4,2,1.958,0.59,0,MM
15,2,2,3.5,0.981,1.709,0.61,1,MM
15,1,1,1,1.247,1.508,0.59,1,MM
15,1,1,4.1,1.632,1.691,0.57,1,MM
15,1,2,1.7,0.981,1.203,0.59,0,MM
15,1,1,5.1,0.612,0.788,0.61,1,MM
15,2,2,4.1,0.612,0.923,0.59,1,MM
15,2,2,3.85,0.614,1.173,0.57,1,MM
15,2,2,5.2,0.529,1.592,0.55,1,MM
15,1,2,2.35,1.53,1.674,0.57,0,MM
15,2,2,1,1.481,1.524,0.59,1,MM
15,1,2,4.1,1.047,1.353,0.61,0,MM
15,1,1,3.9,0.779,2.01,0.63,1,MM
15,2,2,3.9,0.629,2.177,0.61,1,MM
15,2,2,3.65,0.512,2.494,0.59,1,MM
15,1,1,3.5,0.947,0.757,0.57,1,MM
15,2,1,3.5,1.28,0.861,0.59,0,MM
15,1,2,3.5,1.615,0.821,0.61,0,MM
15,1,2,1,1.781,1.623,0.63,0,MM
15,1,1,1.85,0.897,1.074,0.65,1,MM
15,1,1,3.95,0.879,0.785,0.63,1,MM
15,1,1,1.05,1.096,1.444,0.61,1,MM
15,2,1,2.35,1.131,1.155,0.63,0,MM
15,2,2,2.5,1.081,0.941,0.65,1,MM
15,1,2,1,1.564,3.294,0.67,0,MM
15,1,1,3.65,0.712,0.938,0.69,1,MM
15,2,2,1,1.414,1.124,0.67,1,MM
15,2,2,1.15,0.746,1.709,0.65,1,MM
15,2,2,1.55,0.78,0.989,0.63,1,MM
15,2,1,1,0.664,1.658,0.65,0,MM
15,1,1,1.95,1.031,1.409,0.67,1,MM
15,2,2,4,1.916,2.025,0.65,1,MM
15,2,2,3.15,1.33,2.225,0.63,1,MM
15,2,2,3.5,1.165,2.21,0.61,1,MM
15,2,2,3.85,0.713,0.689,0.59,1,MM
15,2,2,3.5,1.114,0.757,0.57,1,MM
15,2,2,4.85,0.746,1.073,0.55,1,MM
15,2,2,1.85,0.948,0.872,0.53,1,MM
15,2,2,1.25,1.213,1.442,0.51,1,MM
15,2,2,1.25,0.814,3.047,0.49,1,MM
15,2,2,1.1,1.113,1.557,0.47,1,MM
15,1,1,1.1,0.863,1.441,0.45,1,MM
15,2,2,1,1.549,2.561,0.43,1,MM
15,2,1,1,1.165,2.143,0.45,0,MM
15,2,2,1,1.38,4.116,0.47,1,MM
15,1,1,1,1.397,2.028,0.45,1,MM
15,2,2,3.2,0.596,1.79,0.43,1,MM
15,2,2,1.25,1.866,1.942,0.41,1,MM
15,2,2,1,1.831,2.726,0.39,1,MM
15,1,1,1,1.38,2.577,0.37,1,MM
15,2,1,1,0.963,1.808,0.39,0,MM
15,1,1,1,0.896,1.959,0.41,1,MM
15,2,2,1,1.013,2.492,0.39,1,MM
15,1,1,3.65,1.298,2.401,0.77,1,MM
15,1,1,4.9,1.013,1.161,0.75,1,MM
15,2,2,6,0.563,1.546,0.73,1,MM
15,1,2,5.95,0.661,1.944,0.75,0,MM
15,2,1,4.45,1.349,1.11,0.77,0,MM
15,1,1,5.85,0.811,1.148,0.79,1,MM
15,1,1,6,0.561,3.686,0.77,1,MM
15,1,1,6,1.43,1.476,0.75,1,MM
15,2,2,5.6,0.831,1.278,0.73,1,MM
15,2,2,5.95,0.612,2.368,0.71,1,MM
15,1,1,6,0.913,2.179,0.69,1,MM
15,1,1,6,1.064,1.579,0.67,1,MM
15,1,1,3,2,1.896,0.65,1,MM
15,2,2,5.95,0.263,2.596,0.63,1,MM
15,1,1,5.95,0.545,2.211,0.61,1,MM
15,1,1,5.95,0.662,1.441,0.59,1,MM
15,2,2,6,0.696,1.997,0.57,1,MM
15,1,1,6,0.629,1.475,0.55,1,MM
15,2,2,5.95,0.88,1.662,0.53,1,MM
15,1,1,6,0.712,1.072,0.51,1,MM
15,1,1,4.15,1.73,0.876,0.49,1,MM
15,2,2,5.8,0.746,1.63,0.47,1,MM
15,1,1,6,0.645,1.378,0.45,1,MM
15,1,2,4.15,0.997,1.58,0.47,0,MM
15,2,2,4.35,0.847,0.846,0.49,1,MM
15,2,1,6,0.979,1.594,0.51,0,MM
15,2,2,6,0.847,2.011,0.53,1,MM
15,1,1,5.95,0.914,1.692,0.51,1,MM
15,2,2,6,0.496,2.496,0.49,1,MM
15,1,2,2.9,2,1.446,0.51,0,MM
15,2,2,6,0.813,1.46,0.53,1,MM
15,2,2,6,0.429,1.458,0.51,1,MM
15,1,2,5.95,1.783,1.359,0.53,0,MM
15,1,1,5.35,0.629,0.893,0.55,1,MM
15,2,2,6,0.479,2.149,0.53,1,MM
15,2,2,6,0.496,1.766,0.51,1,MM
15,2,2,2.9,1.314,0.976,0.49,1,MM
15,1,1,6,0.846,1.714,0.47,1,MM
15,1,2,3.85,1.297,0.907,0.49,0,MM
15,1,1,5.95,0.713,1.996,0.51,1,MM
15,1,1,4.35,1.449,0.973,0.49,1,MM
15,2,1,4.1,0.93,0.976,0.51,0,MM
15,1,1,3.5,0.863,0.475,0.53,1,MM
15,2,2,3.5,0.779,0.409,0.51,1,MM
15,2,1,5.95,0.88,1.913,0.53,0,MM
15,1,2,1.65,1.715,1.11,0.55,0,MM
15,1,1,5.85,0.579,7.195,0.57,1,MM
15,2,1,5.95,0.847,1.493,0.59,0,MM
15,2,2,5.95,1.014,1.826,0.61,1,MM
15,1,1,5.95,1.03,1.828,0.59,1,MM
15,2,2,6,0.646,1.824,0.57,1,MM
15,1,1,5.7,1.297,1.242,0.55,1,MM
15,1,2,3.5,1.381,0.795,0.57,0,MM
15,2,2,6,1.414,1.575,0.59,1,MM
15,1,1,5.95,1.013,2.01,0.57,1,MM
15,1,2,3.5,1.481,1.293,0.59,0,MM
15,1,1,5.95,0.914,1.595,0.61,1,MM
15,1,2,3.5,1.648,0.658,0.63,0,MM
15,1,2,3.5,1.849,9.913,0.65,0,MM
15,1,1,5.95,1.899,1.692,0.67,1,MM
15,2,1,4.4,1.165,1.446,0.69,0,MM
15,1,1,5.8,1.448,2.012,0.71,1,MM
15,1,1,5.95,0.912,1.382,0.69,1,MM
15,2,2,6,1.014,1.981,0.67,1,MM
15,1,1,6,1.013,1.428,0.65,1,MM
15,2,2,6,0.612,1.777,0.63,1,MM
15,1,2,1,1.548,1.244,0.65,0,MM
15,2,2,5.95,0.463,2.133,0.67,1,MM
15,2,2,6,0.596,0.973,0.65,1,MM
15,1,1,1.25,1.732,1.627,0.63,1,MM
15,1,2,6,0.762,1.227,0.65,0,MM
15,1,1,4.75,0.863,1.061,0.67,1,MM
15,1,1,3.5,2,1.178,0.65,1,MM
15,1,2,6,0.712,1.027,0.67,0,MM
15,2,2,6,0.563,1.259,0.69,1,MM
15,2,2,6,0.412,2.245,0.67,1,MM
15,2,2,6,0.713,2.326,0.65,1,MM
15,2,2,5.95,0.697,1.346,0.63,1,MM
15,2,2,5.95,0.464,1.477,0.61,1,MM
15,1,2,3.5,0.93,0.677,0.63,0,MM
15,1,1,6,0.696,1.562,0.65,1,MM
15,2,2,6,0.397,1.529,0.63,1,MM
15,1,1,6,0.579,1.446,0.61,1,MM
15,1,1,6,0.697,2.012,0.59,1,MM
15,2,2,5.95,0.763,2.288,0.57,1,MM
15,2,2,5.95,0.547,2.008,0.55,1,MM
15,1,1,5.95,0.562,2.161,0.53,1,MM
15,2,2,5.95,0.663,1.417,0.51,1,MM
15,2,2,6,0.897,1.492,0.49,1,MM
15,2,2,5.95,0.479,1.727,0.47,1,MM
15,2,2,6,0.48,1.613,0.45,1,MM
15,2,2,6,0.595,1.289,0.43,1,MM
15,1,2,6,0.562,1.448,0.45,0,MM
15,2,2,6,0.762,1.498,0.47,1,MM
15,1,1,5.95,0.763,1.896,0.45,1,MM
15,1,2,5.95,0.594,2.393,0.47,0,MM
15,2,2,6,0.597,2.18,0.49,1,MM
15,1,1,2.85,1.414,1.833,0.47,1,MM
15,1,2,3.5,1.18,0.474,0.49,0,MM
15,1,2,2.4,1.047,0.978,0.51,0,MM
15,1,2,1,0.997,1.543,0.53,0,MM
15,2,2,6,0.713,1.443,0.55,1,MM
15,2,2,5.95,0.378,2.178,0.53,1,MM
15,2,2,5.95,0.662,1.897,0.51,1,MM
15,2,2,6,0.529,2.091,0.49,1,MM
15,1,1,5.95,0.813,1.697,0.47,1,MM
15,2,2,6,0.563,1.728,0.45,1,MM
15,2,2,6,0.58,2.166,0.43,1,MM
15,2,2,5.95,0.613,2.008,0.41,1,MM
