Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Temporal_distance,Condition,Task
1,2,1,2,1.803151574,2.393435136,5,Incongruent,N
1,1,1,2,3.157328831,0.747291341,2,Congruent,N
1,2,1,3,3.124588862,1.418755619,1,Incongruent,N
1,1,2,1,3.500473881,0.890475263,3,Congruent,N
1,1,1,2,4.199602229,0.605592727,1,Congruent,N
1,1,1,2,3.403569295,1.585674648,1,Congruent,N
1,1,1,4,4.598571589,0.692554952,1,Congruent,N
1,1,1,4,3.486274769,0.516539331,4,Incongruent,N
1,2,2,4,3.148935283,0.355241766,1,Incongruent,N
1,1,1,4,3.46446726,0.902474477,4,Incongruent,N
1,1,2,3,4.616926422,0.399205419,1,Congruent,N
1,2,2,4,3.290048562,0.304247674,5,Congruent,N
1,1,1,4,1.124855069,0.818883463,5,Incongruent,N
1,2,2,4,2.41919438,0.297314738,5,Congruent,N
1,1,1,4,4.589009937,1.179588251,5,Congruent,N
1,1,1,4,2.760973113,0.383118481,3,Incongruent,N
1,2,2,4,3.27587158,0.258041465,6,Incongruent,N
1,1,1,4,1.165342312,0.971205351,7,Incongruent,N
1,1,1,4,1.665099999,0.855240964,3,Congruent,N
1,2,2,4,2.419738982,2.034113021,2,Incongruent,N
1,2,2,4,2.844662592,0.371012463,3,Congruent,N
1,2,2,4,1.553385948,0.671604759,7,Incongruent,N
1,1,1,4,1.866107995,0.384247135,6,Congruent,N
1,2,2,4,1.955318228,0.249550094,4,Incongruent,N
1,2,2,4,4.874489355,0.320587029,7,Congruent,N
1,2,2,4,2.227496904,0.426090752,7,Congruent,N
1,2,2,4,3.957886648,0.436089242,4,Congruent,N
1,1,1,3,3.444551747,0.266704748,2,Congruent,N
1,2,NaN,NaN,NaN,NaN,4,Incongruent,N
1,1,1,4,1.962142757,0.360351984,4,Congruent,N
1,2,1,4,3.174711526,0.220975467,5,Congruent,N
1,1,1,4,1.56066335,0.335000069,6,Incongruent,N
1,2,2,4,2.528616803,0.319001331,3,Incongruent,N
1,2,2,4,2.415346562,0.7894868,1,Incongruent,N
1,1,1,4,2.77523605,0.453409394,6,Incongruent,N
1,2,2,4,2.000833261,0.270779323,3,Congruent,N
1,1,1,4,2.497526678,0.104226891,2,Incongruent,N
1,1,1,4,3.016773305,0.303002594,7,Incongruent,N
1,2,2,4,2.152715747,0.206346574,1,Incongruent,N
1,1,1,4,1.499738123,0.32971826,3,Incongruent,N
1,2,2,3,2.068717083,0.331115046,4,Incongruent,N
1,1,1,4,1.754976393,0.337173668,3,Congruent,N
1,2,2,4,1.955485971,0.44175208,6,Incongruent,N
1,2,2,4,1.518734418,0.964837545,2,Congruent,N
1,1,1,4,1.597108732,0.251452995,5,Incongruent,N
1,2,2,4,1.685203461,0.004582294,3,Incongruent,N
1,1,1,4,1.374691576,0.001154313,6,Incongruent,N
1,1,1,4,3.527636968,0.469825403,2,Congruent,N
1,2,2,4,2.004763828,0.23510049,7,Congruent,N
1,2,2,4,1.055613911,0.525627905,3,Congruent,N
1,2,2,4,2.298709279,0.313106283,5,Congruent,N
1,2,2,4,1.324451845,0.290646085,7,Incongruent,N
1,2,1,1,3.46041706,1.034631644,3,Congruent,N
1,1,1,4,1.614279744,0.012520723,3,Congruent,N
1,2,2,4,1.287652376,0.373765303,6,Congruent,N
1,1,1,4,2.040246052,0.326621275,2,Incongruent,N
1,2,2,4,2.479037779,1.557473674,5,Incongruent,N
1,2,2,4,2.278045179,0.26806016,3,Congruent,N
1,1,1,4,3.895831803,1.045502524,1,Congruent,N
1,1,1,4,1.939823039,0.289627441,6,Incongruent,N
1,1,2,4,3.217429778,0.55997955,6,Incongruent,N
1,2,2,4,2.710609259,0.001170029,1,Congruent,N
1,1,1,4,2.217536582,0.255643996,7,Congruent,N
1,2,NaN,NaN,NaN,NaN,4,Congruent,N
1,1,1,4,2.204853568,0.227124214,4,Incongruent,N
1,1,1,4,2.153803349,0.072637707,1,Incongruent,N
1,1,1,4,3.650562836,0.448691431,2,Congruent,N
1,1,1,4,1.904095134,0.03914915,2,Incongruent,N
1,2,2,4,1.451246379,0.361362289,7,Incongruent,N
1,2,1,2,3.422729484,1.453043439,1,Incongruent,N
1,2,2,4,1.656908512,0.271109677,7,Congruent,N
1,1,1,4,1.297822777,0.071922475,6,Incongruent,N
1,1,2,2,2.763961049,0.817862894,1,Incongruent,N
1,2,2,4,1.330744922,0.224872998,4,Incongruent,N
1,1,1,4,2.040993999,0.001203065,5,Incongruent,N
1,1,1,4,2.782281563,0.211903892,3,Congruent,N
1,2,2,4,1.579484847,0.585297467,3,Incongruent,N
1,2,1,2,4.08088436,0.367105952,6,Incongruent,N
1,2,2,2,4.197800358,1.179984675,1,Congruent,N
1,2,2,4,1.046130517,1.508268302,4,Incongruent,N
1,1,1,4,1.414398158,0.196307352,6,Incongruent,N
1,1,1,4,2.14597493,0.255837717,6,Congruent,N
1,1,1,4,1.3815578,0.291483195,6,Incongruent,N
1,2,2,4,1.597520872,0.211724282,6,Incongruent,N
1,1,1,4,1.613045889,0.001194726,7,Congruent,N
1,1,1,4,1.285844411,0.228237474,6,Congruent,N
1,1,1,4,1.184974619,0.454713489,5,Incongruent,N
1,1,1,4,3.329341079,0.351580935,2,Congruent,N
1,1,1,4,1.214678542,0.3326815,4,Congruent,N
1,1,1,4,3.076621515,1.554929951,1,Congruent,N
1,2,2,4,1.69019148,1.271706238,7,Congruent,N
1,2,2,4,2.641968831,0.592208594,6,Incongruent,N
1,1,1,4,1.166222721,1.004269901,7,Incongruent,N
1,2,2,4,2.273153379,1.207311335,2,Congruent,N
