"","Subj_idx","Stimulus","Response","Confidence","RT_dec","RT_conf","Difficulty","Task"
"1",1,1,1,4,0.479780713001674,0.791504457003612,10,"memory"
"2",1,2,2,4,0.526831153998501,0.641434367003967,10,"memory"
"3",1,2,2,4,0.91074294399732,0.82331021400023,10,"memory"
"4",1,1,1,2,1.73864605299605,1.16403822800203,10,"memory"
"5",1,1,1,3,0.912884803998168,0.507986767996044,10,"memory"
"6",1,1,1,2,1.97568802499882,1.07816170200385,10,"memory"
"7",1,1,1,4,0.802009819002706,0.358476782996149,10,"memory"
"8",1,1,2,2,1.17278133500076,1.13713187800022,10,"memory"
"9",1,2,2,1,2.03040110899747,0.474147307999374,10,"memory"
"10",1,2,2,3,1.53828353699646,0.539032590000716,10,"memory"
"11",1,2,2,3,0.938748633001524,0.768002737000643,11,"memory"
"12",1,2,2,4,0.344331476997468,0.265790088000358,11,"memory"
"13",1,1,1,3,1.4190698139937,0.545255199001986,11,"memory"
"14",1,2,2,4,0.84555863100104,2.97012050399644,11,"memory"
"15",1,2,1,1,1.12342502299725,0.708314392002649,11,"memory"
"16",1,1,1,3,1.33391518799908,0.300367693002045,11,"memory"
"17",1,1,1,1,1.9174133169945,0.624697398001445,11,"memory"
"18",1,2,2,2,0.765259409999999,1.12847692200012,11,"memory"
"19",1,1,1,3,0.37181386800512,1.0953713409981,11,"memory"
"20",1,1,2,2,0.880683939001756,1.12927380899782,11,"memory"
"21",1,2,2,4,0.918837015000463,0.343752284999937,11,"memory"
"22",1,2,2,4,0.378629072001786,0.353686665002897,12,"memory"
"23",1,2,2,4,0.905925553000998,0.910360853995371,12,"memory"
"24",1,2,2,1,1.67392210100661,1.12377279999782,12,"memory"
"25",1,1,1,1,3.00869763000082,1.29335728599835,12,"memory"
"26",1,1,1,2,0.950078844995005,1.40551871799835,12,"memory"
"27",1,1,1,3,1.13115850000031,0.242683413998748,12,"memory"
"28",1,1,2,2,1.7334332199971,0.696277274000749,12,"memory"
"29",1,2,1,2,1.12307853999664,0.860134458001994,12,"memory"
"30",1,1,1,3,0.59042369400413,0.439537898004346,12,"memory"
"31",1,2,1,2,1.27265789300145,0.448900923001929,12,"memory"
"32",1,1,1,1,0.854929331006133,0.386239209998166,12,"memory"
"33",1,2,2,4,0.450121149995539,0.249056612003187,12,"memory"
"34",1,1,1,4,0.689059513002576,0.365816428995458,12,"memory"
"35",1,1,1,4,0.637291187995288,0.326191794003535,12,"memory"
"36",1,1,2,4,1.07521173499845,0.417585238996253,12,"memory"
"37",1,2,2,3,0.53405383000063,0.436544463998871,12,"memory"
"38",1,2,2,1,1.57526688900543,0.528044175000105,12,"memory"
"39",1,1,1,4,0.471225635999872,0.289571424997121,12,"memory"
"40",1,2,2,4,2.01283299300121,0.293737403997511,12,"memory"
"41",1,1,2,2,1.22292885400384,0.307848218995787,12,"memory"
"42",1,1,1,2,0.776477644001716,1.95174393100024,12,"memory"
"43",1,2,1,1,0.67770654400374,0.434137888005353,12,"memory"
"44",1,2,1,1,2.7719935770001,0.538424931997724,12,"memory"
"45",1,1,2,1,0.940991365001537,0.825068402999023,12,"memory"
"46",1,2,2,4,0.361123606002366,0.125097386000562,12,"memory"
"47",1,1,1,1,2.27734671399958,0.139060025998333,12,"memory"
"48",1,1,1,4,1.18706363200181,0.197854545003793,12,"memory"
"49",1,2,2,3,1.81460573900404,0.48401153699524,12,"memory"
"50",1,2,2,4,0.37093646699941,0.150277726999775,12,"memory"
"51",1,2,2,2,1.91340463000233,0.632892406996689,12,"memory"
"52",1,2,2,3,0.89389815100003,0.175411648000591,12,"memory"
"53",1,1,2,1,2.81038579900633,0.670295765004994,12,"memory"
"54",1,2,2,3,0.707307708005828,0.18864326000039,12,"memory"
"55",1,1,1,3,0.774540289996366,0.267696668997814,12,"memory"
"56",1,1,1,1,2.13448009800049,1.06832965999638,12,"memory"
"57",1,1,2,1,0.408457564997661,1.28801791099977,12,"memory"
"58",1,2,2,3,0.721294445997046,0.51112754499627,12,"memory"
"59",1,1,1,4,0.380340276002244,0.490052402004949,12,"memory"
"60",1,1,2,2,0.787201023005764,0.630922206000832,12,"memory"
"61",1,1,2,1,2.46896712099988,0.462265103000391,12,"memory"
"62",1,1,2,1,1.25113919300202,0.780874784999469,12,"memory"
"63",1,2,1,1,1.29523042399524,0.668602848993032,12,"memory"
"64",1,2,2,4,0.237584542002878,0.300300479997532,12,"memory"
"65",1,1,1,4,0.389718589998665,0.646460194002429,12,"memory"
"66",1,1,1,3,0.96079740600544,0.45161363799707,12,"memory"
"67",1,1,2,3,0.665093831004924,0.543735827995988,12,"memory"
"68",1,1,2,1,2.73977560699859,0.499075691004691,12,"memory"
"69",1,2,2,3,0.996419785995386,0.454877821000991,12,"memory"
"70",1,1,1,3,0.619685259000107,0.281663424000726,12,"memory"
"71",1,1,1,2,0.937106228993798,2.70210009199945,12,"memory"
"72",1,2,2,2,0.982310728999437,0.591945982996549,12,"memory"
"73",1,1,1,3,1.29925559899857,0.702723766000418,12,"memory"
"74",1,1,2,1,2.49991277300433,0.430404562001058,12,"memory"
"75",1,1,1,1,0.871314859999984,0.442865026998334,12,"memory"
"76",1,2,2,4,0.344396240005153,0.43203105199791,12,"memory"
"77",1,1,1,4,1.67532982800185,0.364684193002176,12,"memory"
"78",1,2,2,2,3.37288097700366,0.436802586002159,12,"memory"
"79",1,1,1,2,1.02637771500304,0.216812390004634,12,"memory"
"80",1,2,2,4,0.798494677001145,0.195928445005848,12,"memory"
"81",1,1,1,3,1.1992410899984,0.339392032998148,12,"memory"
"82",1,1,1,2,0.912068509001983,0.464162404001399,12,"memory"
"83",1,1,1,1,1.4588978699976,0.622167469002306,12,"memory"
"84",1,1,1,4,0.480363634000241,0.228132893003931,12,"memory"
"85",1,1,1,4,0.467371345999709,0.52288423400023,12,"memory"
"86",1,1,1,4,0.640069697998115,0.386603756000113,12,"memory"
"87",1,2,1,1,2.22263940799894,0.314313310998841,12,"memory"
"88",1,1,1,1,0.737399085999641,0.641898535002838,12,"memory"
"89",1,1,1,3,0.437402627998381,0.436435988995072,12,"memory"
"90",1,2,2,4,0.94199461399694,0.301064408995444,12,"memory"
"91",1,1,2,1,1.84963270900334,0.20952821100218,12,"memory"
"92",1,1,1,2,1.70219260299928,0.586070769000798,12,"memory"
"93",1,2,2,2,0.924702172000252,0.334729505004361,12,"memory"
"94",1,1,1,4,0.315326338997693,0.18251092400169,13,"memory"
"95",1,1,1,4,0.813613361002353,1.66670936599985,13,"memory"
"96",1,2,1,1,1.46136290600407,0.237086166001973,13,"memory"
"97",1,1,2,2,1.05848421100382,1.43797186700249,13,"memory"
"98",1,1,2,3,3.24334949399781,1.02599638500396,13,"memory"
"99",1,2,2,1,1.22891636400163,0.422871848997602,13,"memory"
"100",1,2,2,4,0.278511453005194,0.521825875999639,13,"memory"
"101",1,1,1,4,0.378216346005502,0.457333878999634,13,"memory"
"102",1,2,2,3,0.385198559000855,1.81086600500566,13,"memory"
"103",1,1,1,3,0.809662417996151,0.393658551998669,13,"memory"
"104",1,1,1,1,2.17434885600233,0.700455464000697,13,"memory"
"105",1,1,1,3,0.460993609005527,0.365597320000234,13,"memory"
"106",1,2,1,1,2.06300577899674,0.496816959996067,13,"memory"
"107",1,1,2,2,1.60567893899861,0.627668175002327,13,"memory"
"108",1,2,2,3,1.8313639140033,0.29532607299916,13,"memory"
"109",1,1,2,1,1.57985251199716,0.256232323001313,13,"memory"
"110",1,2,2,4,0.503201955005352,0.614317356004904,13,"memory"
"111",1,1,1,4,0.289525013999082,0.956885347994103,13,"memory"
"112",1,1,1,3,0.98915607699746,0.66067274499801,13,"memory"
"113",1,2,2,2,1.72824097699777,1.56848156399792,13,"memory"
"114",1,1,1,3,0.655228761999751,0.504715734998172,13,"memory"
"115",1,2,1,2,0.932274342005257,0.595797908994427,13,"memory"
"116",1,1,1,4,0.699637189994974,0.980278362003446,13,"memory"
"117",1,1,1,4,0.492444322000665,0.797776437000721,13,"memory"
"118",1,2,2,1,1.39766080299887,1.60892976600007,13,"memory"
"119",1,1,2,2,2.14217096599896,0.658949557000597,13,"memory"
"120",1,2,1,1,1.62472645899834,0.305557155996212,13,"memory"
"121",1,1,1,4,1.00118569500046,0.334020872003748,13,"memory"
"122",1,1,2,1,2.5505396189983,1.022647107995,13,"memory"
"123",1,1,1,1,1.01696555699891,0.753262809004809,13,"memory"
"124",1,2,2,2,2.05303681099758,0.347991160000674,13,"memory"
"125",1,1,2,1,1.69588528700115,0.496329861998674,13,"memory"
"126",1,2,2,1,2.8128626070029,0.701529095000296,13,"memory"
"127",1,1,1,3,1.16958376100229,0.974234921995958,13,"memory"
"128",1,1,1,4,0.411245832998247,0.986201865998737,13,"memory"
"129",1,1,2,1,0.912044858996524,0.787165398003708,13,"memory"
"130",1,2,2,3,0.766808199005027,0.641369067001506,13,"memory"
"131",1,1,2,1,2.97901396299858,0.275635037003667,13,"memory"
"132",1,2,2,1,1.13595757699659,0.622334597996087,13,"memory"
"133",1,1,1,1,1.17005866199906,0.855760972001008,13,"memory"
"134",1,2,2,2,1.76854095099407,0.907968034000078,13,"memory"
"135",1,2,2,4,0.999200565995125,0.302445035995333,13,"memory"
"136",1,2,2,4,0.322753202999593,0.306639656999323,13,"memory"
"137",1,2,2,1,0.850761518006038,0.385272646002704,13,"memory"
"138",1,2,2,1,1.90929000699543,0.802027377998456,13,"memory"
"139",1,1,1,2,1.81178692899994,0.675367203999485,13,"memory"
"140",1,1,1,3,0.884765237002284,0.743812795000849,13,"memory"
"141",1,1,1,1,1.6666959849972,0.360129034997954,13,"memory"
"142",1,2,2,4,0.286547535004502,0.376204448999488,13,"memory"
"143",1,2,1,3,1.76311397200334,0.746663327998249,13,"memory"
"144",1,2,2,4,0.904468095999619,0.203959662998386,13,"memory"
"145",1,1,1,4,0.643276752001839,0.303871766001976,13,"memory"
"146",1,2,1,1,0.943719636998139,0.620013200001267,13,"memory"
"147",1,2,2,1,0.918032849003794,0.836537797003984,13,"memory"
"148",1,1,1,3,0.514648322998255,0.562171231002139,13,"memory"
"149",1,1,1,4,0.862932603995432,1.71804124600021,13,"memory"
"150",1,1,2,2,1.65528959999938,0.580645453002944,13,"memory"
"151",1,2,2,4,0.318551853000827,0.680053330004739,13,"memory"
"152",1,2,2,4,0.791341809999722,0.358537863001402,13,"memory"
"153",1,1,1,1,1.88704725499701,0.465210511996702,13,"memory"
"154",1,2,2,2,1.84374851299799,0.608257845997286,13,"memory"
