Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,difficulty,Task,Condition,Block,Accuracy
1,1,1,4,2.389919596,1.450966381,0.12,perception,1,1,1
1,2,1,2,2.560766946,1.467898127,0.721719566,perception,1,1,0
1,1,1,3,2.774725125,2.652070596,0.197430461,perception,1,1,1
1,2,2,2,3.585507547,1.184100304,0.197430461,perception,1,1,1
1,1,1,2,3.786452679,0.734024275,0.197430461,perception,1,1,1
1,2,NaN,NaN,NaN,NaN,0.708604613,perception,1,1,0
1,2,2,3,4.015708796,1.651210073,0.233552041,perception,1,1,1
1,1,1,2,3.802485093,2.201739584,0.233552041,perception,1,1,1
1,2,2,3,2.451522209,0.784057455,0.233552041,perception,1,1,1
1,1,1,3,2.058870941,0.43381365,0.694871572,perception,1,1,1
1,2,1,1,3.792708871,1.801477034,0.694871572,perception,1,1,0
1,2,2,3,4.190408776,2.55201033,0.233552041,perception,1,1,1
1,2,1,3,4.16020387,1.867978181,0.233552041,perception,1,1,0
1,2,2,4,1.680675692,0.400457235,0.05,perception,1,1,1
1,1,1,4,1.415860053,0.367097612,0.05,perception,1,1,1
1,1,1,4,0.741427724,0.50055214,0.05,perception,1,1,1
1,1,NaN,NaN,NaN,NaN,0.603974086,perception,1,1,0
1,1,1,4,1.260164067,0.333497441,0.05,perception,1,1,1
1,1,1,4,0.97079289,0.416876131,0.05,perception,1,1,1
1,1,1,4,0.768735461,0.483846189,0.05,perception,1,1,1
1,1,1,4,4.574930137,0.433555461,0.585309959,perception,1,1,1
1,1,1,1,4.25000874,0.550565434,0.585309959,perception,1,1,1
1,1,1,2,4.006779947,0.934172389,0.585309959,perception,1,1,1
1,1,2,1,4.910893363,1.234478271,0.75,perception,1,1,0
1,1,2,1,4.805415619,0.950626886,0.427283087,perception,1,1,0
1,1,1,4,1.0175777,0.400320603,0.05,perception,1,1,1
1,1,1,4,0.68373034,1.117402227,0.05,perception,1,1,1
1,1,1,4,0.822622552,0.550402181,0.05,perception,1,1,1
1,1,2,4,1.187082147,0.367103065,0.56576622,perception,1,1,0
1,2,2,4,1.188646355,0.383593163,0.05,perception,1,1,1
1,2,2,4,1.024377211,0.283694226,0.05,perception,1,1,1
1,1,1,4,0.680037115,0.367099858,0.05,perception,1,1,1
1,2,2,2,3.639234914,1.26776637,0.545301412,perception,1,1,1
1,2,1,2,3.956979939,0.533872954,0.545301412,perception,1,1,0
1,1,1,4,2.255993914,0.416889602,0.05,perception,1,1,1
1,1,1,4,0.739017105,0.500356493,0.05,perception,1,1,1
1,1,1,4,4.52680499,1.484605361,0.05,perception,1,1,1
1,1,1,2,4.025383347,0.466912197,0.523872128,perception,1,1,1
1,1,NaN,NaN,NaN,NaN,0.523872128,perception,1,1,0
1,1,1,4,0.789012759,1.117636041,0.05,perception,1,1,1
1,1,1,4,0.990109597,0.383592522,0.05,perception,1,1,1
1,2,2,4,0.949693236,0.400471989,0.05,perception,1,1,1
1,2,1,2,3.81725158,0.500528405,0.501432913,perception,1,1,0
1,2,2,4,1.580109312,0.40046397,0.05,perception,1,1,1
1,1,1,4,1.434152985,0.533699759,0.05,perception,1,1,1
1,2,2,4,0.88977222,0.416948296,0.05,perception,1,1,1
1,2,NaN,NaN,NaN,NaN,0.489819793,perception,1,1,0
1,1,1,4,0.970824643,0.734036142,0.05,perception,1,1,1
1,1,1,4,0.910746788,1.034073251,0.05,perception,1,1,1
1,1,1,4,0.785270141,0.933976742,0.05,perception,1,1,1
1,1,1,1,3.834477437,0.617273454,0.47793617,perception,1,1,1
1,2,2,2,4.211549484,0.800736785,0.47793617,perception,1,1,1
1,2,2,2,3.91280332,0.600594123,0.47793617,perception,1,1,1
1,1,2,2,1.744541708,0.367098895,0.713104587,perception,1,1,0
1,1,2,2,3.760852518,2.335178075,0.47793617,perception,1,1,0
1,1,1,4,1.2592843,0.433885815,0.05,perception,1,1,1
1,1,1,4,1.408313237,1.184147131,0.05,perception,1,1,1
1,1,1,4,1.265288397,1.567980523,0.05,perception,1,1,1
1,1,1,2,3.552893625,0.350423735,0.465775741,perception,1,1,1
1,2,NaN,NaN,NaN,NaN,0.465775741,perception,1,1,0
1,2,2,4,2.440753322,0.33373799,0.12,perception,1,2,1
1,1,1,1,3.313600851,0.400470385,0.721719566,perception,1,2,1
1,1,1,1,4.715954894,1.017561984,0.75,perception,1,2,1
1,2,1,2,4.125698914,1.417870399,0.75,perception,1,2,0
1,2,1,1,3.94326417,1.251062344,0.278992124,perception,1,2,0
1,1,1,4,1.299532277,0.316973666,0.05,perception,1,2,1
1,2,2,4,0.871987007,0.416960484,0.05,perception,1,2,1
1,2,2,4,1.491793278,1.234392315,0.05,perception,1,2,1
1,1,2,1,3.969355371,0.717338209,0.655075848,perception,1,2,0
1,1,1,3,1.350696357,0.333727085,0.092757043,perception,1,2,1
1,2,2,4,1.209477557,0.450272959,0.092757043,perception,1,2,1
1,2,2,4,1.271704634,1.918219837,0.092757043,perception,1,2,1
1,1,NaN,NaN,NaN,NaN,0.638820073,perception,1,2,0
1,2,2,3,2.285329316,0.417150998,0.092757043,perception,1,2,1
1,1,1,4,1.995622654,0.450325879,0.092757043,perception,1,2,1
1,2,2,3,1.273968359,0.56724316,0.092757043,perception,1,2,1
1,1,2,1,4.4958005,1.484556289,0.621798188,perception,1,2,0
1,2,2,3,2.339448297,0.683736755,0.092757043,perception,1,2,1
1,1,NaN,NaN,NaN,NaN,0.092757043,perception,1,2,0
1,2,2,4,1.713589177,0.667311444,0.05,perception,1,2,1
1,2,2,4,0.977114512,1.050928021,0.05,perception,1,2,1
1,2,2,4,2.290394311,3.085721635,0.05,perception,1,2,1
1,2,NaN,NaN,NaN,NaN,0.585309959,perception,1,2,0
1,2,2,4,0.877500705,0.333770063,0.05,perception,1,2,1
1,1,1,4,1.447548985,0.533693665,0.05,perception,1,2,1
1,1,1,4,0.818238471,0.483587037,0.05,perception,1,2,1
1,2,1,2,3.708851008,0.767390633,0.56576622,perception,1,2,0
1,2,2,4,1.120231081,0.316829657,0.05,perception,1,2,1
1,2,2,4,0.81914967,1.584641571,0.05,perception,1,2,1
1,2,2,3,1.039427225,0.417140414,0.05,perception,1,2,1
1,1,1,3,3.058071678,1.534609033,0.545301412,perception,1,2,1
1,1,1,1,4.553369591,1.067597088,0.545301412,perception,1,2,1
1,1,2,2,3.161736967,0.367233282,0.545301412,perception,1,2,0
1,1,1,4,1.153343099,0.767393519,0.05,perception,1,2,1
1,2,2,4,2.133441377,1.585091237,0.05,perception,1,2,1
1,1,1,3,2.242980867,2.852228011,0.05,perception,1,2,1
1,1,1,2,2.582205614,2.518660329,0.523872128,perception,1,2,1
1,1,2,2,1.716157917,0.350433357,0.523872128,perception,1,2,0
1,1,1,4,1.010272715,0.383772452,0.05,perception,1,2,1
1,2,2,4,0.975994838,0.433820386,0.05,perception,1,2,1
1,1,1,4,0.724969699,1.267611136,0.05,perception,1,2,1
1,1,2,1,4.644674202,1.251076776,0.501432913,perception,1,2,0
1,2,2,4,1.296568396,0.450527299,0.05,perception,1,2,1
1,2,2,3,1.340843479,4.219608188,0.05,perception,1,2,1
1,2,2,3,2.676162676,0.383769245,0.05,perception,1,2,1
1,2,1,1,3.29053864,0.617054073,0.489819793,perception,1,2,0
1,1,1,4,1.422173336,0.400490591,0.05,perception,1,2,1
1,2,2,4,1.977351853,0.867473991,0.05,perception,1,2,1
1,2,2,3,3.880676269,1.584633553,0.05,perception,1,2,1
1,1,2,2,4.060278632,0.467164934,0.47793617,perception,1,2,0
1,2,2,4,1.132129585,0.366880798,0.05,perception,1,2,1
1,1,1,4,0.823676156,2.018287158,0.05,perception,1,2,1
1,1,1,4,0.758279608,1.584406796,0.05,perception,1,2,1
1,1,1,1,3.578894059,0.433795048,0.465775741,perception,1,2,1
1,2,1,1,4.094899693,0.66733165,0.465775741,perception,1,2,0
1,2,2,4,1.230537761,0.300410761,0.05,perception,1,2,1
1,2,2,4,1.466079899,1.201025956,0.05,perception,1,2,1
1,1,1,4,3.074402693,0.367104989,0.05,perception,1,2,1
1,2,1,1,3.532958227,0.533875199,0.45333206,perception,1,2,0
1,1,1,1,1.08457983,1.934695181,0.05,perception,1,2,1
1,2,2,4,2.945227689,0.53388867,0.12,perception,1,3,1
1,2,2,1,4.021146481,0.300367462,0.721719566,perception,1,3,1
1,1,2,2,3.129551864,0.417008914,0.75,perception,1,3,0
1,1,1,2,2.444001051,0.350418924,0.278992124,perception,1,3,1
1,1,1,2,1.51035819,0.383778226,0.278992124,perception,1,3,1
1,2,2,1,4.267439544,0.7506927,0.278992124,perception,1,3,1
1,2,NaN,NaN,NaN,NaN,0.738217863,perception,1,3,0
1,1,2,1,1.915050687,2.251781103,0.311442824,perception,1,3,0
