Subj_idx,Stimulus,Response,Confidence,RT_dec,Load,Condition,Accuracy,Task,Block
1,45,-45,1,1.17604467800015,NaN,1,0,percept,1
1,45,45,1,1.20750726599999,NaN,1,1,percept,1
1,-45,45,1,1.15808815100013,NaN,0.5,0,percept,1
1,45,45,1,0.80156001499995,NaN,1,1,percept,1
1,-45,-45,1,0.571246932000122,NaN,1,1,percept,1
1,45,-45,1,1.37957255700007,NaN,0.5,0,percept,1
1,-45,-45,2,0.647084794000193,NaN,0.5,1,percept,1
1,-45,-45,1,1.73814337300018,NaN,1,1,percept,1
1,-45,45,1,1.82322985899987,NaN,0.5,0,percept,1
1,-45,-45,1,0.910154091000095,NaN,0.5,1,percept,1
1,-45,-45,2,1.10380641200027,NaN,1,1,percept,1
1,-45,3,1,2.13595593400009,NaN,0.5,0,percept,1
1,-45,45,1,1.55632955999999,NaN,0.5,0,percept,1
1,45,-45,1,2.04447724500005,NaN,1,0,percept,1
1,45,45,2,1.0517320460001,NaN,0.5,1,percept,1
1,45,45,1,2.67222422100008,NaN,1,1,percept,1
1,45,45,1,1.76082906700026,NaN,0.5,1,percept,1
1,-45,45,1,1.35190911900008,NaN,0.5,0,percept,1
1,45,-45,1,1.11624752400007,NaN,0.5,0,percept,1
1,45,-45,1,1.6407591090001,NaN,1,0,percept,1
1,45,45,1,1.45257363300016,NaN,0.5,1,percept,1
1,-45,45,1,2.80272986600016,NaN,1,0,percept,1
1,45,45,1,0.704719780000232,NaN,1,1,percept,1
1,-45,-45,1,0.920627915000068,NaN,1,1,percept,1
1,45,45,3,0.841367654000123,NaN,0.5,1,percept,1
1,45,-45,1,2.40951367700018,NaN,1,0,percept,1
1,-45,-45,1,1.0719319509999,NaN,0.5,1,percept,1
1,-45,45,1,1.43691011600026,NaN,0.5,0,percept,1
1,45,45,1,1.05469481199998,NaN,0.5,1,percept,1
1,45,-45,1,0.924368580000191,NaN,0.5,0,percept,1
1,45,45,2,0.877576506000196,NaN,1,1,percept,1
1,45,45,3,0.999387612999953,NaN,0.5,1,percept,1
1,-45,-45,1,0.906102826000051,NaN,1,1,percept,1
1,-45,-45,2,1.30196006000006,NaN,0.5,1,percept,1
1,45,-45,1,0.929817553000021,NaN,1,0,percept,1
1,-45,-45,1,1.54824993600005,NaN,0.5,1,percept,1
1,45,45,2,1.04008373900001,NaN,1,1,percept,1
1,-45,-45,3,0.963848976999998,NaN,1,1,percept,1
1,45,-45,1,0.949419067000235,NaN,1,0,percept,1
1,-45,-45,1,1.12162981400002,NaN,1,1,percept,1
1,45,-45,2,0.618318637000129,NaN,0.5,0,percept,1
1,-45,-45,3,0.671725270000024,NaN,1,1,percept,1
1,45,-45,3,0.83772206499998,NaN,0.5,0,percept,1
1,-45,-45,3,0.841280917000176,NaN,0.5,1,percept,1
1,-45,45,1,2.09102115900009,NaN,0.5,0,percept,1
1,-45,-45,1,1.70576445200027,NaN,1,1,percept,1
1,-45,-45,2,0.709560265999926,NaN,0.5,1,percept,1
1,45,45,1,1.183026058,NaN,0.5,1,percept,1
1,45,-45,1,0.942864761999999,NaN,0.5,0,percept,1
1,-45,-45,1,1.03589524500012,NaN,1,1,percept,1
1,-45,-45,2,0.792405299000166,NaN,1,1,percept,1
1,45,45,2,1.07725086200003,NaN,0.5,1,percept,1
1,45,-45,1,0.770292961000223,NaN,1,0,percept,1
1,-45,45,1,1.13393847099996,NaN,1,0,percept,1
1,45,-45,1,0.776128994999908,NaN,1,0,percept,1
1,-45,45,1,0.921468945000015,NaN,0.5,0,percept,1
1,45,-45,1,0.974314355999923,NaN,1,0,percept,1
1,-45,-45,2,0.859234266000158,NaN,1,1,percept,1
1,45,-45,2,1.1546936279999,NaN,0.5,0,percept,1
1,45,45,1,1.39303794200009,NaN,1,1,percept,1
1,45,45,1,1.19790130499996,NaN,0.5,1,percept,1
1,-45,-45,1,0.598957754000139,NaN,0.5,1,percept,1
1,45,-45,1,0.566637104000165,NaN,1,0,percept,1
1,45,-45,1,0.624202294000042,NaN,1,0,percept,1
1,-45,45,1,1.67384945799995,NaN,0.5,0,percept,1
1,-45,-45,1,0.744166554000003,NaN,0.5,1,percept,1
1,-45,-45,1,1.93851816000006,NaN,0.5,1,percept,1
1,-45,-45,1,0.829804195999941,NaN,1,1,percept,1
1,45,-45,1,0.781782973999952,NaN,1,0,percept,1
1,-45,-45,1,0.631634398000188,NaN,0.5,1,percept,1
1,-45,-45,1,0.71196431400017,NaN,1,1,percept,1
1,1,1,1,3.05986311700008,3,1,1,wm,1
1,1,1,4,2.15611010600014,3,0.5,1,wm,1
1,1,1,3,1.3866399450003,3,1,1,wm,1
1,1,1,3,2.25806810300037,3,0.5,1,wm,1
1,0,1,4,1.45771850199981,3,0.5,0,wm,1
1,0,0,4,1.596604931,3,1,1,wm,1
1,1,1,2,2.61529516400014,3,1,1,wm,1
1,1,0,2,1.57571066699984,3,0.5,0,wm,1
1,0,0,2,1.99406325000018,3,0.5,1,wm,1
1,0,0,4,1.87473661700005,3,0.5,1,wm,1
1,1,0,1,4.290151788,3,0.5,0,wm,1
1,1,0,2,1.48503373200037,3,1,0,wm,1
1,1,1,3,1.55422758499981,3,0.5,1,wm,1
1,0,0,2,1.48409733000017,3,0.5,1,wm,1
1,0,1,2,2.83892354900036,3,1,0,wm,1
1,1,0,2,2.29516001000002,3,1,0,wm,1
1,1,1,3,1.27544216900014,3,0.5,1,wm,1
1,0,0,1,1.55812257700018,3,0.5,1,wm,1
1,1,0,2,1.39790136800002,3,1,0,wm,1
1,0,0,1,1.27908590400011,3,1,1,wm,1
1,0,0,2,1.79503576100024,3,1,1,wm,1
1,1,1,4,1.25294186500014,3,0.5,1,wm,1
1,1,0,2,1.99026690799974,3,0.5,0,wm,1
1,1,1,2,1.07950231400037,3,0.5,1,wm,1
1,0,1,1,2.0654649750004,3,0.5,0,wm,1
1,1,0,4,1.55099740000014,3,0.5,0,wm,1
1,0,0,1,1.91167096900017,3,1,1,wm,1
1,0,0,2,2.1864017869998,3,1,1,wm,1
1,1,1,3,1.88947771199992,3,1,1,wm,1
1,1,1,3,2.50217358200007,3,0.5,1,wm,1
1,1,1,4,1.29448310600037,3,0.5,1,wm,1
1,1,1,4,1.01506222999978,3,1,1,wm,1
1,0,1,4,1.12568925100004,3,1,0,wm,1
1,0,1,2,1.95338544000015,3,0.5,0,wm,1
1,0,0,1,1.61996065499989,3,0.5,1,wm,1
1,0,0,3,2.30314070700024,3,0.5,1,wm,1
1,0,0,3,1.1986393279999,3,0.5,1,wm,1
1,1,1,1,1.32834355200021,3,1,1,wm,1
1,1,1,4,0.95503666400009,3,0.5,1,wm,1
1,0,0,1,1.21380425000007,3,1,1,wm,1
1,0,0,2,1.18324390799989,3,1,1,wm,1
1,1,1,2,1.20632654800011,3,0.5,1,wm,1
1,1,0,3,1.77013228300029,3,0.5,0,wm,1
1,0,0,3,2.06682646199988,3,0.5,1,wm,1
1,0,1,4,1.45847185299999,3,0.5,0,wm,1
1,1,0,2,2.28761503900023,3,1,0,wm,1
1,0,0,2,1.53177878399993,3,0.5,1,wm,1
1,0,0,2,1.71422000800021,3,0.5,1,wm,1
1,1,1,4,1.05860951899967,3,0.5,1,wm,1
1,0,0,1,1.52421744699996,3,1,1,wm,1
1,1,1,1,1.15462223400027,3,0.5,1,wm,1
1,1,1,2,1.29554776800023,3,1,1,wm,1
1,0,0,2,1.84702133300016,3,1,1,wm,1
1,1,0,1,1.27580873100032,3,0.5,0,wm,1
1,0,0,1,1.48322613100027,3,1,1,wm,1
1,0,1,1,2.08144037900001,3,0.5,0,wm,1
1,1,1,4,0.965517360000376,3,1,1,wm,1
1,1,0,1,2.37380877100031,3,1,0,wm,1
1,1,0,1,1.16806696700041,3,0.5,0,wm,1
1,1,1,4,1.69478445999994,3,0.5,1,wm,1
1,1,1,1,2.83958780700004,1,0.5,1,wm,2
1,0,0,1,3.31363247099989,1,0.5,1,wm,2
1,1,1,4,1.35718162900002,1,1,1,wm,2
1,1,1,4,1.18380969300006,1,0.5,1,wm,2
1,0,1,4,2.52680811000027,1,1,0,wm,2
1,0,0,2,1.54480397800035,1,0.5,1,wm,2
1,1,1,3,1.31526344799977,1,1,1,wm,2
1,0,0,2,1.33884416799992,1,1,1,wm,2
1,0,0,2,1.07205907900016,1,0.5,1,wm,2
1,0,1,1,0.824004175000482,1,1,0,wm,2
1,0,0,3,1.30113932999984,1,0.5,1,wm,2
1,1,1,3,2.36132709500043,1,1,1,wm,2
1,1,1,3,1.33554864799999,1,0.5,1,wm,2
1,0,0,2,1.96158319300002,1,0.5,1,wm,2
1,0,0,2,1.21063321200018,1,0.5,1,wm,2
1,1,1,3,1.21832608700015,1,1,1,wm,2
1,1,0,2,2.87130068000033,1,0.5,0,wm,2
1,1,1,3,1.27931311500015,1,0.5,1,wm,2
1,1,1,2,1.49968931000012,1,1,1,wm,2
1,0,0,1,1.29945947800024,1,1,1,wm,2
1,1,1,4,1.090120759,1,1,1,wm,2
1,0,1,2,1.06914762899987,1,1,0,wm,2
1,0,0,2,1.17994220400033,1,1,1,wm,2
1,1,0,2,2.77083857300022,1,1,0,wm,2
1,0,0,2,2.73407996100013,1,0.5,1,wm,2
1,1,0,1,1.19527222500028,1,0.5,0,wm,2
1,1,1,2,1.21374358999992,1,0.5,1,wm,2
1,0,1,2,0.831483858000411,1,1,0,wm,2
1,0,0,2,3.21270781300018,1,1,1,wm,2
1,0,0,2,2.08623767400013,1,0.5,1,wm,2
1,0,0,2,0.996558936000383,1,0.5,1,wm,2
1,0,0,2,1.75025602799997,1,0.5,1,wm,2
1,0,1,1,1.30336328600015,1,0.5,0,wm,2
1,0,0,1,2.64166577900005,1,1,1,wm,2
1,1,1,3,1.03698285000019,1,0.5,1,wm,2
1,1,1,2,0.965652804000001,1,1,1,wm,2
1,0,0,2,1.69714932900024,1,0.5,1,wm,2
1,1,0,2,1.41523005800036,1,1,0,wm,2
1,1,1,2,1.1555083330004,1,0.5,1,wm,2
1,0,0,2,1.17830213100024,1,0.5,1,wm,2
1,1,1,1,0.759767370000191,1,0.5,1,wm,2
1,1,1,1,0.853843940999923,1,1,1,wm,2
1,1,1,2,1.19630979600015,1,0.5,1,wm,2
1,0,0,1,3.27060456200024,1,0.5,1,wm,2
1,1,0,2,1.20493550600031,1,1,0,wm,2
1,0,0,1,0.557638095000129,1,0.5,1,wm,2
1,1,1,1,1.80906509400029,1,1,1,wm,2
1,1,1,2,1.22434911100027,1,0.5,1,wm,2
1,0,0,1,1.67655506200026,1,1,1,wm,2
1,0,0,2,1.51765939799998,1,0.5,1,wm,2
1,1,1,3,1.33764587799988,1,0.5,1,wm,2
1,1,1,3,1.11646665299986,1,1,1,wm,2
1,0,0,3,1.13306991700028,1,1,1,wm,2
1,0,1,1,1.98972950699999,1,1,0,wm,2
1,1,0,2,0.990601127000446,1,1,0,wm,2
1,1,1,2,0.965183530000104,1,1,1,wm,2
1,1,1,3,1.16753738100033,1,1,1,wm,2
1,0,0,2,1.41588563799996,1,0.5,1,wm,2
1,0,1,2,0.976719754000442,1,1,0,wm,2
1,1,1,3,0.868793761999768,1,0.5,1,wm,2
1,0,1,2,4.09065595600032,3,0.5,0,wm,3
1,1,1,2,1.41326315100014,3,0.5,1,wm,3
1,0,0,2,0.997365535999961,3,0.5,1,wm,3
1,1,1,2,0.797202286999891,3,1,1,wm,3
1,1,1,3,2.35950978400024,3,1,1,wm,3
1,1,1,2,1.62595348500008,3,1,1,wm,3
1,0,0,2,1.39492711599996,3,0.5,1,wm,3
1,0,0,2,1.02017077400023,3,0.5,1,wm,3
1,0,1,2,1.30424471200013,3,1,0,wm,3
1,0,1,2,0.892102800999965,3,0.5,0,wm,3
1,1,1,3,1.14468633199976,3,1,1,wm,3
1,1,0,2,1.65043347900018,3,1,0,wm,3
1,0,0,2,2.26639146700018,3,1,1,wm,3
1,0,0,2,2.73919300099988,3,0.5,1,wm,3
1,1,1,2,1.85916197000051,3,1,1,wm,3
1,1,0,2,1.2819368129999,3,1,0,wm,3
1,0,0,2,1.81216257500046,3,0.5,1,wm,3
1,0,1,1,1.98488124600044,3,0.5,0,wm,3
1,0,1,3,2.54362278300005,3,1,0,wm,3
1,0,1,3,1.42495879800026,3,0.5,0,wm,3
1,0,0,2,1.37034337099976,3,1,1,wm,3
1,1,1,2,1.5001110320004,3,1,1,wm,3
1,0,0,2,2.4879435050002,3,0.5,1,wm,3
1,0,0,1,1.30861883299985,3,0.5,1,wm,3
1,1,1,2,1.03973389000021,3,0.5,1,wm,3
1,1,1,3,3.38590811700033,3,1,1,wm,3
1,0,1,3,0.940308023999933,3,0.5,0,wm,3
1,1,0,2,1.08165924100012,3,1,0,wm,3
1,0,0,2,1.90948729800039,3,1,1,wm,3
1,0,0,1,1.05159019600023,3,0.5,1,wm,3
1,1,1,3,1.3869519560003,3,1,1,wm,3
1,0,1,2,0.984180478000326,3,0.5,0,wm,3
1,1,1,3,1.79270395499998,3,0.5,1,wm,3
1,1,1,2,1.30451579200007,3,0.5,1,wm,3
1,0,0,3,0.755456248999963,3,1,1,wm,3
1,0,0,2,2.03100726299999,3,1,1,wm,3
1,1,1,3,4.31789013200023,3,1,1,wm,3
1,1,0,2,1.1375995680005,3,0.5,0,wm,3
1,0,0,3,1.50091956200004,3,1,1,wm,3
1,1,0,2,1.2754319440005,3,1,0,wm,3
1,0,0,3,1.07464893399992,3,0.5,1,wm,3
1,1,1,3,1.11787868300053,3,1,1,wm,3
1,0,0,1,1.32635528600031,3,1,1,wm,3
1,1,0,2,2.24875851000024,3,1,0,wm,3
1,1,1,3,1.95352384500029,3,1,1,wm,3
1,1,1,3,1.08013944300046,3,0.5,1,wm,3
1,0,0,2,1.90213333600013,3,1,1,wm,3
1,1,1,2,2.56839813500028,3,0.5,1,wm,3
1,1,1,2,1.18443339800024,3,0.5,1,wm,3
1,1,1,2,1.04230909699982,3,1,1,wm,3
1,0,1,3,0.843439589999889,3,0.5,0,wm,3
1,1,0,2,1.0517160280001,3,0.5,0,wm,3
1,0,0,2,1.79070195400027,3,1,1,wm,3
1,0,1,2,1.51043123099998,3,0.5,0,wm,3
1,0,0,2,1.32286687600026,3,0.5,1,wm,3
1,1,1,3,0.943891264000285,3,0.5,1,wm,3
1,0,1,3,0.787764888000311,3,0.5,0,wm,3
1,0,0,2,1.49257503999979,3,1,1,wm,3
1,1,1,3,0.86197358399977,3,1,1,wm,3
1,0,1,3,2.62493767500018,3,1,0,wm,3
1,0,1,1,4.09335454800021,1,1,0,wm,4
1,1,0,3,1.17829595200055,1,1,0,wm,4
1,1,1,4,0.678221150999889,1,0.5,1,wm,4
1,1,1,4,1.25970356700009,1,1,1,wm,4
1,1,1,2,1.31505839800002,1,0.5,1,wm,4
1,0,0,1,1.04569730000003,1,0.5,1,wm,4
1,0,0,2,1.03636823600027,1,0.5,1,wm,4
1,0,0,2,2.31415663300049,1,1,1,wm,4
1,0,0,2,1.02288363200023,1,0.5,1,wm,4
1,0,0,3,1.36964278600044,1,0.5,1,wm,4
1,0,0,1,2.25612243600062,1,0.5,1,wm,4
1,0,0,3,1.30886779199955,1,0.5,1,wm,4
1,1,0,2,1.3884157650009,1,1,0,wm,4
1,0,1,3,0.935445280999375,1,0.5,0,wm,4
1,1,1,2,0.966857538000113,1,1,1,wm,4
1,0,0,2,1.49709044799965,1,1,1,wm,4
1,1,1,3,0.784547678000308,1,0.5,1,wm,4
1,0,0,2,0.974778272000549,1,0.5,1,wm,4
1,1,1,4,0.890776547000314,1,0.5,1,wm,4
1,1,1,3,1.54949878600019,1,1,1,wm,4
1,1,0,3,1.41592806100016,1,0.5,0,wm,4
1,1,0,2,1.38560401699942,1,1,0,wm,4
1,1,1,4,1.17213963900031,1,0.5,1,wm,4
1,0,1,2,0.855780259000312,1,0.5,0,wm,4
1,1,1,3,0.824868218999654,1,1,1,wm,4
1,0,1,2,1.04155159600032,1,1,0,wm,4
1,1,1,3,0.735987779999959,1,0.5,1,wm,4
1,1,1,2,1.16089563400055,1,0.5,1,wm,4
1,0,0,2,0.897280182000031,1,0.5,1,wm,4
1,1,0,2,1.14055203499993,1,1,0,wm,4
1,1,0,2,1.16151524500037,1,0.5,0,wm,4
1,0,0,2,1.03949844199997,1,0.5,1,wm,4
1,0,1,3,1.18896874700022,1,1,0,wm,4
1,0,0,1,1.29753597500076,1,0.5,1,wm,4
1,0,0,2,0.909929578000629,1,1,1,wm,4
1,1,1,2,0.86614389099941,1,0.5,1,wm,4
1,0,0,3,0.982223185000294,1,0.5,1,wm,4
1,1,1,2,1.14812240399988,1,0.5,1,wm,4
1,1,1,1,0.758736662000047,1,1,1,wm,4
1,1,1,2,1.42143082999974,1,1,1,wm,4
1,1,1,2,0.860934266000186,1,1,1,wm,4
1,1,1,2,0.762342818000434,1,1,1,wm,4
1,0,0,3,1.26839708399984,1,0.5,1,wm,4
1,1,1,3,1.91218544300045,1,0.5,1,wm,4
1,0,1,2,2.09267855900089,1,1,0,wm,4
1,0,0,3,1.06952900200031,1,1,1,wm,4
1,1,1,2,0.730073915000503,1,0.5,1,wm,4
1,1,1,2,0.986250491000646,1,0.5,1,wm,4
1,0,0,2,1.64540031500019,1,0.5,1,wm,4
1,1,1,2,1.3319594400009,1,1,1,wm,4
1,0,0,1,1.13442277700051,1,0.5,1,wm,4
1,1,0,1,0.942308968000361,1,0.5,0,wm,4
1,0,0,2,1.96796532299959,1,0.5,1,wm,4
1,1,1,3,1.33851880700058,1,1,1,wm,4
1,1,1,3,1.06686684100077,1,0.5,1,wm,4
1,1,1,2,0.869054738000159,1,1,1,wm,4
1,0,0,2,0.938034628000423,1,1,1,wm,4
1,0,0,2,1.00304175600013,1,1,1,wm,4
1,1,1,4,2.71418319199984,1,0.5,1,wm,4
1,1,0,3,0.49241844000062,1,1,0,wm,4
1,45,45,1,1.74494336600037,NaN,1,1,percept,2
1,-45,45,1,1.73532458800037,NaN,0.5,0,percept,2
1,-45,-45,1,1.03999895200013,NaN,0.5,1,percept,2
1,45,45,1,0.770711223000035,NaN,0.5,1,percept,2
1,45,45,2,1.02595857000051,NaN,1,1,percept,2
1,-45,-45,2,0.933135896000749,NaN,0.5,1,percept,2
1,-45,-45,1,1.45869858300011,NaN,0.5,1,percept,2
1,45,45,1,0.914754585000082,NaN,1,1,percept,2
1,-45,-45,2,0.860020222999992,NaN,0.5,1,percept,2
1,-45,-45,2,0.623883137999655,NaN,1,1,percept,2
1,45,-45,2,0.923154873000385,NaN,1,0,percept,2
1,-45,-45,2,0.764341448000778,NaN,0.5,1,percept,2
1,-45,45,2,0.785767407999629,NaN,1,0,percept,2
1,-45,-45,1,0.618195602000014,NaN,1,1,percept,2
1,-45,-45,2,0.80567400200016,NaN,1,1,percept,2
1,45,45,3,0.658404813000743,NaN,0.5,1,percept,2
