,Subject,N_low_scores,N_low_rates,N_low_dprime,N_low_metad,N_low_criterion,N_low_mratio,N_low_mdiff,C_high_scores,C_high_rates,C_high_dprime,C_high_metad,C_high_criterion,C_high_mratio,C_high_mdiff,C_low_scores,C_low_rates,C_low_dprime,C_low_metad,C_low_criterion,C_low_mratio,C_low_mdiff,N_high_scores,N_high_rates,N_high_dprime,N_high_metad,N_high_criterion,N_high_mratio,N_high_mdiff,N_low_mratio_log,N_high_mratio_log,C_low_mratio_log,C_high_mratio_log,DGI_N_low_N_high,DGI_N_low_C_low,DGI_N_low_C_high,DGI_N_high_C_low,DGI_N_high_C_high,DGI_C_low_C_high
0,1,"(14, 9, 7, 14)","(0.6086956521739131, 0.3333333333333333)",0.6741302990132605,1.827048630043359,0.0774031180937487,2.710230696821743,1.1529183310300986,"(18, 3, 3, 21)","(0.8571428571428571, 0.125)",2.078520512967842,2.2387153682780854,0.0413894282489333,1.0770715777452238,0.1601948553102432,"(17, 5, 4, 19)","(0.7727272727272727, 0.17391304347826086)",1.5962490624279,3.432726997997001,0.0954778610568005,2.1504958585697223,1.8364779355691008,"(17, 3, 3, 22)","(0.85, 0.12)",2.0722573100638115,1.9843360253741529,0.0692767012861502,0.9575722164121832,-0.0879212846896588,0.9970337592469318,-0.04335413893101984,0.765698447441019,0.07424585626783542,1.0403878981779517,0.23133531180591282,0.9227879029790964,0.8090525863720388,0.11759999519885525,0.6914525911731836
1,2,"(16, 7, 10, 11)","(0.6956521739130435, 0.47619047619047616)",0.5457760854730438,1.651564092078888,-0.2261095570430032,3.0260836559876343,1.105788006605844,"(13, 0, 1, 7)","(0.9615384615384616, 0.125)",2.770164656840892,1.178228107768564,-0.3092378290713493,0.4253278247771093,-1.5919365490723278,"(10, 1, 4, 7)","(0.9090909090909091, 0.36363636363636365)",1.468988744340383,3.085642636167772,-0.4932110203009457,2.100521633032193,1.6166538918273892,"(19, 3, 7, 15)","(0.8636363636363636, 0.3181818181818182)",1.4778984855303587,2.2599897081584297,-0.312007220550623,1.529191436546746,0.782091222628071,1.107269260716888,0.42473912286808857,0.742185710566026,-0.8548950549803754,0.6825301378487993,0.3650835501508619,1.9621643156972635,0.31744658769793743,1.2796341778484641,1.5970807655464014
2,3,"(9, 12, 14, 7)","(0.42857142857142855, 0.6666666666666666)",-0.5817304118248485,-0.3813198282437647,-0.1253574647513761,0.6554923388783999,0.2004105835810838,"(17, 5, 2, 20)","(0.7727272727272727, 0.09090909090909091)",1.942597065377716,0.2421205064777935,0.2936595706778174,0.1246375333274355,-1.700476558899922,"(19, 4, 4, 18)","(0.8260869565217391, 0.18181818181818182)",1.7444008792400545,2.3711266100863844,-0.015178224169759,1.359278499744487,0.6267257308463301,"(16, 7, 6, 16)","(0.6956521739130435, 0.2727272727272727)",1.0638856923931077,1.3170222514263596,0.0463245663559538,1.2379358617595897,0.2531365590332519,-0.42236866329382106,0.2134453649716911,0.3069540440813845,-2.0823454874323324,0.6358140282655121,0.7293227073752055,1.6599768241385113,0.0935086791096934,2.2957908524040236,2.389299531513717
3,5,"(8, 15, 11, 9)","(0.34782608695652173, 0.55)",-0.4937435232375657,0.5252984680054975,0.1327674556671987,-1.0639095872306743,1.0190419912430633,"(19, 5, 3, 17)","(0.7916666666666666, 0.15)",1.739614780290386,3.622748470904551,0.1121077939969384,2.082500397185532,1.8831336906141647,"(17, 7, 1, 19)","(0.7083333333333334, 0.05)",1.989634305393564,1.625537828200844,0.5481656721266874,0.817003317541462,-0.3640964771927197,"(15, 5, 3, 18)","(0.75, 0.14285714285714285)",1.6356853331152634,1.4567971037412113,0.1965403868410298,0.890634081169299,-0.1788882293740521,,-0.11582161917648824,-0.20211212349211408,0.733569285784188,,,,0.08629050431562584,0.8493909049606763,0.9356814092763021
4,8,"(15, 10, 6, 11)","(0.6, 0.35294117647058826)",0.5988945956501621,1.2916986192070552,0.062022420346377,2.1568046006572867,0.6928040235568931,,,,,,,,,,,,,,,"(16, 3, 9, 17)","(0.8421052631578947, 0.34615384615384615)",1.314914932837111,0.5008088019480003,-0.3037113359240232,0.3808678336836862,-0.8141061308891108,0.7686277748276442,-0.9653028572554782,,,1.7339306320831223,,,,,
5,9,"(21, 4, 7, 13)","(0.84, 0.35)",1.3081821317963451,1.996698683131928,-0.3045687084010926,1.5263155141785485,0.6885165513355829,"(17, 1, 7, 20)","(0.9444444444444444, 0.25925925925925924)",2.0314943484149395,1.0854149930846404,-0.4737940343735339,0.5342938777710745,-0.9460793553302992,"(13, 12, 6, 13)","(0.52, 0.3157894736842105)",0.5019852637258017,1.8735143421973923,0.2146760349331082,3.732209842758967,1.3715290784715908,"(16, 6, 4, 18)","(0.7272727272727273, 0.18181818181818182)",1.4323636014996164,0.966877892843996,0.1519362609770739,0.6750226631224927,-0.4654857086556204,0.42285667045423875,-0.39300901367694935,1.3170005093676465,-0.6268092584949251,0.8158656841311881,0.8941438389134078,1.0496659289491639,1.7100095230445957,0.23380024481797573,1.9438097678625716
6,10,"(10, 14, 9, 10)","(0.4166666666666667, 0.47368421052631576)",-0.139186701198637,1.2256891312502938,0.1382201033118827,-8.806079321479718,1.3648758324489307,"(18, 4, 3, 17)","(0.8181818181818182, 0.15)",1.8246758863228796,1.7157246037179747,0.0639877604782022,0.9402900627878272,-0.1089512826049046,"(14, 7, 3, 19)","(0.6666666666666666, 0.13636363636363635)",1.4371375951023364,1.294438175601265,0.333038131399028,0.9007058057715692,-0.1426994195010713,"(14, 4, 3, 24)","(0.7777777777777778, 0.1111111111111111)",1.8668468805539995,1.2597330835143603,0.2279653375304814,0.6747918624909003,-0.6071137970396387,,-0.39335098752515163,-0.10457659436934925,-0.061566873884453074,,,,0.2887743931558024,0.33178411364069854,0.04300972048489618
7,11,"(9, 16, 12, 5)","(0.36, 0.7058823529411765)",-0.8525905219923722,1.3144094206034729,-0.091468145938947,-1.5416655319272154,2.1669999425958446,"(19, 6, 4, 15)","(0.76, 0.21052631578947367)",1.4299047765565511,2.2103254381522235,0.0491469087601064,1.5457850581316717,0.7804206615956724,"(16, 3, 3, 21)","(0.8421052631578947, 0.125)",2.014908631888436,2.406417706989333,0.0736007063567371,1.1943061183543409,0.3915090751008976,"(15, 7, 3, 19)","(0.6818181818181818, 0.13636363636363635)",1.4778984855303587,0.7696794893727448,0.3120072205506231,0.5207932052901032,-0.708218996157614,,-0.6524022348508755,0.177565362641812,0.43553190953683385,,,,0.8299675974926874,1.0879341443877093,0.25796654689502185
8,12,"(11, 8, 8, 13)","(0.5789473684210527, 0.38095238095238093)",0.4779277813472559,0.026852296603998,0.0518895616334697,0.0561848414174683,-0.4510754847432578,"(18, 4, 5, 15)","(0.8181818181818182, 0.25)",1.4947384811835551,1.861840023132651,-0.1169840591706518,1.2455958326960443,0.3671015419490959,"(16, 8, 9, 8)","(0.6666666666666666, 0.5294117647058824)",0.3427782091229492,1.5273392768939178,-0.2522592865518651,4.4557653790240925,1.1845610677709686,"(17, 2, 11, 11)","(0.8947368421052632, 0.5)",1.150349380376008,1.2336980716379164,-0.6260597601326098,1.0724551103201925,0.0833486912619085,-2.8791082841328257,0.0699505157647748,1.494198848416533,0.2196139959123089,2.9490587998976006,4.373307132549359,3.0987222800451346,1.424248332651758,0.1496634801475341,1.274584852504224
9,13,"(12, 11, 6, 15)","(0.5217391304347826, 0.2857142857142857)",0.5897642865787135,-0.0823232345431063,0.255714953542381,-0.1395866728734496,-0.6720875211218198,"(15, 7, 5, 15)","(0.6818181818181818, 0.25)",1.0882283735777365,0.8400615291496066,0.1008503146019072,0.7719533413632298,-0.2481668444281296,"(12, 2, 6, 19)","(0.8571428571428571, 0.24)",1.6419113162977828,2.113280444304995,-0.1806339805190269,1.2870856198677438,0.4713691280072123,"(14, 9, 7, 15)","(0.6086956521739131, 0.3181818181818182)",0.7148911894412827,1.4732542294635786,0.0984340289421536,2.060809045100959,0.7583630400222959,,0.7230986460394604,0.2523804531049503,-0.25883116943251566,,,,0.4707181929345101,0.981929815471976,0.5112116225374659
