Subject,oriperc_scores,oriperc_rates,oriperc_dprime,oriperc_metad,oriperc_criterion,oriperc_mratio,oriperc_mdiff,contrast_scores,contrast_rates,contrast_dprime,contrast_metad,contrast_criterion,contrast_mratio,contrast_mdiff,oriwm_scores,oriwm_rates,oriwm_dprime,oriwm_metad,oriwm_criterion,oriwm_mratio,oriwm_mdiff
1,"(122, 37, 29, 112)","(0.7672955974842768, 0.20567375886524822)",1.5387797291280436,0.5112476037700733,0.04577753111920457,0.33224222680641496,-1.0275321253579703,"(122, 27, 33, 118)","(0.8187919463087249, 0.2185430463576159)",1.6735955422496125,0.9396559927990512,-0.06682384568861388,0.5614594261741311,-0.7339395494505613,"(100, 50, 75, 75)","(0.6666666666666666, 0.5)",0.42769365196462417,-0.01187212665636418,-0.21536364964772872,-0.02775848227306904,-0.43956577862098833
2,"(120, 24, 39, 117)","(0.8333333333333334, 0.25)",1.627748504553628,0.5091633143094197,-0.14646590795280967,0.3128022006378964,-1.1185851902442083,"(116, 29, 34, 121)","(0.8, 0.21935483870967742)",1.6026063530590746,1.0955565143744261,-0.03362363623928616,0.6836092420844423,-0.5070498386846485,"(112, 35, 77, 76)","(0.7619047619047619, 0.5032679738562091)",0.6985988316298726,0.497984682206813,-0.3603173598363859,0.7128335457489746,-0.20061414942305955
3,"(113, 39, 16, 132)","(0.743421052631579, 0.10810810810810811)",1.8716090773592677,0.8781890797152583,0.29136188883535474,0.4692160827486113,-0.9934199976440095,"(119, 19, 43, 119)","(0.8623188405797102, 0.2654320987654321)",1.7013308240809835,1.4547365288707326,-0.2320547090984092,0.8550579982917461,-0.2465942952102509,"(129, 23, 31, 117)","(0.8486842105263158, 0.20945945945945946)",1.822677512038325,0.9719802674457775,-0.11125412295245513,0.5332705654324987,-0.8506972445925475
4,"(105, 45, 34, 116)","(0.7, 0.22666666666666666)",1.2644673472713084,0.27299695776264055,0.1127344705163073,0.21589878010828967,-0.9914703895086678,"(46, 4, 9, 41)","(0.92, 0.18)",2.2434110696040683,-0.26525705899767865,-0.24485323623340943,-0.11823827678825394,-2.508668128601747,"(109, 34, 68, 89)","(0.7622377622377622, 0.43312101910828027)",0.8750012070006662,-0.11094048386019847,-0.2725427612746271,-0.12678894951525937,-0.9859416908608647
5,"(137, 18, 44, 101)","(0.8838709677419355, 0.30344827586206896)",1.6927262290144407,-0.7411358010271768,-0.3400269510222111,-0.4378355981750751,-2.4338620300416176,"(97, 60, 7, 136)","(0.6178343949044586, 0.04895104895104895)",1.9228239954691166,0.34642474570641546,0.6776561989475092,0.18016456343519743,-1.576399249762701,"(116, 20, 62, 102)","(0.8529411764705882, 0.3780487804878049)",1.346665767233129,0.2650856360244479,-0.3692609862908575,0.1968459007977125,-1.081580131208681
6,"(136, 16, 21, 127)","(0.8947368421052632, 0.14189189189189189)",2.2992988570886523,1.7536983746295522,-0.0901307228814856,0.7627100623405112,-0.5456004824591001,"(102, 30, 27, 141)","(0.7727272727272727, 0.16071428571428573)",1.7244097935904406,0.7706845033232681,0.12183393995701419,0.4469265404243645,-0.9537252902671725,"(122, 24, 34, 120)","(0.8356164383561644, 0.22077922077922077)",1.730928228854265,1.1429312598600279,-0.10351799127667288,0.660299624679734,-0.587996968994237
7,"(112, 41, 4, 143)","(0.7320261437908496, 0.027210884353741496)",2.489253400308301,1.9814866804544513,0.6522559348737321,0.7960164602804354,-0.5077667198538496,"(124, 24, 36, 116)","(0.8378378378378378, 0.23684210526315788)",1.6873501148283032,1.2739478640678212,-0.13455645834463914,0.7549991272543056,-0.413402250760482,"(124, 17, 29, 130)","(0.8794326241134752, 0.18238993710691823)",2.0577616103576823,1.8549884697101584,-0.13293023438950274,0.9014593626264231,-0.20277314064752394
8,"(108, 28, 27, 137)","(0.7941176470588235, 0.16463414634146342)",1.780700077983262,1.7492914364507668,0.07739833996227624,0.982361632977482,-0.03140864153249523,"(83, 49, 14, 154)","(0.6287878787878788, 0.08333333333333333)",1.6931721580427317,0.9628276677726341,0.5271747036717733,0.5686531420913753,-0.7303444902700976,"(140, 20, 31, 109)","(0.875, 0.22142857142857142)",1.8998538169788075,1.7261934057146198,-0.1914859744579031,0.9085927508147197,-0.17366041126418774
9,"(125, 35, 36, 104)","(0.78125, 0.2571428571428571)",1.417363865241398,1.4557954488634888,-0.06212138740257078,1.0271148323761912,0.03843158362209076,"(138, 21, 40, 101)","(0.8679245283018868, 0.28368794326241137)",1.673375071382819,0.28427795659510513,-0.2723566764612221,0.16988298765571289,-1.389097114787714,"(143, 7, 73, 77)","(0.9533333333333334, 0.4866666666666667)",1.681279201917159,0.3449841885917983,-0.8223212916953269,0.20519149240555262,-1.3362950133253606
10,"(121, 37, 22, 120)","(0.7658227848101266, 0.15492957746478872)",1.7251582600802904,0.2794879886391813,0.1451792561251979,0.1620071590569167,-1.4456702714411092,"(117, 41, 21, 121)","(0.740506329113924, 0.14788732394366197)",1.6751810877881987,0.5674136763682075,0.2003151304631584,0.3387178141542799,-1.1077674114199914,"(132, 19, 50, 99)","(0.8741721854304636, 0.33557046979865773)",1.5560917717694838,0.2164870399462955,-0.3608773055409229,0.1391222830643985,-1.3396047318231883
11,"(129, 17, 52, 102)","(0.8835616438356164, 0.33766233766233766)",1.5957483378015362,1.1119298308234244,-0.3870648877092936,0.6968077637826846,-0.4838185069781118,"(129, 32, 27, 112)","(0.8012422360248447, 0.19424460431654678)",1.693865788340767,1.001904737831492,0.008146857368727556,0.5914900370075434,-0.691961050509275,"(130, 9, 35, 126)","(0.935251798561151, 0.21739130434782608)",2.267057424512083,1.7861928852382956,-0.36752847727423715,0.787890445969943,-0.4808645392737876
