Subject,N_low_scores,N_low_rates,N_low_dprime,N_low_metad,N_low_criterion,N_low_mratio,N_low_mdiff,C_high_scores,C_high_rates,C_high_dprime,C_high_metad,C_high_criterion,C_high_mratio,C_high_mdiff,C_low_scores,C_low_rates,C_low_dprime,C_low_metad,C_low_criterion,C_low_mratio,C_low_mdiff,N_high_scores,N_high_rates,N_high_dprime,N_high_metad,N_high_criterion,N_high_mratio,N_high_mdiff
1,"(14, 9, 7, 14)","(0.6086956521739131, 0.3333333333333333)",0.6741302990132605,1.827048630043359,0.07740311809374875,2.710230696821743,1.1529183310300986,"(18, 3, 3, 21)","(0.8571428571428571, 0.125)",2.078520512967842,2.2387153682780854,0.041389428248933324,1.0770715777452238,0.16019485531024324,"(17, 5, 4, 19)","(0.7727272727272727, 0.17391304347826086)",1.5962490624279,3.432726997997001,0.0954778610568005,2.1504958585697223,1.8364779355691012,"(17, 3, 3, 22)","(0.85, 0.12)",2.0722573100638115,1.9843360253741527,0.06927670128615027,0.9575722164121832,-0.08792128468965887
2,"(16, 7, 10, 11)","(0.6956521739130435, 0.47619047619047616)",0.5457760854730438,1.6515640920788879,-0.22610955704300323,3.0260836559876343,1.105788006605844,"(13, 0, 1, 7)","(0.9615384615384616, 0.125)",2.7701646568408917,1.178228107768564,-0.30923782907134933,0.4253278247771093,-1.5919365490723278,"(10, 1, 4, 7)","(0.9090909090909091, 0.36363636363636365)",1.468988744340383,3.0856426361677722,-0.49321102030094577,2.100521633032193,1.6166538918273892,"(19, 3, 7, 15)","(0.8636363636363636, 0.3181818181818182)",1.4778984855303587,2.2599897081584297,-0.312007220550623,1.529191436546746,0.782091222628071
3,"(9, 12, 14, 7)","(0.42857142857142855, 0.6666666666666666)",-0.5817304118248485,-0.3813198282437647,-0.12535746475137616,0.6554923388783999,0.20041058358108382,"(17, 5, 2, 20)","(0.7727272727272727, 0.09090909090909091)",1.9425970653777156,0.24212050647779357,0.2936595706778174,0.12463753332743557,-1.700476558899922,"(19, 4, 4, 18)","(0.8260869565217391, 0.18181818181818182)",1.7444008792400543,2.3711266100863844,-0.015178224169759058,1.3592784997444867,0.6267257308463301,"(16, 7, 6, 16)","(0.6956521739130435, 0.2727272727272727)",1.0638856923931077,1.3170222514263596,0.04632456635595389,1.2379358617595897,0.25313655903325194
5,"(8, 15, 11, 9)","(0.34782608695652173, 0.55)",-0.4937435232375657,0.5252984680054975,0.13276745566719877,-1.0639095872306745,1.0190419912430633,"(19, 5, 3, 17)","(0.7916666666666666, 0.15)",1.7396147802903859,3.6227484709045505,0.11210779399693849,2.082500397185532,1.8831336906141647,"(17, 7, 1, 19)","(0.7083333333333334, 0.05)",1.9896343053935637,1.625537828200844,0.5481656721266874,0.817003317541462,-0.36409647719271976,"(15, 5, 3, 18)","(0.75, 0.14285714285714285)",1.6356853331152634,1.4567971037412113,0.19654038684102987,0.890634081169299,-0.17888822937405213
8,"(15, 10, 6, 11)","(0.6, 0.35294117647058826)",0.5988945956501621,1.2916986192070552,0.06202242034637706,2.1568046006572867,0.6928040235568931,,,,,,,,,,,,,,,"(16, 3, 9, 17)","(0.8421052631578947, 0.34615384615384615)",1.314914932837111,0.5008088019480003,-0.3037113359240232,0.3808678336836862,-0.8141061308891108
9,"(21, 4, 7, 13)","(0.84, 0.35)",1.3081821317963453,1.9966986831319282,-0.3045687084010926,1.5263155141785483,0.6885165513355829,"(17, 1, 7, 20)","(0.9444444444444444, 0.25925925925925924)",2.0314943484149395,1.0854149930846404,-0.47379403437353396,0.5342938777710745,-0.9460793553302991,"(13, 12, 6, 13)","(0.52, 0.3157894736842105)",0.5019852637258017,1.8735143421973925,0.21467603493310827,3.7322098427589667,1.3715290784715908,"(16, 6, 4, 18)","(0.7272727272727273, 0.18181818181818182)",1.4323636014996164,0.966877892843996,0.15193626097707397,0.6750226631224927,-0.46548570865562044
10,"(10, 14, 9, 10)","(0.4166666666666667, 0.47368421052631576)",-0.13918670119863702,1.2256891312502938,0.13822010331188272,-8.806079321479718,1.3648758324489307,"(18, 4, 3, 17)","(0.8181818181818182, 0.15)",1.8246758863228794,1.7157246037179747,0.06398776047820226,0.9402900627878273,-0.10895128260490461,"(14, 7, 3, 19)","(0.6666666666666666, 0.13636363636363635)",1.4371375951023364,1.294438175601265,0.33303813139902805,0.9007058057715692,-0.14269941950107135,"(14, 4, 3, 24)","(0.7777777777777778, 0.1111111111111111)",1.8668468805539993,1.2597330835143605,0.22796533753048148,0.6747918624909003,-0.6071137970396387
11,"(9, 16, 12, 5)","(0.36, 0.7058823529411765)",-0.8525905219923722,1.3144094206034727,-0.09146814593894709,-1.5416655319272154,2.1669999425958446,"(19, 6, 4, 15)","(0.76, 0.21052631578947367)",1.4299047765565511,2.2103254381522235,0.04914690876010641,1.5457850581316717,0.7804206615956724,"(16, 3, 3, 21)","(0.8421052631578947, 0.125)",2.014908631888436,2.4064177069893335,0.0736007063567371,1.1943061183543409,0.3915090751008976,"(15, 7, 3, 19)","(0.6818181818181818, 0.13636363636363635)",1.4778984855303587,0.7696794893727448,0.31200722055062313,0.5207932052901032,-0.708218996157614
12,"(11, 8, 8, 13)","(0.5789473684210527, 0.38095238095238093)",0.4779277813472559,0.02685229660399807,0.05188956163346978,0.05618484141746837,-0.4510754847432578,"(18, 4, 5, 15)","(0.8181818181818182, 0.25)",1.4947384811835551,1.861840023132651,-0.1169840591706518,1.2455958326960443,0.36710154194909594,"(16, 8, 9, 8)","(0.6666666666666666, 0.5294117647058824)",0.34277820912294926,1.5273392768939178,-0.2522592865518651,4.4557653790240925,1.1845610677709686,"(17, 2, 11, 11)","(0.8947368421052632, 0.5)",1.1503493803760079,1.2336980716379164,-0.6260597601326098,1.0724551103201925,0.08334869126190858
13,"(12, 11, 6, 15)","(0.5217391304347826, 0.2857142857142857)",0.5897642865787135,-0.0823232345431063,0.25571495354238105,-0.13958667287344967,-0.6720875211218198,"(15, 7, 5, 15)","(0.6818181818181818, 0.25)",1.0882283735777363,0.8400615291496066,0.10085031460190724,0.7719533413632298,-0.24816684442812964,"(12, 2, 6, 19)","(0.8571428571428571, 0.24)",1.6419113162977828,2.113280444304995,-0.1806339805190269,1.2870856198677438,0.4713691280072123,"(14, 9, 7, 15)","(0.6086956521739131, 0.3181818181818182)",0.7148911894412827,1.4732542294635786,0.09843402894215367,2.060809045100959,0.7583630400222959
