,Subject,VP_scores,VP_rates,VP_dprime,VP_metad,VP_criterion,VP_mratio,VP_mdiff,SM_scores,SM_rates,SM_dprime,SM_metad,SM_criterion,SM_mratio,SM_mdiff,EM_scores,EM_rates,EM_dprime,EM_metad,EM_criterion,EM_mratio,EM_mdiff,EF_scores,EF_rates,EF_dprime,EF_metad,EF_criterion,EF_mratio,EF_mdiff,VP_mratio_log,EF_mratio_log,SM_mratio_log,EM_mratio_log,DGI_VP_EF,DGI_VP_SM,DGI_VP_EM,DGI_EF_SM,DGI_EF_EM,DGI_SM_EM
0,1,"(17, 5, 5, 13)","(0.7727272727272727, 0.2777777777777778)",1.2640254461116776,0.6465952674466056,-0.0792013984567619,0.5115365908460346,-0.617430178665072,"(14, 6, 5, 15)","(0.7, 0.25)",1.134684731643931,1.9361961762559428,0.0750446187440205,1.706373693290807,0.8015114446120117,"(14, 6, 3, 17)","(0.7, 0.15)",1.464622136783256,2.692312805165475,0.2560164383928746,1.838230310432554,1.227690668382219,"(15, 4, 1, 20)","(0.7894736842105263, 0.047619047619047616)",2.2448850686884105,2.540649951450219,0.4318974067933896,1.1317505679409283,0.2957648827618087,-0.6703361597931751,0.12376560915923317,0.534370471559923,0.6088033209978286,0.7941017689524082,1.204706631353098,1.2791394807910037,0.41060486240068983,0.48503771183859545,0.07443284943790562
1,2,"(16, 3, 11, 10)","(0.8421052631578947, 0.5238095238095238)",0.8775896167151058,0.3822320446838865,-0.5314325337239283,0.4355475924095527,-0.4953575720312193,"(21, 0, 2, 17)","(0.9761904761904762, 0.10526315789473684)",3.150772949481989,0.3602352653787261,-0.3643164381910296,0.1143323467462012,-2.790537684103263,"(24, 1, 2, 13)","(0.96, 0.13333333333333333)",2.584435134466624,1.7192355030852435,-0.3199572273076919,0.6652267956572488,-0.8651996313813806,"(17, 0, 0, 23)","(0.9705882352941176, 0.021739130434782608)",3.951339956756946,2.35543395643673,0.0647881201248561,0.5961101758427152,-1.595906000320216,-0.8311512064341493,-0.5173297702045672,-2.168645749563509,-0.4076272503681591,0.31382143622958214,1.33749454312936,0.4235239560659902,1.651315979358942,0.10970251983640805,1.7610184991953501
2,3,"(17, 4, 4, 15)","(0.8095238095238095, 0.21052631578947367)",1.580909517289704,0.8409502507453975,-0.0357732344432702,0.5319407856985481,-0.7399592665443065,"(16, 5, 9, 10)","(0.7619047619047619, 0.47368421052631576)",0.7371965281392957,1.3151093912093257,-0.3232156100068241,1.7839332403378214,0.57791286307003,"(17, 3, 8, 12)","(0.85, 0.4)",1.2084619599877282,2.870812414612501,-0.3915431431789951,2.375591876008785,1.662350454624773,"(9, 1, 5, 25)","(0.9, 0.16666666666666666)",2.0220481219476656,2.62135975014595,-0.1570649997214496,1.2963884101932346,0.5993116281982842,-0.6312231009132797,0.25958225225241655,0.57882061212232,0.865246617389781,0.8908053531656963,1.2100437130355997,1.4964697183030609,0.3192383598699035,0.6056643651373645,0.286426005267461
3,4,"(16, 4, 5, 15)","(0.8, 0.25)",1.4291227687057515,1.077677133496043,-0.0835657416884163,0.754082964105326,-0.3514456352097082,"(11, 8, 9, 12)","(0.5789473684210527, 0.42857142857142855)",0.3608655159103056,1.3599195539474316,-0.0095944774982809,3.768494062163159,0.999054038037126,"(27, 2, 1, 10)","(0.9310344827586207, 0.09090909090909091)",2.5333435074766464,4.311835685670895,-0.0741810616411798,1.7020335666858408,1.7784921781942482,"(19, 2, 2, 17)","(0.9047619047619048, 0.10526315789473684)",2.3577634305982107,2.407808963336274,-0.0285260982602787,1.02122584992565,0.0500455327380633,-0.2822528850573257,0.021003719348844447,1.3266754686501951,0.5318237518637827,0.30325660440617014,1.6089283537075207,0.8140766369211084,1.3056717493013508,0.5108200325149382,0.7948517167864124
4,5,"(18, 6, 3, 13)","(0.75, 0.1875)",1.4641374937252971,1.2653643378606467,0.1063284044113971,0.8642387366510919,-0.1987731558646503,"(17, 6, 3, 14)","(0.7391304347826086, 0.17647058823529413)",1.4719287303605042,1.3629179970071177,0.1441163008640829,0.9259402095326398,-0.1090107333533865,"(18, 1, 1, 20)","(0.9473684210526315, 0.047619047619047616)",2.929001513266398,3.472541261026966,0.0242674676544049,1.1855716855381264,0.5435397477605681,"(19, 0, 0, 21)","(0.9736842105263158, 0.023809523809523808)",3.9603875536460342,3.468669589238833,0.0214104428972246,0.8758409479510375,-0.4917179644072011,-0.14590623277780396,-0.13257077079683446,-0.07694561495986142,0.17022509330598978,0.013335461980969493,0.06896061781794253,0.31613132608379374,0.05562515583697304,0.3027958641028242,0.2471707082658512
5,6,"(8, 12, 5, 15)","(0.4, 0.25)",0.3964437670763501,0.012783759014001,0.4639184266659407,0.0322460839989422,-0.383660008062349,"(14, 8, 4, 14)","(0.6363636363636364, 0.2222222222222222)",1.0495025983752884,2.236557498478128,0.2079769891346712,2.131064279345752,1.1870549001028396,"(17, 6, 7, 10)","(0.7391304347826086, 0.4117647058823529)",0.8207230044342565,0.4816632662869268,-0.208829529489369,0.5868767704628294,-0.3390597381473296,"(14, 3, 3, 20)","(0.8235294117647058, 0.13043478260869565)",1.9161065719442256,2.268443460387545,0.0977193699606842,1.1838816763129263,0.3523368884433191,-3.4343586695025254,0.16879859592140953,0.7566215165966832,-0.5329404122610856,3.6031572654239348,4.190980186099209,2.9014182572414398,0.5878229206752736,0.7017390081824951,1.2895619288577689
6,7,"(13, 8, 5, 14)","(0.6190476190476191, 0.2631578947368421)",0.8865694811169418,0.0722413551361595,0.1653297763617472,0.0814841438542939,-0.8143281259807822,"(13, 7, 9, 11)","(0.65, 0.45)",0.4857544698404114,1.0492349217536263,-0.1298295597762468,2.160010842717185,0.563480451913215,"(24, 1, 2, 13)","(0.96, 0.13333333333333333)",2.5844351344666245,3.2138445587637205,-0.3199572273076919,1.2435384877349585,0.629409424297096,"(17, 0, 0, 23)","(0.9705882352941176, 0.021739130434782608)",3.951339956756945,1.9497403428022029,0.0647881201248561,0.4934377614024505,-2.0015996139547423,-2.5073468315984364,-0.7063585447743417,0.7701132414599492,0.2179609349162087,1.8009882868240947,3.2774600730583856,2.725307766514645,1.4764717862342909,0.9243194796905504,0.5521523065437405
7,8,"(14, 7, 7, 12)","(0.6666666666666666, 0.3684210526315789)",0.7286226861517113,1.5914478905727434,-0.0473445794618171,2.1841865767014803,0.862825204421032,"(20, 9, 4, 7)","(0.6896551724137931, 0.36363636363636365)",0.7956797924538177,0.3594730567542153,-0.0730587340257896,0.4517810558511572,-0.4362067356996023,"(19, 6, 2, 13)","(0.76, 0.13333333333333333)",1.6844799194456637,1.9344289338922,0.2022345268983489,1.1483834930657948,0.2499490144465361,"(13, 2, 3, 22)","(0.8666666666666667, 0.12)",2.114825913211692,2.471783815688182,0.0321075877146525,1.1687883150317533,0.3569579024764904,0.7812434831264378,0.1559675839982808,-0.794557606214329,0.13835529530723048,0.625275899128157,1.5758010893407668,0.6428881878192073,0.9505251902126098,0.017612288691050332,0.9329129015215595
8,9,"(13, 2, 9, 16)","(0.8666666666666667, 0.36)",1.3540926321325992,0.2691333710014295,-0.3761564116927958,0.1987555094938842,-1.0849592611311698,"(18, 4, 1, 17)","(0.8181818181818182, 0.05555555555555555)",2.269441899127343,2.765821935847898,0.3423804747428327,1.2187233949066625,0.4963800367205553,"(18, 1, 1, 20)","(0.9473684210526315, 0.047619047619047616)",2.929001513266398,1.991810857701945,0.0242674676544049,0.680030668704126,-0.9371906555644524,"(20, 2, 2, 16)","(0.9090909090909091, 0.1111111111111111)",2.352452943031252,1.7951054393679475,-0.0572686936357931,0.76307814984595,-0.5573475036633042,-1.6156798051079622,-0.2703948285050244,0.1978039132714715,-0.3856173807935264,1.3452849766029378,1.8134837183794337,1.2300624243144358,0.4681987417764959,0.11522255228850203,0.5834212940649979
9,10,"(12, 9, 3, 16)","(0.5714285714285714, 0.15789473684210525)",1.106336380710992,-1.143269906230699,0.4115677989349143,-1.033383631021852,-2.249606286941691,"(14, 3, 8, 15)","(0.8235294117647058, 0.34782608695652173)",1.2357295303718965,2.1787314535097626,-0.2688516167288994,1.7631135292640188,0.9430019231378663,"(18, 5, 7, 10)","(0.782608695652174, 0.4117647058823529)",0.9520224381094406,1.34255462436172,-0.279012990291171,1.4102132162218903,0.3905321862522792,"(21, 3, 1, 15)","(0.875, 0.0625)",2.4320215807456176,2.8424217377652887,0.1918855819882692,1.1687485671462872,0.4104001570196711,,0.155933575648917,0.5670812968410246,0.34374091013655744,,,,0.41114772119210763,0.18780733448764045,0.22334038670446715
