Subject,VP_scores,VP_rates,VP_dprime,VP_metad,VP_criterion,VP_mratio,VP_mdiff,SM_scores,SM_rates,SM_dprime,SM_metad,SM_criterion,SM_mratio,SM_mdiff,EM_scores,EM_rates,EM_dprime,EM_metad,EM_criterion,EM_mratio,EM_mdiff,EF_scores,EF_rates,EF_dprime,EF_metad,EF_criterion,EF_mratio,EF_mdiff
1,"(17, 5, 5, 13)","(0.7727272727272727, 0.2777777777777778)",1.2640254461116776,0.6465952674466056,-0.07920139845676194,0.5115365908460346,-0.617430178665072,"(14, 6, 5, 15)","(0.7, 0.25)",1.134684731643931,1.9361961762559428,0.07504461874402052,1.706373693290807,0.8015114446120117,"(14, 6, 3, 17)","(0.7, 0.15)",1.464622136783256,2.692312805165475,0.2560164383928746,1.838230310432554,1.227690668382219,"(15, 4, 1, 20)","(0.7894736842105263, 0.047619047619047616)",2.2448850686884105,2.540649951450219,0.4318974067933896,1.1317505679409285,0.2957648827618087
2,"(16, 3, 11, 10)","(0.8421052631578947, 0.5238095238095238)",0.8775896167151058,0.38223204468388655,-0.5314325337239283,0.43554759240955276,-0.4953575720312193,"(21, 0, 2, 17)","(0.9761904761904762, 0.10526315789473684)",3.150772949481989,0.3602352653787261,-0.36431643819102966,0.11433234674620128,-2.790537684103263,"(24, 1, 2, 13)","(0.96, 0.13333333333333333)",2.584435134466624,1.7192355030852435,-0.31995722730769194,0.6652267956572488,-0.8651996313813806,"(17, 0, 0, 23)","(0.9705882352941176, 0.021739130434782608)",3.951339956756946,2.35543395643673,0.06478812012485613,0.5961101758427152,-1.5959060003202161
3,"(17, 4, 4, 15)","(0.8095238095238095, 0.21052631578947367)",1.580909517289704,0.8409502507453975,-0.035773234443270296,0.5319407856985481,-0.7399592665443065,"(16, 5, 9, 10)","(0.7619047619047619, 0.47368421052631576)",0.7371965281392957,1.3151093912093257,-0.3232156100068241,1.7839332403378214,0.57791286307003,"(17, 3, 8, 12)","(0.85, 0.4)",1.2084619599877282,2.870812414612501,-0.3915431431789951,2.3755918760087855,1.662350454624773,"(9, 1, 5, 25)","(0.9, 0.16666666666666666)",2.0220481219476656,2.62135975014595,-0.15706499972144966,1.2963884101932346,0.5993116281982842
4,"(16, 4, 5, 15)","(0.8, 0.25)",1.4291227687057515,1.0776771334960433,-0.0835657416884163,0.754082964105326,-0.3514456352097082,"(11, 8, 9, 12)","(0.5789473684210527, 0.42857142857142855)",0.3608655159103056,1.3599195539474316,-0.009594477498280948,3.768494062163159,0.999054038037126,"(27, 2, 1, 10)","(0.9310344827586207, 0.09090909090909091)",2.5333435074766464,4.311835685670895,-0.07418106164117988,1.7020335666858408,1.7784921781942482,"(19, 2, 2, 17)","(0.9047619047619048, 0.10526315789473684)",2.3577634305982107,2.407808963336274,-0.028526098260278743,1.02122584992565,0.050045532738063336
5,"(18, 6, 3, 13)","(0.75, 0.1875)",1.4641374937252971,1.2653643378606467,0.10632840441139713,0.8642387366510919,-0.19877315586465039,"(17, 6, 3, 14)","(0.7391304347826086, 0.17647058823529413)",1.4719287303605042,1.3629179970071177,0.14411630086408295,0.9259402095326398,-0.10901073335338651,"(18, 1, 1, 20)","(0.9473684210526315, 0.047619047619047616)",2.929001513266398,3.472541261026966,0.024267467654404906,1.1855716855381264,0.5435397477605681,"(19, 0, 0, 21)","(0.9736842105263158, 0.023809523809523808)",3.9603875536460347,3.4686695892388335,0.021410442897224602,0.8758409479510375,-0.49171796440720117
6,"(8, 12, 5, 15)","(0.4, 0.25)",0.3964437670763501,0.012783759014001098,0.46391842666594074,0.03224608399894229,-0.383660008062349,"(14, 8, 4, 14)","(0.6363636363636364, 0.2222222222222222)",1.0495025983752884,2.236557498478128,0.2079769891346712,2.1310642793457517,1.1870549001028396,"(17, 6, 7, 10)","(0.7391304347826086, 0.4117647058823529)",0.8207230044342565,0.48166326628692685,-0.208829529489369,0.5868767704628294,-0.33905973814732965,"(14, 3, 3, 20)","(0.8235294117647058, 0.13043478260869565)",1.9161065719442258,2.268443460387545,0.09771936996068425,1.1838816763129263,0.3523368884433191
7,"(13, 8, 5, 14)","(0.6190476190476191, 0.2631578947368421)",0.8865694811169418,0.07224135513615959,0.16532977636174725,0.08148414385429391,-0.8143281259807822,"(13, 7, 9, 11)","(0.65, 0.45)",0.48575446984041143,1.0492349217536265,-0.12982955977624686,2.160010842717185,0.563480451913215,"(24, 1, 2, 13)","(0.96, 0.13333333333333333)",2.5844351344666245,3.2138445587637205,-0.31995722730769194,1.2435384877349585,0.629409424297096,"(17, 0, 0, 23)","(0.9705882352941176, 0.021739130434782608)",3.951339956756945,1.9497403428022029,0.06478812012485613,0.49343776140245055,-2.0015996139547423
8,"(14, 7, 7, 12)","(0.6666666666666666, 0.3684210526315789)",0.7286226861517113,1.5914478905727434,-0.04734457946181714,2.1841865767014803,0.862825204421032,"(20, 9, 4, 7)","(0.6896551724137931, 0.36363636363636365)",0.7956797924538177,0.35947305675421537,-0.0730587340257896,0.4517810558511572,-0.43620673569960233,"(19, 6, 2, 13)","(0.76, 0.13333333333333333)",1.6844799194456637,1.9344289338921998,0.20223452689834898,1.1483834930657948,0.24994901444653617,"(13, 2, 3, 22)","(0.8666666666666667, 0.12)",2.1148259132116918,2.471783815688182,0.0321075877146525,1.1687883150317533,0.3569579024764904
9,"(13, 2, 9, 16)","(0.8666666666666667, 0.36)",1.3540926321325992,0.2691333710014295,-0.3761564116927958,0.1987555094938842,-1.0849592611311698,"(18, 4, 1, 17)","(0.8181818181818182, 0.05555555555555555)",2.269441899127343,2.765821935847898,0.3423804747428327,1.2187233949066623,0.4963800367205553,"(18, 1, 1, 20)","(0.9473684210526315, 0.047619047619047616)",2.929001513266398,1.9918108577019453,0.024267467654404906,0.680030668704126,-0.9371906555644525,"(20, 2, 2, 16)","(0.9090909090909091, 0.1111111111111111)",2.3524529430312517,1.7951054393679475,-0.05726869363579312,0.76307814984595,-0.5573475036633042
10,"(12, 9, 3, 16)","(0.5714285714285714, 0.15789473684210525)",1.106336380710992,-1.143269906230699,0.41156779893491435,-1.033383631021852,-2.249606286941691,"(14, 3, 8, 15)","(0.8235294117647058, 0.34782608695652173)",1.2357295303718963,2.1787314535097626,-0.26885161672889946,1.7631135292640188,0.9430019231378663,"(18, 5, 7, 10)","(0.782608695652174, 0.4117647058823529)",0.9520224381094406,1.34255462436172,-0.279012990291171,1.4102132162218903,0.39053218625227926,"(21, 3, 1, 15)","(0.875, 0.0625)",2.4320215807456176,2.8424217377652887,0.19188558198826922,1.1687485671462872,0.41040015701967114
