Subject,percept_low_scores,percept_low_rates,percept_low_dprime,percept_low_metad,percept_low_criterion,percept_low_mratio,percept_low_mdiff,percept_high_scores,percept_high_rates,percept_high_dprime,percept_high_metad,percept_high_criterion,percept_high_mratio,percept_high_mdiff,wm_high_scores,wm_high_rates,wm_high_dprime,wm_high_metad,wm_high_criterion,wm_high_mratio,wm_high_mdiff,wm_low_scores,wm_low_rates,wm_low_dprime,wm_low_metad,wm_low_criterion,wm_low_mratio,wm_low_mdiff
1,"(60, 17, 30, 56)","(0.7792207792207793, 0.3488372093023256)",1.161780164090285,0.9506932501625167,-0.19055127347357725,0.8183073524128751,-0.21108691392776824,"(49, 31, 24, 53)","(0.6125, 0.3116883116883117)",0.766470836675852,1.0609288768915306,0.10261478566484594,1.3841738343140741,0.29445804021567856,"(44, 19, 15, 33)","(0.6984126984126984, 0.3125)",0.9889617938168379,0.08412400743251292,-0.015532148913108557,0.08506294981107554,-0.904837786384325,"(47, 14, 17, 51)","(0.7704918032786885, 0.25)",1.3892894077314288,0.4328728081072697,-0.03298885922274436,0.3115785708134836,-0.9564165996241591
2,"(35, 47, 20, 56)","(0.4268292682926829, 0.2631578947368421)",0.44203852216746636,-0.04552447208093796,0.4090462189372221,-0.1029875673679205,-0.4875629942484043,,,,,,,,"(28, 22, 25, 33)","(0.56, 0.43103448275862066)",0.2732577600054405,-0.08524454184871366,0.011385923207497761,-0.31195652722549017,-0.35850230185415416,"(30, 31, 27, 44)","(0.4918032786885246, 0.38028169014084506)",0.25927410135985196,0.21401562288510392,0.16264431593643025,0.8254415761644744,-0.04525847847474804
3,"(38, 32, 21, 60)","(0.5428571428571428, 0.25925925925925924)",0.7427052753176326,1.2702288355137399,0.26899817844644003,1.7102730756429612,0.5275235601961072,"(49, 34, 20, 66)","(0.5903614457831325, 0.23255813953488372)",0.946131319797567,1.0480815964452832,0.25098666513727347,1.107754890377722,0.10195027664771616,"(46, 19, 16, 45)","(0.7076923076923077, 0.26229508196721313)",1.1991672877095245,0.5935819224901828,0.04481511151643447,0.4949950924895199,-0.6055853652193417,"(43, 14, 21, 36)","(0.7543859649122807, 0.3684210526315789)",1.0045170818927738,0.6974324873484916,-0.17615937026680142,0.6942962941300568,-0.30708459454428216
4,"(72, 12, 7, 71)","(0.8571428571428571, 0.08974358974358974)",2.4321255250646088,1.2816750905707055,0.1373825780995599,0.5269773608977926,-1.1504504344939033,"(69, 10, 10, 69)","(0.8734177215189873, 0.12658227848101267)",2.2410035341494012,1.7537089871226192,-0.0,0.7825552081461843,-0.487294547026782,"(51, 18, 13, 42)","(0.7391304347826086, 0.23636363636363636)",1.3780468407859807,-0.1660896643981255,0.03869089429695244,-0.12052541283966432,-1.5441365051841063,"(43, 16, 15, 42)","(0.7288135593220338, 0.2631578947368421)",1.2445999401477654,0.4680157967846379,0.012205666882851463,0.37603713585995563,-0.7765841433631275
5,"(47, 29, 26, 63)","(0.618421052631579, 0.29213483146067415)",0.860894112067917,0.6067190254497723,0.12291112180920524,0.7047545301389022,-0.2541750866181447,"(54, 30, 20, 51)","(0.6428571428571429, 0.28169014084507044)",0.9190673929126489,0.7163519647976561,0.10586079761384781,0.7794335544071906,-0.20271542811499288,"(39, 20, 14, 49)","(0.6610169491525424, 0.2222222222222222)",1.1581341164129753,-0.09300777678678593,0.17473475648015788,-0.0803082954458278,-1.251141893199761,"(43, 10, 22, 43)","(0.8113207547169812, 0.3384615384615385)",1.2716174423615092,0.12576891575888063,-0.2330541471186008,0.0989046796380178,-1.1458485266026286
6,"(63, 13, 21, 53)","(0.8289473684210527, 0.28378378378378377)",1.4875778383142064,0.9846849398722431,-0.18918811525211793,0.6619384307231511,-0.5028928984419633,"(76, 13, 17, 64)","(0.8539325842696629, 0.20987654320987653)",1.831062519495556,1.5360144592105536,-0.1233001186397053,0.8388651085675185,-0.2950480602850025,"(42, 14, 10, 51)","(0.75, 0.16393442622950818)",1.5888925673234504,0.8826813825856507,0.1519628877619657,0.5555324511792266,-0.7062111847377998,"(40, 15, 20, 48)","(0.7272727272727273, 0.29411764705882354)",1.125172353359511,1.205192114806772,-0.031595130727074705,1.0711177813855273,0.08001976144726086
7,"(66, 22, 33, 50)","(0.75, 0.39759036144578314)",0.9221060868265598,0.6817821453882604,-0.2074503106964674,0.7393749538457366,-0.24032394143829938,"(59, 18, 15, 57)","(0.7662337662337663, 0.20833333333333334)",1.5038343139077126,0.9439648341196172,0.04285903132322866,0.6277053431948398,-0.5598694797880954,"(42, 25, 12, 41)","(0.6268656716417911, 0.22641509433962265)",1.0863425835406342,-0.1003345908814758,0.21357085716831123,-0.09235999067114065,-1.18667717442211,"(37, 13, 26, 44)","(0.74, 0.37142857142857144)",0.9844744451089956,0.641684728415021,-0.15763664893063292,0.651804352670604,-0.3427897166939746
8,"(63, 25, 22, 52)","(0.7159090909090909, 0.2972972972972973)",1.105855075980911,0.777095804797104,-0.019270769862181847,0.7027103475632264,-0.3287592711838069,"(47, 24, 29, 58)","(0.6619718309859155, 0.3333333333333333)",0.8670131436783943,0.37642831497586876,0.006438339669147614,0.43416679172686135,-0.49058482870252557,"(36, 32, 23, 36)","(0.5294117647058824, 0.3898305084745763)",0.34769768296916626,-0.15932785265428845,0.10298477048147849,-0.4582367397266136,-0.5070255356234548,"(32, 23, 24, 34)","(0.5818181818181818, 0.41379310344827586)",0.41685669664980163,0.5279360795571927,0.005625677754281966,1.2664689899433428,0.11107938290739106
9,"(65, 15, 14, 70)","(0.8125, 0.16666666666666666)",1.8247460958589339,1.0978014065893842,0.040137503541412545,0.6016187178483227,-0.7269446892695497,"(53, 27, 15, 61)","(0.6625, 0.19736842105263158)",1.2508026472806235,1.0663875387414956,0.21588138689858638,0.8525625853606357,-0.1844151085391279,"(44, 8, 20, 36)","(0.8461538461538461, 0.35714285714285715)",1.3523049817319464,0.6456166760437093,-0.3269849379928159,0.47741943183322777,-0.706688305688237,"(55, 15, 20, 42)","(0.7857142857142857, 0.3225806451612903)",1.2305739044347883,1.1601219441306643,-0.16557203432012915,0.9427486963194761,-0.07045196030412404
10,"(61, 25, 28, 41)","(0.7093023255813954, 0.4057971014492754)",0.7693609066981361,1.0197104694178412,-0.15648889236173708,1.3253993808889115,0.2503495627197051,"(68, 14, 20, 63)","(0.8292682926829268, 0.24096385542168675)",1.6290999511791484,1.5859675424362818,-0.1240361243569742,0.9735237799794622,-0.04313240874286661,"(41, 18, 18, 38)","(0.6949152542372882, 0.32142857142857145)",0.9555612457731681,1.0389321115133403,-0.02306189118765567,1.087248060874125,0.08337086574017216,"(34, 26, 17, 48)","(0.5666666666666667, 0.26153846153846155)",0.7926597817638651,0.9259451474764214,0.23535780641627668,1.1681495249020497,0.13328536571255634
