,Subject,memory_scores,memory_rates,memory_dprime,memory_metad,memory_criterion,memory_mratio,memory_mdiff,visual_scores,visual_rates,visual_dprime,visual_metad,visual_criterion,visual_mratio,visual_mdiff,motor_scores,motor_rates,motor_dprime,motor_metad,motor_criterion,motor_mratio,motor_mdiff,visuomotor_scores,visuomotor_rates,visuomotor_dprime,visuomotor_metad,visuomotor_criterion,visuomotor_mratio,visuomotor_mdiff,memory_mratio_log,visual_mratio_log,visuomotor_mratio_log,motor_mratio_log,DGI_memory_visual,DGI_memory_visuomotor,DGI_memory_motor,DGI_visual_visuomotor,DGI_visual_motor,DGI_visuomotor_motor
0,1,"(59, 15, 33, 79)","(0.7972972972972973, 0.29464285714285715)",1.3526506384217538,2.059890405783755,-0.1460674289077057,1.5228547174510592,0.707239767362001,"(66, 29, 33, 72)","(0.6947368421052632, 0.3142857142857143)",0.98234954743249,1.717541548723469,-0.0127918832085185,1.7484016287405104,0.735192001290979,,,,,,,,,,,,,,,0.4205866770129569,0.5587020155671641,,,0.13811533855420727,,,,,
1,2,"(55, 27, 28, 71)","(0.6707317073170732, 0.2828282828282828)",1.0043080488046785,1.4303789507576303,0.0662627333921897,1.4242432413641002,0.4260709019529518,"(71, 17, 35, 57)","(0.8068181818181818, 0.3804347826086957)",1.1546885330385592,0.1401106942027823,-0.2809458261570088,0.1213406820920629,-1.014577838835777,"(82, 20, 30, 60)","(0.803921568627451, 0.3333333333333333)",1.270789786857791,0.5712011520501323,-0.2124925656487572,0.4494851610843589,-0.6995886348076588,"(65, 25, 29, 73)","(0.7222222222222222, 0.28431372549019607)",1.146098514640348,0.9667747646524292,-0.0096908563336588,0.8435354834709025,-0.1793237499879189,0.3536406139671437,-2.109153135154768,-0.1701533109325898,-0.7996524376635167,2.4627937491219116,0.5237939248997335,1.1532930516306603,1.938999824222178,1.3095006974912513,0.6294991267309269
2,3,"(66, 23, 12, 80)","(0.7415730337078652, 0.13043478260869565)",1.7457141818482085,2.1143822806374133,0.2380678251234828,1.2111846845391905,0.3686680987892048,"(70, 20, 32, 58)","(0.7777777777777778, 0.35555555555555557)",1.1206056817746728,1.0795534826149251,-0.1971727144898137,0.9633660619186456,-0.0410521991597474,"(68, 26, 37, 61)","(0.723404255319149, 0.37755102040816324)",0.8946372019853681,0.380683329873028,-0.1405327495806533,0.425516990606047,-0.51395387211234,"(77, 21, 42, 52)","(0.7857142857142857, 0.44680851063829785)",0.9140936050412436,0.8419482006142007,-0.3289548979761528,0.9210743800972244,-0.0721454044270429,0.19159895875583483,-0.037321812810869964,-0.08221448583876044,-0.8544504008468968,0.2289207715667048,0.2738134445945953,1.0460493596027316,0.044892673027890476,0.8171285880360268,0.7722359150081364
3,4,"(81, 17, 16, 75)","(0.826530612244898, 0.17582417582417584)",1.8456070260201536,1.7132775115239431,-0.0045734261903364,0.9283002759360076,-0.1323295144962106,"(62, 34, 15, 69)","(0.6458333333333334, 0.17857142857142858)",1.2764913198926884,0.9982587654799744,0.2733637830853276,0.7820333361639276,-0.278232554412714,"(73, 27, 25, 67)","(0.73, 0.2717391304347826)",1.2061189883700063,0.9475782865189364,-0.0026256844019771,0.7856424578801537,-0.2585407018510699,"(67, 25, 26, 74)","(0.7282608695652174, 0.26)",1.2362155166856712,1.7245878176218183,0.017891891590122,1.395054336678678,0.4883723009361471,-0.07440002532755191,-0.24585790997979529,0.33293336553889946,-0.24125347823913962,0.17145788465224338,0.4073333908664514,0.1668534529115877,0.5787912755186948,0.004604431740655668,0.5741868437780391
4,5,"(67, 34, 23, 67)","(0.6633663366336634, 0.25555555555555554)",1.0660596070511923,1.3159061363109,0.1177202572026792,1.234364502329099,0.2498465292597076,,,,,,,,"(69, 19, 33, 71)","(0.7840909090909091, 0.3173076923076923)",1.2455962058935672,0.9166947403807963,-0.1554217062019777,0.7359485650674223,-0.3289014655127709,"(83, 21, 28, 60)","(0.7980769230769231, 0.3181818181818182)",1.2918024142833875,0.6655666118415685,-0.1809913862072545,0.5152232295608332,-0.6262358024418192,0.21055626462893773,,-0.6631550167751518,-0.30659504711455376,,0.8737112814040895,0.5171513117434915,,,0.356559969660598
5,6,"(46, 35, 19, 82)","(0.5679012345679012, 0.18811881188118812)",1.0424966468631849,1.5612003504166767,0.3569082382925662,1.4975591097719527,0.518703703553492,"(69, 18, 35, 58)","(0.7931034482758621, 0.3763440860215054)",1.1172663059108725,1.2338763511843318,-0.2510700202020806,1.1043708600684874,0.1166100452734595,"(80, 27, 24, 60)","(0.7476635514018691, 0.2857142857142857)",1.2185390242234762,0.9051737168428085,-0.0506032725907262,0.7428352304265657,-0.3133653073806677,"(56, 29, 27, 79)","(0.6588235294117647, 0.25471698113207547)",1.0568190456356463,1.264602244270017,0.1252324393392867,1.1966118982170646,0.207783198634371,0.4038365225302614,0.0992758154201568,0.17949414527808227,-0.2972810214056915,0.30456070711010463,0.22434237725217915,0.7011175439359529,0.08021832985792547,0.3965568368258483,0.4767751666837738
6,7,"(62, 29, 31, 64)","(0.6813186813186813, 0.3263157894736842)",0.9109724036889087,1.544638949181594,-0.01064004647564,1.6955935689453423,0.6336665454926852,"(61, 28, 22, 69)","(0.6853932584269663, 0.24175824175824176)",1.168732965362098,1.152893943081052,0.1089119040472764,0.9864476978484656,-0.015839022281046,"(76, 25, 34, 57)","(0.7524752475247525, 0.37362637362637363)",0.9931291141604568,0.4196139034724433,-0.1800178455901703,0.422516969334007,-0.5735152106880135,"(78, 13, 41, 60)","(0.8571428571428571, 0.40594059405940597)",1.2861444850159671,0.5185203320895911,-0.414785322483135,0.4031586949448792,-0.7676241529263762,0.5280328676991916,-0.013644972818056274,-0.9084250105656877,-0.861525668887306,0.5416778405172479,1.4364578782648794,1.3895585365864975,0.8947800377476314,0.8478806960692497,0.04689934167838172
7,8,"(74, 17, 24, 77)","(0.8131868131868132, 0.2376237623762376)",1.5827674431931582,1.8310485131287224,-0.0878670284433911,1.156865161084353,0.2482810699355642,"(69, 34, 17, 60)","(0.6699029126213593, 0.22077922077922077)",1.1926931281282989,1.489609040033423,0.1649595582478323,1.2489457723053006,0.2969159119051241,"(70, 31, 24, 67)","(0.693069306930693, 0.26373626373626374)",1.1232166050585075,0.6601577457086688,0.0636498213848271,0.5877385917690219,-0.4630588593498387,"(62, 29, 28, 73)","(0.6813186813186813, 0.27722772277227725)",1.050465735762866,-0.6864102478371481,0.0598537554921582,-0.6534342096733554,-1.736875983600014,0.14571389957416217,0.22229981331162926,,-0.5314730017562525,0.07658591373746709,,0.6771869013304146,,0.7537728150678817,
8,9,"(74, 23, 19, 73)","(0.7628865979381443, 0.20652173913043478)",1.5145002359590531,1.8414575216351976,0.051465393876677,1.2158846053061851,0.3269572856761444,"(67, 11, 41, 61)","(0.8589743589743589, 0.4019607843137255)",1.3014409920644374,0.9659207886307676,-0.4137238147271961,0.742193303054452,-0.3355202034336698,"(78, 23, 35, 56)","(0.7722772277227723, 0.38461538461538464)",1.027656771198794,0.4885744836331886,-0.2264930525329263,0.4754257426467896,-0.5390822875656054,"(65, 26, 33, 68)","(0.7142857142857143, 0.32673267326732675)",1.0033583082250987,0.6045677376162253,-0.0584977617854321,0.6025442084450188,-0.3987905706088734,0.19547188208882424,-0.2981455534973292,-0.5065942412966623,-0.7435445760757328,0.49361743558615345,0.7020661233854866,0.939016458164557,0.20844868779933312,0.4453990225784036,0.23695033477907046
9,10,"(64, 35, 18, 64)","(0.6464646464646465, 0.21951219512195122)",1.1343200706292396,1.2767250624134605,0.1990243089059365,1.1255421599877224,0.1424049917842207,"(66, 14, 40, 60)","(0.825, 0.4)",1.1699207047944455,1.052083658323511,-0.3406210939688401,0.8992777493482872,-0.1178370464709346,"(79, 22, 29, 62)","(0.7821782178217822, 0.31868131868131866)",1.236083960578868,-0.0185840529771862,-0.1540906540749979,-0.0150346202765086,-1.2546680135560542,"(74, 17, 35, 65)","(0.8131868131868132, 0.35)",1.2584094332589428,0.6224413862435009,-0.2521903443385963,0.4946254929379738,-0.635968047015442,0.11826483955932679,-0.10616333855803364,-0.7039543826877628,,0.22442817811736043,0.8222192222470895,,0.5977910441297292,,
