Subject,memory_scores,memory_rates,memory_dprime,memory_metad,memory_criterion,memory_mratio,memory_mdiff,visual_scores,visual_rates,visual_dprime,visual_metad,visual_criterion,visual_mratio,visual_mdiff,motor_scores,motor_rates,motor_dprime,motor_metad,motor_criterion,motor_mratio,motor_mdiff,visuomotor_scores,visuomotor_rates,visuomotor_dprime,visuomotor_metad,visuomotor_criterion,visuomotor_mratio,visuomotor_mdiff
1,"(59, 15, 33, 79)","(0.7972972972972973, 0.29464285714285715)",1.3526506384217538,2.059890405783755,-0.14606742890770574,1.5228547174510592,0.707239767362001,"(66, 29, 33, 72)","(0.6947368421052632, 0.3142857142857143)",0.9823495474324901,1.717541548723469,-0.012791883208518595,1.7484016287405104,0.735192001290979,,,,,,,,,,,,,,
2,"(55, 27, 28, 71)","(0.6707317073170732, 0.2828282828282828)",1.0043080488046785,1.4303789507576303,0.06626273339218972,1.4242432413641002,0.42607090195295183,"(71, 17, 35, 57)","(0.8068181818181818, 0.3804347826086957)",1.1546885330385592,0.14011069420278233,-0.2809458261570088,0.12134068209206293,-1.014577838835777,"(82, 20, 30, 60)","(0.803921568627451, 0.3333333333333333)",1.270789786857791,0.5712011520501323,-0.21249256564875726,0.4494851610843589,-0.6995886348076588,"(65, 25, 29, 73)","(0.7222222222222222, 0.28431372549019607)",1.146098514640348,0.9667747646524291,-0.009690856333658848,0.8435354834709025,-0.1793237499879189
3,"(66, 23, 12, 80)","(0.7415730337078652, 0.13043478260869565)",1.7457141818482085,2.1143822806374133,0.2380678251234828,1.2111846845391905,0.3686680987892048,"(70, 20, 32, 58)","(0.7777777777777778, 0.35555555555555557)",1.1206056817746728,1.0795534826149253,-0.19717271448981374,0.9633660619186455,-0.04105219915974745,"(68, 26, 37, 61)","(0.723404255319149, 0.37755102040816324)",0.8946372019853681,0.38068332987302805,-0.14053274958065337,0.425516990606047,-0.51395387211234,"(77, 21, 42, 52)","(0.7857142857142857, 0.44680851063829785)",0.9140936050412437,0.8419482006142007,-0.32895489797615285,0.9210743800972245,-0.07214540442704298
4,"(81, 17, 16, 75)","(0.826530612244898, 0.17582417582417584)",1.8456070260201538,1.7132775115239431,-0.004573426190336405,0.9283002759360076,-0.13232951449621067,"(62, 34, 15, 69)","(0.6458333333333334, 0.17857142857142858)",1.2764913198926884,0.9982587654799744,0.2733637830853276,0.7820333361639276,-0.278232554412714,"(73, 27, 25, 67)","(0.73, 0.2717391304347826)",1.2061189883700063,0.9475782865189364,-0.0026256844019771908,0.7856424578801537,-0.2585407018510699,"(67, 25, 26, 74)","(0.7282608695652174, 0.26)",1.2362155166856712,1.7245878176218183,0.017891891590122055,1.395054336678678,0.48837230093614714
5,"(67, 34, 23, 67)","(0.6633663366336634, 0.25555555555555554)",1.0660596070511925,1.3159061363109001,0.11772025720267926,1.234364502329099,0.24984652925970763,,,,,,,,"(69, 19, 33, 71)","(0.7840909090909091, 0.3173076923076923)",1.2455962058935672,0.9166947403807963,-0.1554217062019777,0.7359485650674223,-0.3289014655127709,"(83, 21, 28, 60)","(0.7980769230769231, 0.3181818181818182)",1.2918024142833877,0.6655666118415685,-0.1809913862072545,0.5152232295608332,-0.6262358024418192
6,"(46, 35, 19, 82)","(0.5679012345679012, 0.18811881188118812)",1.0424966468631847,1.5612003504166767,0.35690823829256624,1.4975591097719527,0.518703703553492,"(69, 18, 35, 58)","(0.7931034482758621, 0.3763440860215054)",1.1172663059108723,1.2338763511843318,-0.2510700202020806,1.1043708600684874,0.11661004527345953,"(80, 27, 24, 60)","(0.7476635514018691, 0.2857142857142857)",1.2185390242234762,0.9051737168428085,-0.05060327259072628,0.7428352304265657,-0.3133653073806677,"(56, 29, 27, 79)","(0.6588235294117647, 0.25471698113207547)",1.0568190456356463,1.2646022442700173,0.12523243933928677,1.1966118982170646,0.207783198634371
7,"(62, 29, 31, 64)","(0.6813186813186813, 0.3263157894736842)",0.9109724036889087,1.544638949181594,-0.01064004647564007,1.6955935689453423,0.6336665454926852,"(61, 28, 22, 69)","(0.6853932584269663, 0.24175824175824176)",1.1687329653620981,1.152893943081052,0.10891190404727641,0.9864476978484655,-0.015839022281046056,"(76, 25, 34, 57)","(0.7524752475247525, 0.37362637362637363)",0.9931291141604568,0.4196139034724433,-0.18001784559017037,0.42251696933400706,-0.5735152106880135,"(78, 13, 41, 60)","(0.8571428571428571, 0.40594059405940597)",1.2861444850159673,0.5185203320895911,-0.414785322483135,0.4031586949448792,-0.7676241529263762
8,"(74, 17, 24, 77)","(0.8131868131868132, 0.2376237623762376)",1.5827674431931582,1.8310485131287224,-0.08786702844339117,1.156865161084353,0.2482810699355642,"(69, 34, 17, 60)","(0.6699029126213593, 0.22077922077922077)",1.1926931281282989,1.489609040033423,0.16495955824783232,1.2489457723053006,0.2969159119051241,"(70, 31, 24, 67)","(0.693069306930693, 0.26373626373626374)",1.1232166050585075,0.6601577457086688,0.06364982138482711,0.5877385917690219,-0.4630588593498387,"(62, 29, 28, 73)","(0.6813186813186813, 0.27722772277227725)",1.050465735762866,-0.6864102478371481,0.05985375549215824,-0.6534342096733554,-1.736875983600014
9,"(74, 23, 19, 73)","(0.7628865979381443, 0.20652173913043478)",1.5145002359590531,1.8414575216351976,0.051465393876677035,1.2158846053061851,0.32695728567614446,"(67, 11, 41, 61)","(0.8589743589743589, 0.4019607843137255)",1.3014409920644374,0.9659207886307676,-0.41372381472719616,0.742193303054452,-0.33552020343366984,"(78, 23, 35, 56)","(0.7722772277227723, 0.38461538461538464)",1.027656771198794,0.4885744836331886,-0.22649305253292634,0.4754257426467896,-0.5390822875656054,"(65, 26, 33, 68)","(0.7142857142857143, 0.32673267326732675)",1.0033583082250987,0.6045677376162253,-0.05849776178543217,0.6025442084450188,-0.39879057060887346
10,"(64, 35, 18, 64)","(0.6464646464646465, 0.21951219512195122)",1.1343200706292396,1.2767250624134603,0.19902430890593653,1.1255421599877224,0.14240499178422072,"(66, 14, 40, 60)","(0.825, 0.4)",1.1699207047944455,1.052083658323511,-0.3406210939688401,0.8992777493482872,-0.11783704647093463,"(79, 22, 29, 62)","(0.7821782178217822, 0.31868131868131866)",1.236083960578868,-0.018584052977186228,-0.15409065407499792,-0.015034620276508698,-1.2546680135560542,"(74, 17, 35, 65)","(0.8131868131868132, 0.35)",1.2584094332589428,0.6224413862435009,-0.25219034433859633,0.4946254929379738,-0.635968047015442
11,"(81, 31, 35, 40)","(0.7232142857142857, 0.4666666666666667)",0.6690744893712166,1.5243654671156501,-0.25438260073755203,2.278319516483463,0.8552909777444335,"(54, 34, 16, 76)","(0.6136363636363636, 0.17391304347826086)",1.210718719287613,0.545410885021566,0.32500248090121986,0.4504852170308276,-0.665307834266047,"(80, 26, 26, 60)","(0.7547169811320755, 0.3023255813953488)",1.1930829015068092,1.2581205137632423,-0.08584263108039003,1.0545122322801657,0.06503761225643312,"(64, 22, 28, 78)","(0.7441860465116279, 0.2641509433962264)",1.271477668450332,1.1972563427245209,-0.012852333301545282,0.9416259305471943,-0.07422132572581108
12,"(74, 27, 15, 67)","(0.7326732673267327, 0.18292682926829268)",1.5039471446301964,1.567691671905113,0.14167458677863604,1.0423848188432119,0.06374452727491664,"(73, 19, 32, 56)","(0.7934782608695652, 0.36363636363636365)",1.1522182182347689,0.8556224752180442,-0.23489691191947362,0.7425871780858336,-0.29659574301672464,"(70, 31, 25, 66)","(0.693069306930693, 0.27472527472527475)",1.0904454541704154,0.9150906429102591,0.04700719074008869,0.8391897452646433,-0.17535481126015628,"(62, 29, 26, 75)","(0.6813186813186813, 0.25742574257425743)",1.1098259006557385,0.8876804822245923,0.08995632333653761,0.7998375976809587,-0.2221454184311462
13,"(79, 20, 26, 67)","(0.797979797979798, 0.27956989247311825)",1.4010559817092896,1.8741387506311824,-0.12515365569740605,1.3376615746251135,0.4730827689218928,"(57, 27, 26, 70)","(0.6785714285714286, 0.2708333333333333)",1.0610277194227062,0.26504505439580583,0.07329342936457675,0.24980031109838863,-0.7959826650269004,,,,,,,,,,,,,,
14,"(55, 27, 23, 84)","(0.6707317073170732, 0.21495327102803738)",1.2166060484479462,1.8241021301226352,0.17370853145658963,1.4993367265021298,0.607496081674689,"(59, 37, 12, 72)","(0.6145833333333334, 0.14285714285714285)",1.3373284878226563,1.1402274223379492,0.38814274543737026,0.8526158178192904,-0.19710106548470718,"(78, 15, 38, 61)","(0.8387096774193549, 0.3838383838383838)",1.2669174237623742,1.640617603045295,-0.3468767427526986,1.2949680636431227,0.3737001792829209,"(77, 22, 30, 63)","(0.7777777777777778, 0.3225806451612903)",1.210655604941088,1.7106503130504638,-0.1521075673416354,1.4129949971476043,0.49999470810937585
15,"(64, 21, 30, 69)","(0.7529411764705882, 0.30303030303030304)",1.1845632071646766,2.052230893564882,-0.08403479309313011,1.7324790109571444,0.8676676864002053,"(60, 32, 19, 69)","(0.6521739130434783, 0.2159090909090909)",1.1620049411767404,1.122327205444847,0.19744395236386428,0.9658540731404184,-0.03967773573189337,"(65, 31, 17, 79)","(0.6770833333333334, 0.17708333333333334)",1.3682730788850292,1.053561464827914,0.23348967536057388,0.7699935642133909,-0.31471161405711534,"(67, 29, 20, 76)","(0.6979166666666666, 0.20833333333333334)",1.3143564308127846,0.7218394794221561,0.1468999065303298,0.5491961407879123,-0.5925169513906285
16,"(67, 31, 26, 56)","(0.6836734693877551, 0.3170731707317073)",0.9425103246133608,1.7954249090517393,-0.0010484983209558263,1.9049392480536098,0.8529145844383785,"(37, 48, 7, 88)","(0.43529411764705883, 0.07368421052631578)",1.2567966588442705,1.4242354286378647,0.8059004652128023,1.1332266191315055,0.16743876979359418,"(74, 26, 28, 64)","(0.74, 0.30434782608695654)",1.1419703948616375,1.316033917845103,-0.0657045957607938,1.1524238489602485,0.1740635229834655,"(73, 19, 30, 70)","(0.7934782608695652, 0.3)",1.3262547572415393,0.8498141802255282,-0.14707450332397554,0.6407623992188697,-0.47644057701601106
17,"(70, 29, 25, 60)","(0.7070707070707071, 0.29411764705882354)",1.073296118494214,1.6116664037512296,-0.0017260771087915794,1.50160461402984,0.5383702852570156,"(63, 27, 26, 64)","(0.7, 0.28888888888888886)",1.0679466380184284,0.3155628127185719,0.01611655417958513,0.2954855621851085,-0.7523838252998565,,,,,,,,,,,,,,
18,"(63, 25, 24, 68)","(0.7159090909090909, 0.2608695652173913)",1.1963625060994016,1.2134680668137556,0.03496780963771856,1.0142979745914344,0.017105560714353985,"(64, 20, 34, 62)","(0.7619047619047619, 0.3541666666666667)",1.0725799464850945,1.245483899964399,-0.1691738110958827,1.1612037909583528,0.17290395347930443,"(79, 22, 34, 57)","(0.7821782178217822, 0.37362637362637363)",1.088847445839851,0.9348209101313739,-0.2286534158537189,0.8585416751474555,-0.15402653570847702,"(70, 21, 35, 66)","(0.7692307692307693, 0.3465346534653465)",1.1173497161346668,0.7089414667209298,-0.17081134860836908,0.6344848497151144,-0.408408249413737
19,"(59, 32, 13, 76)","(0.6483516483516484, 0.14606741573033707)",1.4129649740145203,1.4255643107395057,0.3362879354126759,1.0089169490799113,0.012599336724985477,"(88, 7, 39, 46)","(0.9263157894736842, 0.4588235294117647)",1.5199886673379508,1.549983525483222,-0.6727457653318963,1.0197336064339235,0.02999485814527114,"(76, 22, 29, 65)","(0.7755102040816326, 0.30851063829787234)",1.242217640881089,1.3292588795732343,-0.12852044431035542,1.0700692341081295,0.0870412386921453,"(71, 23, 29, 69)","(0.7553191489361702, 0.29591836734693877)",1.213014009792357,1.112578050278928,-0.07757406628149255,0.9172013194384939,-0.10043595951342899
20,"(60, 33, 27, 67)","(0.6451612903225806, 0.2872340425531915)",0.9230668172481158,0.9909134154663392,0.0945969892913894,1.0735012860937743,0.06784659821822336,"(56, 33, 14, 77)","(0.6292134831460674, 0.15384615384615385)",1.3303079860823173,1.0036021627278187,0.3451526377933962,0.7544133939114137,-0.3267058233544986,"(78, 21, 35, 58)","(0.7878787878787878, 0.3763440860215054)",1.1008250512639075,0.4096461728018258,-0.24199299025496981,0.3721264994210409,-0.6911788784620817,"(79, 14, 40, 59)","(0.8494623655913979, 0.40404040404040403)",1.258778170668828,-0.17791202902321387,-0.39561380503552673,-0.14133707842159646,-1.4366901996920418
