,Subject,VP_dprime,VP_criterion,VP_metad,VP_mratio,VP_log_mratio,SM_dprime,SM_criterion,SM_metad,SM_mratio,SM_log_mratio,EM_dprime,EM_criterion,EM_metad,EM_mratio,EM_log_mratio,EF_dprime,EF_criterion,EF_metad,EF_mratio,EF_log_mratio,DGI_VP_EF,DGI_VP_SM,DGI_VP_EM,DGI_EF_SM,DGI_EF_EM,DGI_SM_EM
133,134,1.325,-0.227,0.568,0.481,-0.994,1.788,-0.048,3.144,1.874,0.569,3.057,-0.149,3.592,1.221,0.154,4.813,0.176,5.088,1.066,0.029,1.023,1.563,1.148,0.5399999999999999,0.125,0.4149999999999999
134,135,0.699,0.084,0.577,0.975,-0.332,0.733,0.012,0.563,0.925,-0.423,0.278,-0.063,0.332,1.289,-0.157,2.569,-0.257,1.533,0.62,-0.64,0.308,0.09099999999999997,0.17500000000000002,0.21700000000000003,0.483,0.266
135,136,1.625,0.363,1.05,0.698,-0.538,1.49,0.054,1.181,0.853,-0.329,1.773,-0.035,3.665,2.228,0.74,7.501,0.559,8.778,1.29,0.2,0.738,0.20900000000000002,1.278,0.529,0.54,1.069
136,137,0.789,0.011,1.252,1.906,0.411,2.94,0.416,2.231,0.793,-0.33,3.0,-0.002,5.271,1.809,0.527,1.331,-0.083,2.076,1.725,0.437,0.026000000000000023,0.741,0.11600000000000005,0.767,0.09000000000000002,0.857
137,138,1.476,0.322,0.581,0.434,-1.112,1.366,0.295,1.425,1.145,-0.014,0.991,-0.228,2.784,3.651,1.126,1.465,0.022,2.389,1.783,0.492,1.604,1.098,2.238,0.506,0.6339999999999999,1.14
138,139,-0.015,0.909,-0.034,1.042,-0.463,2.053,-0.147,1.076,0.549,-0.797,7.062,-1.776,7.282,1.129,0.039,2.328,0.017,1.838,0.822,-0.312,0.15100000000000002,0.334,0.502,0.48500000000000004,0.351,0.8360000000000001
139,140,1.003,-0.059,0.733,0.849,-0.45,1.43,0.092,3.199,2.487,0.826,3.492,0.08,3.834,1.14,0.062,2.288,-0.002,1.678,0.764,-0.418,0.03200000000000003,1.276,0.512,1.244,0.48,0.764
140,141,1.535,-0.299,0.806,0.567,-0.775,1.881,-0.0,1.429,0.805,-0.375,3.408,0.112,4.305,1.315,0.213,3.775,0.775,4.124,1.153,0.087,0.862,0.4,0.988,0.46199999999999997,0.126,0.588
141,142,1.016,-0.054,1.465,1.665,0.314,0.584,0.024,1.315,2.784,0.774,2.346,0.054,2.264,1.013,-0.077,2.63,-0.017,3.449,1.368,0.254,0.06,0.46,0.391,0.52,0.331,0.851
142,143,0.765,-0.14,0.485,0.794,-0.637,1.183,-0.02,2.496,2.373,0.765,1.193,0.275,2.091,1.987,0.574,1.919,0.042,2.395,1.322,0.194,0.831,1.4020000000000001,1.2109999999999999,0.571,0.37999999999999995,0.19100000000000006
143,144,1.115,0.651,0.736,0.844,-0.483,1.521,-0.231,1.677,1.201,0.047,1.864,0.224,3.34,1.928,0.593,2.664,-0.019,4.191,1.643,0.446,0.929,0.53,1.076,0.399,0.14699999999999996,0.5459999999999999
144,145,1.385,-0.017,1.295,1.022,-0.135,1.465,-0.283,2.178,1.636,0.391,2.145,0.125,3.28,1.612,0.422,2.681,0.035,3.787,1.481,0.343,0.47800000000000004,0.526,0.5569999999999999,0.04799999999999999,0.07899999999999996,0.030999999999999972
145,146,0.901,-0.137,0.429,0.56,-0.892,2.586,-0.026,1.74,0.703,-0.486,2.112,0.097,1.737,0.862,-0.27,16.501,3.461,3.575,0.234,-1.545,0.6529999999999999,0.406,0.622,1.059,1.275,0.21599999999999997
146,147,1.102,-0.006,0.533,0.549,-0.884,1.482,-0.009,1.114,0.818,-0.377,3.475,0.28,2.352,0.699,-0.472,13.347,-2.605,5.575,0.441,-0.851,0.03300000000000003,0.507,0.41200000000000003,0.474,0.379,0.09499999999999997
147,148,0.628,0.41,0.417,0.848,-0.546,1.348,0.328,1.207,0.979,-0.215,1.026,0.43,0.648,0.731,-0.607,5.834,1.49,7.448,1.343,0.243,0.789,0.33100000000000007,0.06099999999999994,0.45799999999999996,0.85,0.392
148,149,0.907,0.037,0.832,1.043,-0.284,2.11,-0.35,3.164,1.595,0.399,3.497,0.243,2.954,0.879,-0.206,3.017,-0.284,2.675,0.922,-0.172,0.11199999999999999,0.683,0.07799999999999999,0.571,0.034,0.605
149,150,1.938,0.193,0.792,0.436,-1.086,1.349,0.048,1.195,0.977,-0.217,1.76,0.021,2.906,1.761,0.504,4.215,0.094,2.857,0.703,-0.461,0.625,0.8690000000000001,1.59,0.24400000000000002,0.9650000000000001,0.721
150,151,0.573,-0.025,0.378,0.858,-0.572,0.704,-0.007,0.797,1.352,0.007,0.693,0.172,0.928,1.614,0.164,2.687,0.25,1.912,0.739,-0.403,0.16899999999999993,0.579,0.736,0.41000000000000003,0.5670000000000001,0.157
151,152,1.23,0.122,0.691,0.641,-0.723,1.815,0.247,2.518,1.48,0.316,1.191,0.023,1.092,1.011,-0.175,3.119,0.317,2.065,0.683,-0.485,0.238,1.039,0.548,0.8009999999999999,0.31,0.491
152,153,0.51,-0.093,1.018,2.362,0.567,1.019,0.159,1.339,1.488,0.22,1.387,0.093,1.596,1.263,0.077,1.003,-0.106,3.392,3.886,1.263,0.696,0.347,0.48999999999999994,1.043,1.186,0.14300000000000002
153,154,1.349,0.078,1.021,0.832,-0.387,1.576,0.07,1.407,0.963,-0.179,2.44,-0.179,2.08,0.896,-0.23,2.902,0.466,7.035,2.433,0.887,1.274,0.20800000000000002,0.157,1.066,1.117,0.05100000000000002
154,155,1.078,0.086,0.495,0.527,-0.93,1.677,-0.008,1.25,0.798,-0.399,10.26,-0.591,7.688,0.841,-0.235,3.429,-0.132,3.235,0.982,-0.091,0.8390000000000001,0.531,0.6950000000000001,0.30800000000000005,0.144,0.16400000000000003
155,156,1.234,0.005,1.202,1.068,-0.107,0.966,-0.003,2.166,2.585,0.827,2.996,0.052,2.513,0.87,-0.221,2.969,-0.048,2.624,0.918,-0.177,0.06999999999999999,0.9339999999999999,0.114,1.004,0.04400000000000001,1.048
156,157,0.101,-0.21,0.036,1.351,-0.214,1.131,0.519,1.279,1.295,0.08,1.674,0.175,1.164,0.745,-0.448,1.413,0.289,1.912,1.497,0.28,0.494,0.294,0.234,0.2,0.728,0.528
157,158,1.111,-0.33,0.6,0.628,-0.764,1.348,0.159,2.527,2.06,0.635,2.155,-0.379,2.91,1.368,0.223,3.241,-0.447,4.455,1.429,0.285,1.049,1.399,0.987,0.35000000000000003,0.06199999999999997,0.41200000000000003
158,159,0.963,0.467,0.634,0.744,-0.571,1.558,0.036,1.675,1.162,0.032,3.439,0.257,5.25,1.584,0.408,2.718,-0.282,6.072,2.3,0.779,1.35,0.603,0.9789999999999999,0.747,0.37100000000000005,0.376
159,160,0.803,0.326,1.55,2.355,0.668,2.009,0.177,1.733,0.912,-0.2,2.602,0.024,2.072,0.832,-0.286,2.13,0.035,2.334,1.16,0.023,0.645,0.8680000000000001,0.954,0.223,0.309,0.08599999999999997
160,161,0.549,0.091,0.225,0.658,-0.856,0.535,-0.207,1.058,2.444,0.603,0.985,-0.027,1.151,1.351,0.087,5.646,0.458,8.29,1.549,0.383,1.2389999999999999,1.459,0.943,0.21999999999999997,0.29600000000000004,0.516
161,162,1.032,0.249,1.077,1.2,-0.012,0.512,-0.114,0.456,1.074,-0.259,1.759,0.04,2.735,1.66,0.436,1.861,0.219,2.104,1.214,0.086,0.09799999999999999,0.247,0.448,0.345,0.35,0.6950000000000001
162,163,0.668,0.238,0.44,0.89,-0.553,1.694,-0.065,1.524,0.962,-0.195,2.713,0.111,4.824,1.852,0.575,2.942,-0.021,5.096,1.792,0.529,1.082,0.35800000000000004,1.1280000000000001,0.724,0.04599999999999993,0.77
163,164,0.76,-0.194,0.304,0.532,-1.034,2.244,-0.161,1.615,0.757,-0.426,3.012,0.019,3.672,1.265,0.173,1.906,-0.057,2.104,1.173,0.058,1.092,0.6080000000000001,1.207,0.484,0.11499999999999999,0.599
164,165,1.11,-0.153,0.828,0.843,-0.426,0.802,-0.122,0.782,1.172,-0.139,3.855,0.411,2.699,0.725,-0.404,2.14,-0.011,2.664,1.314,0.207,0.633,0.287,0.021999999999999964,0.346,0.611,0.265
165,166,1.461,-0.113,0.661,0.487,-0.946,1.338,-0.089,1.051,0.868,-0.331,2.153,-0.03,2.643,1.291,0.178,2.125,-0.101,1.665,0.824,-0.323,0.623,0.615,1.1239999999999999,0.008000000000000007,0.501,0.509
166,167,1.533,0.24,0.778,0.543,-0.818,0.137,-0.238,0.15,1.185,-0.3,0.821,0.029,1.529,2.172,0.586,2.213,0.08,2.661,1.264,0.137,0.955,0.518,1.404,0.437,0.44899999999999995,0.8859999999999999
167,168,1.032,0.013,0.325,0.386,-1.309,1.146,0.093,1.68,1.66,0.361,0.773,0.101,0.64,1.001,-0.334,2.991,0.066,3.149,1.093,0.033,1.3419999999999999,1.67,0.9749999999999999,0.32799999999999996,0.367,0.6950000000000001
168,169,0.479,-0.127,0.523,1.36,-0.106,1.639,-0.166,1.246,0.815,-0.362,0.895,-0.062,0.623,0.795,-0.509,7.553,-2.986,1.474,0.25,-1.586,1.48,0.256,0.403,1.2240000000000002,1.077,0.14700000000000002
169,170,1.17,-0.065,0.801,0.774,-0.523,0.67,-0.14,1.178,2.094,0.495,1.757,-0.272,7.806,4.528,1.431,4.255,-0.204,3.178,0.743,-0.452,0.07100000000000001,1.018,1.9540000000000002,0.9470000000000001,1.883,0.936
170,171,1.201,0.151,0.624,0.571,-0.814,0.702,0.32,0.726,1.317,-0.07,1.721,0.018,1.858,1.152,0.03,1.995,0.162,1.307,0.69,-0.519,0.29499999999999993,0.744,0.844,0.449,0.549,0.1
171,172,0.382,0.005,0.457,1.413,-0.062,1.111,-0.213,1.003,1.016,-0.223,0.683,0.041,0.705,1.245,-0.11,2.527,-0.361,3.049,1.176,0.019,0.081,0.161,0.048,0.242,0.129,0.113
172,173,1.025,-0.062,0.777,0.867,-0.427,1.801,-0.168,2.042,1.221,0.103,1.97,-0.222,2.407,1.295,0.179,2.867,0.053,1.363,0.493,-0.885,0.458,0.53,0.606,0.988,1.064,0.076
173,174,1.408,-0.029,0.571,0.44,-1.081,0.481,0.091,0.384,1.034,-0.347,1.883,-0.091,1.403,0.79,-0.407,2.435,-0.091,2.703,1.161,0.068,1.149,0.734,0.6739999999999999,0.415,0.475,0.06
174,175,1.287,0.017,0.74,0.633,-0.716,1.42,-0.015,3.039,2.25,0.657,1.518,-0.035,1.071,0.764,-0.48,11.634,-0.149,8.31,0.825,-0.269,0.44699999999999995,1.373,0.236,0.926,0.21099999999999997,1.137
175,176,0.553,0.608,0.299,0.75,-0.684,0.964,0.081,0.919,1.086,-0.178,2.378,-0.079,2.858,1.264,0.165,3.677,-0.277,5.585,1.539,0.397,1.081,0.506,0.8490000000000001,0.575,0.232,0.34299999999999997
176,177,1.029,0.224,0.919,1.029,-0.212,1.866,-0.032,1.122,0.637,-0.62,1.346,-0.022,0.949,0.771,-0.474,3.04,0.121,4.021,1.375,0.265,0.477,0.40800000000000003,0.262,0.885,0.739,0.14600000000000002
177,178,0.573,-0.292,0.381,0.893,-0.545,1.564,-0.243,1.711,1.18,0.051,2.413,-0.053,3.899,1.691,0.478,4.106,-0.137,9.815,2.443,0.879,1.424,0.5960000000000001,1.0230000000000001,0.828,0.401,0.427
178,179,0.729,-0.139,0.651,1.056,-0.237,1.373,-0.251,1.986,1.585,0.352,17.381,-0.294,8.362,0.568,-0.64,2.35,-0.049,2.827,1.262,0.162,0.399,0.589,0.403,0.18999999999999997,0.802,0.992
179,180,0.944,-0.03,0.416,0.526,-0.95,0.683,-0.135,0.59,1.021,-0.28,0.66,-0.236,0.848,1.563,0.15,4.154,0.101,2.995,0.752,-0.399,0.5509999999999999,0.6699999999999999,1.0999999999999999,0.119,0.549,0.43000000000000005
180,181,0.594,0.764,0.588,1.32,-0.111,0.99,-0.047,1.155,1.33,0.074,1.351,0.013,1.122,0.912,-0.296,2.522,0.385,3.268,1.358,0.252,0.363,0.185,0.185,0.178,0.548,0.37
