,Subject,VP_dprime,VP_criterion,VP_metad,VP_mratio,VP_log_mratio,SM_dprime,SM_criterion,SM_metad,SM_mratio,SM_log_mratio,EM_dprime,EM_criterion,EM_metad,EM_mratio,EM_log_mratio,EF_dprime,EF_criterion,EF_metad,EF_mratio,EF_log_mratio,DGI_VP_EF,DGI_VP_SM,DGI_VP_EM,DGI_EF_SM,DGI_EF_EM,DGI_SM_EM
32,33,1.474,0.639,0.638,0.47,-0.967,0.903,-0.085,1.143,1.477,0.184,1.183,-0.169,2.304,2.21,0.683,2.746,-0.227,1.236,0.471,-0.924,0.04299999999999993,1.151,1.65,1.108,1.6070000000000002,0.49900000000000005
33,34,0.931,-0.13,0.73,0.915,-0.389,0.732,-0.036,1.502,2.514,0.709,0.778,0.728,0.785,1.226,-0.073,2.101,0.002,1.779,0.891,-0.294,0.09500000000000003,1.0979999999999999,0.316,1.003,0.22099999999999997,0.7819999999999999
34,35,0.289,0.17,0.697,2.418,0.404,1.437,-0.213,1.098,0.829,-0.375,2.991,0.068,3.18,1.106,0.037,3.279,-0.096,1.505,0.477,-0.916,1.32,0.779,0.36700000000000005,0.541,0.9530000000000001,0.412
35,36,1.311,0.107,1.194,1.028,-0.201,1.072,-0.115,1.608,1.712,0.401,2.45,-0.087,4.557,1.954,0.619,5.113,0.52,9.209,1.897,0.612,0.813,0.6020000000000001,0.8200000000000001,0.21099999999999997,0.007000000000000006,0.21799999999999997
36,37,1.072,0.497,1.775,1.972,0.514,0.858,-0.151,2.19,2.947,0.958,2.159,0.01,2.997,1.458,0.318,2.18,-0.121,3.719,1.791,0.526,0.01200000000000001,0.44399999999999995,0.196,0.43199999999999994,0.20800000000000002,0.6399999999999999
37,38,1.102,0.33,1.134,1.175,-0.052,0.819,0.006,0.937,1.338,0.022,2.1,-0.03,1.557,0.775,-0.381,12.335,0.417,8.839,0.794,-0.295,0.243,0.074,0.329,0.317,0.08600000000000002,0.403
38,39,0.487,-0.015,0.408,1.087,-0.315,1.155,0.085,1.945,1.93,0.526,2.394,-0.026,2.838,1.244,0.146,4.189,-0.241,2.135,0.529,-0.789,0.47400000000000003,0.841,0.46099999999999997,1.315,0.935,0.38
39,40,1.103,0.005,0.501,0.515,-0.941,0.905,-0.065,0.773,1.005,-0.28,2.785,0.392,1.602,0.599,-0.663,1.852,-0.258,3.86,2.231,0.743,1.684,0.6609999999999999,0.2779999999999999,1.0230000000000001,1.4060000000000001,0.383
40,41,0.924,0.056,0.953,1.233,-0.125,1.55,-0.015,2.17,1.518,0.208,1.776,0.103,2.275,1.365,0.167,11.083,-4.794,1.41,0.13,-2.102,1.9769999999999999,0.33299999999999996,0.29200000000000004,2.31,2.2689999999999997,0.04099999999999998
41,42,0.933,-0.074,0.458,0.594,-0.859,0.449,-0.022,0.433,1.206,-0.23,0.739,-0.008,1.541,2.552,0.737,1.566,-0.053,1.915,1.327,0.164,1.023,0.629,1.596,0.394,0.573,0.967
42,43,0.997,0.123,0.572,0.654,-0.692,0.621,0.134,2.082,4.314,1.267,2.6,0.104,1.168,0.468,-0.935,4.6,0.406,5.102,1.163,0.082,0.7739999999999999,1.9589999999999999,0.2430000000000001,1.1849999999999998,1.0170000000000001,2.202
43,44,0.469,-0.194,0.417,1.11,-0.293,2.495,0.205,2.427,1.028,-0.063,1.38,0.23,1.122,0.896,-0.302,3.97,0.741,3.639,0.963,-0.092,0.20099999999999998,0.22999999999999998,0.009000000000000008,0.028999999999999998,0.21,0.239
44,45,1.122,0.081,0.685,0.689,-0.648,2.178,0.051,2.909,1.41,0.278,1.546,-0.07,1.355,0.945,-0.207,2.514,0.183,2.933,1.218,0.136,0.784,0.926,0.44100000000000006,0.14200000000000002,0.34299999999999997,0.485
45,46,1.092,0.307,0.442,0.47,-1.055,1.739,-0.038,2.319,1.421,0.269,1.914,0.125,1.829,1.011,-0.094,3.597,0.355,2.176,0.628,-0.586,0.469,1.3239999999999998,0.961,0.855,0.492,0.363
46,47,0.764,-0.424,1.428,2.217,0.496,0.53,-0.288,0.703,1.679,0.092,0.965,-0.41,1.574,1.917,0.481,2.165,-0.509,3.277,1.476,0.283,0.21300000000000002,0.404,0.015000000000000013,0.19099999999999998,0.198,0.389
47,48,1.024,0.28,1.374,1.544,0.263,1.561,0.119,1.134,0.793,-0.439,0.867,0.27,1.019,1.383,0.086,1.977,-0.184,3.221,1.729,0.488,0.22499999999999998,0.702,0.17700000000000002,0.927,0.402,0.525
48,49,0.708,-0.051,0.463,0.79,-0.601,0.009,-0.034,0.139,1.27,-0.304,1.923,0.129,1.834,1.006,-0.103,1.461,-0.105,1.954,1.456,0.267,0.868,0.297,0.498,0.571,0.37,0.201
49,50,1.083,-0.139,1.005,1.06,-0.197,1.216,-0.14,2.472,2.294,0.724,2.804,0.231,1.45,0.536,-0.819,2.972,-0.063,2.184,0.765,-0.401,0.20400000000000001,0.921,0.6219999999999999,1.125,0.4179999999999999,1.543
50,51,0.881,0.248,0.719,0.947,-0.333,2.29,-0.105,1.379,0.631,-0.631,2.955,-0.046,2.602,0.914,-0.167,8.582,0.268,9.308,1.195,0.113,0.446,0.298,0.166,0.744,0.28,0.46399999999999997
51,52,1.204,0.046,0.426,0.403,-1.198,0.715,-0.085,0.745,1.256,-0.095,1.832,0.015,1.08,0.618,-0.661,0.319,-0.214,0.107,0.855,-0.687,0.5109999999999999,1.103,0.5369999999999999,0.5920000000000001,0.026000000000000023,0.5660000000000001
52,53,0.466,-0.031,0.545,1.403,-0.028,0.325,0.037,0.323,1.276,-0.258,0.356,0.144,0.273,1.046,-0.398,2.628,-0.385,3.54,1.25,0.11,0.138,0.23,0.37,0.368,0.508,0.14
53,54,1.084,0.161,0.739,0.781,-0.514,1.431,-0.096,2.229,1.719,0.439,2.516,0.268,4.268,1.774,0.529,3.0,0.223,4.092,1.425,0.303,0.817,0.9530000000000001,1.0430000000000001,0.136,0.22600000000000003,0.09000000000000002
54,55,1.14,0.087,0.663,0.667,-0.687,1.951,0.166,2.985,1.625,0.425,2.764,0.248,2.489,0.939,-0.144,2.68,-0.008,3.102,1.214,0.12,0.807,1.112,0.543,0.305,0.264,0.569
55,56,0.831,0.073,0.223,0.52,-1.323,1.659,0.124,1.68,1.086,-0.027,2.947,0.005,3.033,1.066,0.002,6.916,0.01,9.529,1.416,0.328,1.651,1.296,1.325,0.35500000000000004,0.326,0.028999999999999998
56,57,0.732,0.305,0.695,1.163,-0.163,0.611,0.037,0.729,1.46,-0.003,1.975,0.113,2.035,1.085,-0.032,9.255,4.417,1.826,0.197,-1.631,1.468,0.16,0.131,1.6280000000000001,1.599,0.029
57,58,0.479,0.237,0.23,0.72,-0.763,0.675,-0.147,0.737,1.305,-0.052,2.409,0.044,3.698,1.6,0.418,3.208,-0.304,2.664,0.869,-0.245,0.518,0.711,1.181,0.193,0.663,0.47
58,59,1.463,0.034,0.854,0.629,-0.695,1.251,0.019,1.471,1.299,0.103,2.632,0.019,2.441,0.968,-0.113,4.487,0.398,6.776,1.557,0.401,1.096,0.7979999999999999,0.582,0.29800000000000004,0.514,0.216
59,60,1.301,-0.492,1.037,0.902,-0.327,0.845,0.19,1.378,1.91,0.465,1.279,0.043,1.861,1.63,0.346,2.997,0.123,2.546,0.881,-0.226,0.101,0.792,0.673,0.6910000000000001,0.572,0.11900000000000005
60,61,0.967,-0.504,0.461,0.595,-0.89,0.981,-0.034,0.66,0.765,-0.544,1.642,0.11,3.03,1.983,0.597,4.023,0.054,1.983,0.512,-0.841,0.049000000000000044,0.346,1.487,0.29699999999999993,1.438,1.141
61,62,1.098,0.398,0.634,0.663,-0.704,1.687,0.11,1.189,0.754,-0.443,2.391,-0.076,3.223,1.412,0.275,16.036,0.433,8.33,0.593,-0.587,0.11699999999999999,0.26099999999999995,0.979,0.14399999999999996,0.862,0.718
62,63,1.265,-0.225,0.761,0.659,-0.633,2.379,-0.302,1.687,0.738,-0.423,2.956,0.024,2.448,0.861,-0.234,5.835,1.121,7.633,1.438,0.304,0.937,0.21000000000000002,0.399,0.727,0.538,0.18899999999999997
63,64,0.849,0.065,0.429,0.605,-0.847,1.166,0.065,1.844,1.756,0.44,4.248,0.107,3.931,0.967,-0.134,3.766,-0.315,3.438,0.951,-0.119,0.728,1.287,0.713,0.5589999999999999,0.015000000000000013,0.5740000000000001
64,65,1.056,-0.729,0.973,1.086,-0.142,0.612,-0.032,0.786,1.561,0.1,4.118,-0.225,2.879,0.726,-0.413,2.707,0.08,2.716,1.044,-0.035,0.10699999999999998,0.242,0.271,0.135,0.378,0.513
65,66,0.367,0.099,0.208,0.859,-0.578,1.871,0.014,1.282,0.723,-0.483,1.768,-0.08,2.601,1.562,0.357,3.366,0.627,1.191,0.366,-1.162,0.584,0.09499999999999997,0.9349999999999999,0.6789999999999999,1.519,0.84
66,67,0.928,-0.209,0.702,0.88,-0.391,0.25,0.013,0.981,7.374,1.186,1.192,-0.177,1.576,1.497,0.256,1.886,-0.333,2.51,1.422,0.268,0.659,1.577,0.647,0.9179999999999999,0.01200000000000001,0.9299999999999999
67,68,0.803,0.08,0.526,0.808,-0.563,1.796,0.092,3.078,1.827,0.543,2.897,-0.186,4.831,1.743,0.446,5.492,-1.037,6.391,1.187,0.145,0.708,1.1059999999999999,1.009,0.398,0.30100000000000005,0.09700000000000003
68,69,0.926,-0.098,0.958,1.203,-0.058,2.313,0.16,1.195,0.539,-0.817,1.38,0.018,1.713,1.359,0.173,2.96,0.186,2.265,0.795,-0.334,0.276,0.7589999999999999,0.23099999999999998,0.48299999999999993,0.507,0.99
69,70,0.44,0.161,0.46,1.312,-0.12,2.346,0.089,2.082,0.934,-0.17,1.749,0.144,3.362,2.063,0.665,4.399,0.156,4.271,1.004,-0.092,0.027999999999999997,0.05000000000000002,0.785,0.07800000000000001,0.757,0.8350000000000001
70,71,0.707,-0.049,0.523,0.903,-0.46,1.813,0.082,1.006,0.582,-0.9,2.996,-0.157,2.087,0.723,-0.483,1.941,0.047,2.795,1.529,0.357,0.817,0.44,0.022999999999999965,1.2570000000000001,0.84,0.41700000000000004
71,72,0.911,0.01,0.362,0.489,-1.094,1.019,-0.018,1.609,1.819,0.413,1.504,-0.093,1.062,0.774,-0.467,1.313,0.07,0.964,0.802,-0.45,0.6440000000000001,1.5070000000000001,0.627,0.863,0.017000000000000015,0.88
72,73,0.711,0.055,0.838,1.455,0.027,1.455,0.024,3.224,2.429,0.807,3.614,0.45,5.167,1.477,0.348,2.562,-0.039,1.533,0.626,-0.636,0.663,0.78,0.32099999999999995,1.443,0.984,0.4590000000000001
73,74,0.785,0.138,1.033,1.568,0.212,1.019,0.083,1.642,1.839,0.454,13.302,0.484,9.228,1.025,-0.123,4.227,-0.004,2.912,0.718,-0.42,0.632,0.24200000000000002,0.33499999999999996,0.874,0.297,0.577
74,75,0.348,0.484,0.272,1.039,-0.344,1.72,0.116,1.622,1.005,-0.121,2.266,0.301,3.101,1.442,0.307,2.119,0.08,1.957,0.973,-0.138,0.20599999999999996,0.22299999999999998,0.651,0.017000000000000015,0.445,0.428
75,76,0.51,0.216,0.519,1.287,-0.14,2.063,0.329,2.956,1.52,0.36,2.192,0.041,3.896,1.87,0.578,3.586,0.517,3.727,1.078,0.002,0.14200000000000002,0.5,0.718,0.358,0.576,0.21799999999999997
76,77,0.938,0.162,0.518,0.673,-0.706,2.416,-0.321,1.523,0.657,-0.553,0.931,0.043,0.542,0.717,-0.695,2.976,-0.125,1.906,0.667,-0.541,0.16499999999999992,0.1529999999999999,0.01100000000000001,0.01200000000000001,0.15399999999999991,0.1419999999999999
77,78,-0.005,0.095,-0.001,1.542,-0.311,1.084,0.066,1.045,1.096,-0.145,1.181,-0.086,0.894,0.859,-0.405,3.169,-0.278,3.33,1.091,0.015,0.326,0.166,0.09400000000000003,0.15999999999999998,0.42000000000000004,0.26
78,79,0.845,0.064,0.935,1.297,0.011,1.447,0.179,1.798,1.35,0.193,2.464,-0.073,4.531,1.926,0.612,3.938,-0.064,7.674,1.97,0.657,0.646,0.182,0.601,0.464,0.04500000000000004,0.419
79,80,0.974,0.074,0.872,1.038,-0.228,0.56,0.105,0.653,1.447,-0.011,1.56,0.204,1.37,0.958,-0.207,2.706,-0.162,2.718,1.047,-0.026,0.202,0.217,0.02100000000000002,0.015,0.181,0.19599999999999998
80,81,0.982,0.066,0.597,0.705,-0.656,0.962,-0.056,1.135,1.414,0.096,2.011,0.095,2.999,1.589,0.395,2.78,-0.49,3.045,1.154,0.084,0.74,0.752,1.0510000000000002,0.011999999999999997,0.311,0.29900000000000004
81,82,0.85,-0.035,1.629,2.305,0.625,2.103,-0.055,1.82,0.908,-0.214,2.612,-0.05,2.362,0.945,-0.142,2.543,0.012,1.372,0.56,-0.747,1.3719999999999999,0.839,0.767,0.533,0.605,0.07200000000000001
82,83,0.513,-0.438,0.237,0.73,-0.754,1.037,0.214,1.456,1.599,0.291,0.485,0.186,0.557,1.304,-0.092,0.988,0.234,0.432,0.517,-0.967,0.21299999999999997,1.045,0.662,1.258,0.875,0.383
83,84,0.952,0.242,0.673,0.825,-0.476,1.123,0.106,1.27,1.286,0.058,0.393,-0.068,0.226,0.849,-0.635,2.603,0.062,1.58,0.631,-0.597,0.121,0.534,0.15900000000000003,0.655,0.038000000000000034,0.6930000000000001
84,85,0.877,-0.057,0.601,0.811,-0.555,1.887,-0.124,1.626,0.917,-0.214,2.338,-0.008,1.961,0.877,-0.241,2.494,0.452,2.619,1.107,0.037,0.5920000000000001,0.3410000000000001,0.31400000000000006,0.251,0.27799999999999997,0.026999999999999996
85,86,1.248,-0.162,0.993,0.881,-0.374,1.397,-0.261,0.791,0.621,-0.707,1.236,-0.166,1.509,1.383,0.165,4.32,-0.195,2.293,0.553,-0.729,0.355,0.33299999999999996,0.539,0.02200000000000002,0.894,0.872
86,87,1.206,-0.268,0.957,0.89,-0.345,0.329,0.081,0.359,1.302,-0.194,1.976,-0.281,1.235,0.666,-0.58,2.286,-0.071,1.227,0.558,-0.748,0.403,0.15099999999999997,0.235,0.554,0.16800000000000004,0.38599999999999995
87,88,0.511,0.252,0.264,0.832,-0.652,1.545,-0.047,1.241,0.867,-0.307,2.707,-0.056,4.478,1.724,0.502,2.169,0.109,2.526,1.225,0.12,0.772,0.34500000000000003,1.154,0.427,0.382,0.8089999999999999
88,89,0.738,0.072,0.505,0.813,-0.537,0.893,0.021,0.794,1.036,-0.262,3.39,0.006,2.415,0.737,-0.402,3.261,-0.404,4.846,1.518,0.375,0.912,0.275,0.135,0.637,0.777,0.14
89,90,0.922,0.15,0.677,0.853,-0.447,0.843,-0.107,0.599,0.864,-0.495,2.593,0.563,2.003,0.811,-0.294,3.346,0.061,1.986,0.614,-0.614,0.16699999999999998,0.04799999999999999,0.15300000000000002,0.119,0.32,0.201
90,91,1.677,0.075,1.455,0.929,-0.247,0.961,-0.001,1.061,1.269,0.009,0.806,0.174,0.3,0.521,-1.06,4.347,0.042,4.117,0.948,-0.137,0.10999999999999999,0.256,0.8130000000000001,0.14600000000000002,0.923,1.069
91,92,1.305,-0.152,0.756,0.63,-0.713,1.031,0.037,1.674,1.856,0.454,0.854,0.002,1.009,1.394,0.086,5.823,-1.327,8.152,1.445,0.348,1.061,1.167,0.7989999999999999,0.10600000000000004,0.262,0.368
92,93,0.685,-0.194,0.995,1.74,0.294,1.731,-0.05,1.906,1.178,0.057,2.116,-0.021,1.947,0.973,-0.147,2.945,-0.232,2.367,0.834,-0.284,0.578,0.237,0.44099999999999995,0.34099999999999997,0.13699999999999998,0.204
93,94,1.505,0.126,0.875,0.631,-0.689,1.203,0.108,1.11,1.016,-0.157,0.964,-0.224,1.083,1.302,0.053,8.883,-4.136,2.459,0.289,-1.3,0.6110000000000001,0.5319999999999999,0.742,1.143,1.353,0.21
94,95,1.088,-0.133,0.727,0.755,-0.566,1.481,0.093,1.29,0.941,-0.215,2.908,-0.086,1.821,0.648,-0.549,1.613,-0.099,2.384,1.594,0.371,0.9369999999999999,0.351,0.016999999999999904,0.586,0.92,0.3340000000000001
95,96,0.698,-0.193,0.515,0.924,-0.437,1.698,0.058,1.993,1.259,0.128,0.882,0.036,1.164,1.558,0.186,2.115,0.049,1.952,0.976,-0.14,0.297,0.565,0.623,0.268,0.326,0.057999999999999996
96,97,1.078,-0.187,0.84,0.886,-0.367,1.87,0.118,1.492,0.85,-0.301,2.145,0.097,2.492,1.225,0.124,3.518,0.623,5.311,1.787,0.413,0.78,0.066,0.491,0.714,0.289,0.425
97,98,0.731,-0.085,0.529,0.871,-0.489,1.889,0.089,1.305,0.731,-0.481,1.456,0.06,2.262,1.713,0.436,4.997,0.484,7.079,1.427,0.315,0.804,0.008000000000000007,0.925,0.796,0.121,0.917
98,99,0.55,0.016,1.322,2.975,0.816,0.994,0.118,1.446,1.674,0.318,1.895,0.147,1.734,0.969,-0.176,1.768,-0.041,3.364,2.045,0.648,0.16799999999999993,0.49799999999999994,0.992,0.33,0.8240000000000001,0.494
99,100,0.16,-0.91,0.127,1.032,-0.393,1.921,-0.161,1.62,0.892,-0.264,13.785,-0.565,8.118,0.597,-0.522,2.095,-0.17,2.311,1.167,0.055,0.448,0.129,0.129,0.319,0.5770000000000001,0.258
100,101,0.792,-0.042,0.444,0.699,-0.721,1.055,-0.192,1.898,2.075,0.585,2.625,-0.203,1.966,0.783,-0.346,2.4,-0.115,2.825,1.235,0.13,0.851,1.306,0.375,0.45499999999999996,0.476,0.9309999999999999
101,102,0.365,-0.524,0.328,1.153,-0.292,1.902,-0.021,1.978,1.105,-0.011,1.502,0.351,2.659,1.93,0.565,2.669,0.183,3.556,1.388,0.274,0.5660000000000001,0.28099999999999997,0.857,0.28500000000000003,0.2909999999999999,0.576
102,103,0.871,-0.361,0.996,1.354,0.071,0.465,0.017,0.351,0.99,-0.403,2.148,-0.149,0.877,0.43,-1.069,3.419,-0.136,2.142,0.648,-0.56,0.631,0.47400000000000003,1.14,0.15700000000000003,0.5089999999999999,0.6659999999999999
103,104,1.272,0.104,0.394,0.357,-1.359,1.12,0.206,1.802,1.506,-0.103,1.656,0.033,1.159,0.753,-0.46,2.13,0.054,2.285,1.127,0.032,1.391,1.256,0.899,0.135,0.492,0.35700000000000004
104,105,1.618,-0.039,0.618,0.412,-1.135,0.963,0.071,0.981,1.174,-0.069,1.392,-0.133,1.299,1.017,-0.142,2.983,-0.262,4.1,1.435,0.315,1.45,1.066,0.993,0.384,0.45699999999999996,0.07299999999999998
105,106,0.741,0.241,0.437,0.711,-0.643,0.707,-0.097,0.521,0.92,-0.446,2.709,-0.004,4.825,1.857,0.578,2.605,-0.267,4.544,1.844,0.527,1.17,0.197,1.221,0.9730000000000001,0.050999999999999934,1.024
106,107,1.575,0.089,0.39,0.267,-1.613,1.428,-0.465,1.329,1.024,-0.136,4.44,-0.921,6.374,1.531,0.369,4.101,-0.403,3.805,0.951,-0.171,1.442,1.4769999999999999,1.982,0.035,0.54,0.505
107,108,0.894,0.017,0.756,0.999,-0.279,2.344,-0.121,1.736,0.777,-0.366,7.522,-1.916,5.789,0.778,-0.27,4.095,0.046,2.49,0.631,-0.566,0.2869999999999999,0.08699999999999997,0.009000000000000008,0.19999999999999996,0.29599999999999993,0.09599999999999997
108,109,0.646,0.071,0.436,0.901,-0.486,0.34,-0.293,0.493,1.643,0.049,0.774,-0.011,1.285,1.986,0.469,1.699,-0.431,0.751,0.476,-0.956,0.47,0.535,0.955,1.005,1.4249999999999998,0.42
